,a,b
cost_analysis_type_annotate,2196.4074118498716,7239.343508296006
cost_analysis_type_check,67348.89498074794,0.0
cost_analysis_type_lookup,919.7479102770549,3593.9920039861827
cost_analysis_visit,0.0,10220.837826797386
cost_analysis_iterable_func,158002.6869233415,0.0
cost_analysis_option_cons,0.0,30660.137141656443
cost_analysis_option_check,0.0,78639.88502733878
cost_analysis_bind_name,8924.607712266257,86854.44443093648
cost_analysis_list_items_check,15329.073034671783,3096.956173790153
cost_analysis_check_tuple_get,18.190943810253646,1181.4576622514314
cost_analysis_check_tuple_cons,7386.2549984504985,38964.290827539284
cost_analysis_tuple_items_check,8227.034612866833,30511.995470589376
cost_analysis_check_let,31102.58204935477,52431.0783673119
cost_analysis_lookup_function,0.0,13012.90952422819
cost_analysis_lookup_function_types,998.2421645479038,16591.03091500356
cost_analysis_lookup_variable_const,0.0,9052.220450435641
cost_analysis_lookup_variable_depth,423.7381282271069,39142.58658449049
cost_arithmetic_only_checker,176.83983828127057,3275.990909657965
cost_read_only,532.4934412770561,3003589.388911664
cost_trait_checker,51149.1276155897,678271.3980788548
cost_type_checker,36568.52434754944,1147838.2206524506
cost_ast_parse,102887.2963885387,169754275.65387636
cost_ast_cycle_detection,84611.08497514426,15668.436146843698
cost_analysis_storage,102.86274260708545,3039.692690825691
cost_analysis_use_trait_entry,5959.323312888032,442169.2246189273
cost_analysis_get_function_entry,49501.31280938701,807261.2774978802
cost_lookup_variable_depth,1681.0149818507275,8592.381425724001
cost_lookup_variable_size,1399.388947976232,944.045390557556
cost_lookup_function,0.0,15644.151210039512
cost_bind_name,0.0,164351.59145880575
cost_inner_type_check_cost,1590.3626964310706,5534.35918464094
cost_user_function_application,15989.808051457356,0
cost_let,0.0,162117.27602040814
cost_if,0.0,114912.14994934143
cost_asserts,0.0,90959.08559420033
cost_map,711682.442301642,1995510.3317783326
cost_filter,0.0,262314.47131849313
cost_len,0.0,266606.83755370125
cost_element_at,0.0,328878.2170055822
cost_index_of,0.0,318751.8281504065
cost_fold,0.0,293626.9554834906
cost_list_cons,8819.940655293965,115244.07886917994
cost_type_parse_step,0.0,3158.4325032552083
cost_tuple_get,2573.707477228173,1068296.0694764256
cost_tuple_merge,125171.50344047796,111441.30727380775
cost_tuple_cons,6678.922806062846,888998.8876258358
cost_add,7008.088837674506,91440.06251369962
cost_sub,6828.5852099237745,91619.78613856195
cost_mul,7740.052271821036,90879.68290785045
cost_div,7991.124688145679,90645.70654386544
cost_geq,0.0,97428.96341085271
cost_leq,0.0,98700.89783317801
cost_le,0.0,91466.76869965477
cost_ge,0.0,91731.39526092568
cost_int_cast,0.0,94748.98324806507
cost_mod,0.0,100032.70519114687
cost_pow,0.0,99926.21717299578
cost_sqrti,0.0,99060.61445977012
cost_log2,0.0,93669.27635308307
cost_xor,0.0,98354.07310344827
cost_not,0.0,95342.05276342975
cost_eq,4872.2592820705895,93406.65965941147
cost_begin,0.0,113844.0517075517
cost_hash160,0.0,167232.99550653592
cost_sha256,0.0,142792.13483085542
cost_sha512,0.0,142245.98995215312
cost_sha512t256,0.0,145660.57317682318
cost_keccak256,0.0,155494.62624584718
cost_secp256k1recover,0.0,8587298.916666668
cost_secp256k1verify,0.0,8093139.071428571
cost_print,0.0,930851.733528428
cost_some_cons,0.0,130665.63071784421
cost_ok_cons,0.0,125543.23111979166
cost_err_cons,0.0,123366.38181818182
cost_default_to,0.0,153447.5018387225
cost_unwrap_ret,0.0,198481.62030075188
cost_unwrap_err_or_ret,0.0,191895.9319381599
cost_is_okay,0.0,165011.60244708994
cost_is_none,0.0,137628.92666754202
cost_is_err,0.0,161363.48873239435
cost_is_some,0.0,130234.13145161289
cost_unwrap,0.0,168959.69318181818
cost_unwrap_err,0.0,164039.17939814815
cost_try_ret,0.0,165580.89888888889
cost_match,0.0,189616.61392857143
cost_or,2077.661192106019,88740.02371925209
cost_and,2080.5402048193855,88077.23975358874
cost_append,0.0,614853.980263158
cost_concat,0.0,602995.0865384615
cost_as_max_len,0.0,289389.7028582317
cost_contract_call,0.0,92543.01273765156
cost_contract_of,0.0,8035149.75
cost_principal_of,0.0,9459.416308243728
cost_at_block,0.0,123304.05743464053
cost_load_contract,132.40451749077437,6148.89297517933
cost_create_map,2182.5874948799938,990549.5168913393
cost_create_var,14655.651765480241,1302435.4910928505
cost_create_nft,2760.2936288482765,974594.1408540069
cost_create_ft,0.0,1215302.4009866102
cost_fetch_entry,0.0,879994.2321428572
cost_set_entry,0.0,944665.3671153847
cost_fetch_var,0.0,407643.1441798942
cost_set_var,0.0,433802.93095681886
cost_contract_storage,8384.87146071232,4825918.5761331655
cost_block_info,0.0,3532191.4642857146
cost_stx_balance,0.0,832029.0416666667
cost_stx_transfer,0.0,866616.957960644
cost_ft_mint,0.0,974493.9831460675
cost_ft_transfer,0.0,337811.8035714286
cost_ft_balance,0.0,326372.32642543863
cost_nft_mint,0.0,434405.71062271064
cost_nft_transfer,0.0,472582.1436943272
cost_nft_owner,0.0,408507.23076923075
cost_ft_get_supply,0.0,284945.4408936652
cost_ft_burn,0.0,359478.6730692277
cost_nft_burn,0.0,386610.70558213716
poison_microblock,0.0,17624793.0
