group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_add,,4,4,bytes,2087111.0,ns,31
cost_add,,4,4,bytes,4052426.0,ns,62
cost_add,,4,4,bytes,6288122.0,ns,93
cost_add,,4,4,bytes,8153526.0,ns,124
cost_add,,4,4,bytes,10148387.0,ns,155
cost_add,,4,4,bytes,12199595.0,ns,186
cost_add,,4,4,bytes,14459204.0,ns,217
cost_add,,4,4,bytes,16337247.0,ns,248
cost_add,,4,4,bytes,18294192.0,ns,279
cost_add,,4,4,bytes,20345369.0,ns,310
cost_add,,4,4,bytes,22446536.0,ns,341
cost_add,,4,4,bytes,24278962.0,ns,372
cost_add,,4,4,bytes,26259716.0,ns,403
cost_add,,4,4,bytes,28299282.0,ns,434
cost_add,,4,4,bytes,30319036.0,ns,465
cost_add,,4,4,bytes,32978752.0,ns,496
cost_add,,4,4,bytes,34648691.0,ns,527
cost_add,,4,4,bytes,36957870.0,ns,558
cost_add,,4,4,bytes,38485535.0,ns,589
cost_add,,4,4,bytes,40469066.0,ns,620
cost_add,,4,4,bytes,42680426.0,ns,651
cost_add,,4,4,bytes,44509834.0,ns,682
cost_add,,4,4,bytes,46492915.0,ns,713
cost_add,,4,4,bytes,48887877.0,ns,744
cost_add,,4,4,bytes,50858321.0,ns,775
cost_add,,4,4,bytes,52869106.0,ns,806
cost_add,,4,4,bytes,54856936.0,ns,837
cost_add,,4,4,bytes,56832119.0,ns,868
cost_add,,4,4,bytes,58623485.0,ns,899
cost_add,,4,4,bytes,60692812.0,ns,930
cost_add,,4,4,bytes,63012850.0,ns,961
cost_add,,4,4,bytes,64796577.0,ns,992
cost_add,,4,4,bytes,66634440.0,ns,1023
cost_add,,4,4,bytes,68901564.0,ns,1054
cost_add,,4,4,bytes,71082356.0,ns,1085
cost_add,,4,4,bytes,73703539.0,ns,1116
cost_add,,4,4,bytes,74951936.0,ns,1147
cost_add,,4,4,bytes,76878459.0,ns,1178
cost_add,,4,4,bytes,78754972.0,ns,1209
cost_add,,4,4,bytes,80840775.0,ns,1240
cost_add,,4,4,bytes,82905833.0,ns,1271
cost_add,,4,4,bytes,84938100.0,ns,1302
cost_add,,4,4,bytes,87121043.0,ns,1333
cost_add,,4,4,bytes,89000651.0,ns,1364
cost_add,,4,4,bytes,91081106.0,ns,1395
cost_add,,4,4,bytes,93065049.0,ns,1426
cost_add,,4,4,bytes,95047103.0,ns,1457
cost_add,,4,4,bytes,97565763.0,ns,1488
cost_add,,4,4,bytes,99853372.0,ns,1519
cost_add,,4,4,bytes,101367170.0,ns,1550
cost_add,,4,4,bytes,103392740.0,ns,1581
cost_add,,4,4,bytes,105456405.0,ns,1612
cost_add,,4,4,bytes,107462287.0,ns,1643
cost_add,,4,4,bytes,111480213.0,ns,1674
cost_add,,4,4,bytes,111631058.0,ns,1705
cost_add,,4,4,bytes,113899768.0,ns,1736
cost_add,,4,4,bytes,115691339.0,ns,1767
cost_add,,4,4,bytes,117356611.0,ns,1798
cost_add,,4,4,bytes,119295384.0,ns,1829
cost_add,,4,4,bytes,121413706.0,ns,1860
cost_add,,4,4,bytes,123353349.0,ns,1891
cost_add,,4,4,bytes,125322333.0,ns,1922
cost_add,,4,4,bytes,127574508.0,ns,1953
cost_add,,4,4,bytes,129389159.0,ns,1984
cost_add,,4,4,bytes,131855408.0,ns,2015
cost_add,,4,4,bytes,133730639.0,ns,2046
cost_add,,4,4,bytes,136363854.0,ns,2077
cost_add,,4,4,bytes,137897305.0,ns,2108
cost_add,,4,4,bytes,139978160.0,ns,2139
cost_add,,4,4,bytes,141912260.0,ns,2170
cost_add,,4,4,bytes,144240340.0,ns,2201
cost_add,,4,4,bytes,146934663.0,ns,2232
cost_add,,4,4,bytes,149414165.0,ns,2263
cost_add,,4,4,bytes,150519205.0,ns,2294
cost_add,,4,4,bytes,152329890.0,ns,2325
cost_add,,4,4,bytes,153978433.0,ns,2356
cost_add,,4,4,bytes,156119700.0,ns,2387
cost_add,,4,4,bytes,158055330.0,ns,2418
cost_add,,4,4,bytes,161033523.0,ns,2449
cost_add,,4,4,bytes,163069380.0,ns,2480
cost_add,,4,4,bytes,164604700.0,ns,2511
cost_add,,4,4,bytes,166190944.0,ns,2542
cost_add,,4,4,bytes,169230881.0,ns,2573
cost_add,,4,4,bytes,170136545.0,ns,2604
cost_add,,4,4,bytes,172402868.0,ns,2635
cost_add,,4,4,bytes,174065956.0,ns,2666
cost_add,,4,4,bytes,175876784.0,ns,2697
cost_add,,4,4,bytes,177828607.0,ns,2728
cost_add,,4,4,bytes,180657710.0,ns,2759
cost_add,,4,4,bytes,181949555.0,ns,2790
cost_add,,4,4,bytes,184412080.0,ns,2821
cost_add,,4,4,bytes,186819494.0,ns,2852
cost_add,,4,4,bytes,188392523.0,ns,2883
cost_add,,4,4,bytes,190866253.0,ns,2914
cost_add,,4,4,bytes,192755179.0,ns,2945
cost_add,,4,4,bytes,195413693.0,ns,2976
cost_add,,4,4,bytes,196297297.0,ns,3007
cost_add,,4,4,bytes,198641301.0,ns,3038
cost_add,,4,4,bytes,201361937.0,ns,3069
cost_add,,4,4,bytes,203666562.0,ns,3100
