group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_bind_name,,2,2,bytes,2151063.0,ns,157
cost_analysis_bind_name,,2,2,bytes,3978860.0,ns,314
cost_analysis_bind_name,,2,2,bytes,5961560.0,ns,471
cost_analysis_bind_name,,2,2,bytes,7967708.0,ns,628
cost_analysis_bind_name,,2,2,bytes,9946663.0,ns,785
cost_analysis_bind_name,,2,2,bytes,11939048.0,ns,942
cost_analysis_bind_name,,2,2,bytes,13938666.0,ns,1099
cost_analysis_bind_name,,2,2,bytes,15918042.0,ns,1256
cost_analysis_bind_name,,2,2,bytes,17909407.0,ns,1413
cost_analysis_bind_name,,2,2,bytes,19903743.0,ns,1570
cost_analysis_bind_name,,2,2,bytes,21873007.0,ns,1727
cost_analysis_bind_name,,2,2,bytes,23860717.0,ns,1884
cost_analysis_bind_name,,2,2,bytes,25848402.0,ns,2041
cost_analysis_bind_name,,2,2,bytes,27847285.0,ns,2198
cost_analysis_bind_name,,2,2,bytes,29868549.0,ns,2355
cost_analysis_bind_name,,2,2,bytes,31853237.0,ns,2512
cost_analysis_bind_name,,2,2,bytes,33802352.0,ns,2669
cost_analysis_bind_name,,2,2,bytes,35786558.0,ns,2826
cost_analysis_bind_name,,2,2,bytes,37795394.0,ns,2983
cost_analysis_bind_name,,2,2,bytes,39787166.0,ns,3140
cost_analysis_bind_name,,2,2,bytes,41839540.0,ns,3297
cost_analysis_bind_name,,2,2,bytes,44056296.0,ns,3454
cost_analysis_bind_name,,2,2,bytes,45760286.0,ns,3611
cost_analysis_bind_name,,2,2,bytes,47725191.0,ns,3768
cost_analysis_bind_name,,2,2,bytes,49736018.0,ns,3925
cost_analysis_bind_name,,2,2,bytes,51711187.0,ns,4082
cost_analysis_bind_name,,2,2,bytes,53687701.0,ns,4239
cost_analysis_bind_name,,2,2,bytes,55694446.0,ns,4396
cost_analysis_bind_name,,2,2,bytes,57650915.0,ns,4553
cost_analysis_bind_name,,2,2,bytes,59652757.0,ns,4710
cost_analysis_bind_name,,2,2,bytes,61646101.0,ns,4867
cost_analysis_bind_name,,2,2,bytes,63635148.0,ns,5024
cost_analysis_bind_name,,2,2,bytes,65616349.0,ns,5181
cost_analysis_bind_name,,2,2,bytes,67615761.0,ns,5338
cost_analysis_bind_name,,2,2,bytes,69668884.0,ns,5495
cost_analysis_bind_name,,2,2,bytes,71627810.0,ns,5652
cost_analysis_bind_name,,2,2,bytes,73597485.0,ns,5809
cost_analysis_bind_name,,2,2,bytes,75542137.0,ns,5966
cost_analysis_bind_name,,2,2,bytes,77557506.0,ns,6123
cost_analysis_bind_name,,2,2,bytes,79562089.0,ns,6280
cost_analysis_bind_name,,2,2,bytes,81573548.0,ns,6437
cost_analysis_bind_name,,2,2,bytes,83533842.0,ns,6594
cost_analysis_bind_name,,2,2,bytes,85555022.0,ns,6751
cost_analysis_bind_name,,2,2,bytes,87502323.0,ns,6908
cost_analysis_bind_name,,2,2,bytes,89528258.0,ns,7065
cost_analysis_bind_name,,2,2,bytes,91471577.0,ns,7222
cost_analysis_bind_name,,2,2,bytes,93666347.0,ns,7379
cost_analysis_bind_name,,2,2,bytes,95507047.0,ns,7536
cost_analysis_bind_name,,2,2,bytes,97489528.0,ns,7693
cost_analysis_bind_name,,2,2,bytes,99853760.0,ns,7850
cost_analysis_bind_name,,2,2,bytes,101740490.0,ns,8007
cost_analysis_bind_name,,2,2,bytes,104545713.0,ns,8164
cost_analysis_bind_name,,2,2,bytes,105500209.0,ns,8321
cost_analysis_bind_name,,2,2,bytes,107448381.0,ns,8478
cost_analysis_bind_name,,2,2,bytes,109423840.0,ns,8635
cost_analysis_bind_name,,2,2,bytes,111426715.0,ns,8792
cost_analysis_bind_name,,2,2,bytes,113363812.0,ns,8949
cost_analysis_bind_name,,2,2,bytes,115411733.0,ns,9106
cost_analysis_bind_name,,2,2,bytes,117926904.0,ns,9263
cost_analysis_bind_name,,2,2,bytes,119399755.0,ns,9420
cost_analysis_bind_name,,2,2,bytes,121621293.0,ns,9577
cost_analysis_bind_name,,2,2,bytes,123446784.0,ns,9734
cost_analysis_bind_name,,2,2,bytes,125287519.0,ns,9891
cost_analysis_bind_name,,2,2,bytes,127286327.0,ns,10048
cost_analysis_bind_name,,2,2,bytes,129295762.0,ns,10205
cost_analysis_bind_name,,2,2,bytes,131276462.0,ns,10362
cost_analysis_bind_name,,2,2,bytes,133464893.0,ns,10519
cost_analysis_bind_name,,2,2,bytes,135444411.0,ns,10676
cost_analysis_bind_name,,2,2,bytes,137472128.0,ns,10833
cost_analysis_bind_name,,2,2,bytes,139291723.0,ns,10990
cost_analysis_bind_name,,2,2,bytes,141286395.0,ns,11147
cost_analysis_bind_name,,2,2,bytes,143216696.0,ns,11304
cost_analysis_bind_name,,2,2,bytes,145219678.0,ns,11461
cost_analysis_bind_name,,2,2,bytes,147376100.0,ns,11618
cost_analysis_bind_name,,2,2,bytes,149214076.0,ns,11775
cost_analysis_bind_name,,2,2,bytes,151117561.0,ns,11932
cost_analysis_bind_name,,2,2,bytes,153140551.0,ns,12089
cost_analysis_bind_name,,2,2,bytes,155078058.0,ns,12246
cost_analysis_bind_name,,2,2,bytes,157127824.0,ns,12403
cost_analysis_bind_name,,2,2,bytes,159099777.0,ns,12560
cost_analysis_bind_name,,2,2,bytes,161330128.0,ns,12717
cost_analysis_bind_name,,2,2,bytes,163107973.0,ns,12874
cost_analysis_bind_name,,2,2,bytes,165558189.0,ns,13031
cost_analysis_bind_name,,2,2,bytes,167145888.0,ns,13188
cost_analysis_bind_name,,2,2,bytes,169082525.0,ns,13345
cost_analysis_bind_name,,2,2,bytes,171169022.0,ns,13502
cost_analysis_bind_name,,2,2,bytes,173235968.0,ns,13659
cost_analysis_bind_name,,2,2,bytes,175435121.0,ns,13816
cost_analysis_bind_name,,2,2,bytes,177321515.0,ns,13973
cost_analysis_bind_name,,2,2,bytes,179060890.0,ns,14130
cost_analysis_bind_name,,2,2,bytes,180997101.0,ns,14287
cost_analysis_bind_name,,2,2,bytes,184882571.0,ns,14444
cost_analysis_bind_name,,2,2,bytes,185211689.0,ns,14601
cost_analysis_bind_name,,2,2,bytes,187539938.0,ns,14758
cost_analysis_bind_name,,2,2,bytes,188994501.0,ns,14915
cost_analysis_bind_name,,2,2,bytes,190977514.0,ns,15072
cost_analysis_bind_name,,2,2,bytes,193052400.0,ns,15229
cost_analysis_bind_name,,2,2,bytes,195045775.0,ns,15386
cost_analysis_bind_name,,2,2,bytes,196978450.0,ns,15543
cost_analysis_bind_name,,2,2,bytes,198973777.0,ns,15700
