group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_bind_name,,2,2,bytes,2039309.0,ns,88
cost_analysis_bind_name,,2,2,bytes,4012488.0,ns,176
cost_analysis_bind_name,,2,2,bytes,6002095.0,ns,264
cost_analysis_bind_name,,2,2,bytes,8006727.0,ns,352
cost_analysis_bind_name,,2,2,bytes,9999308.0,ns,440
cost_analysis_bind_name,,2,2,bytes,12039890.0,ns,528
cost_analysis_bind_name,,2,2,bytes,14003840.0,ns,616
cost_analysis_bind_name,,2,2,bytes,16004443.0,ns,704
cost_analysis_bind_name,,2,2,bytes,18006468.0,ns,792
cost_analysis_bind_name,,2,2,bytes,20014410.0,ns,880
cost_analysis_bind_name,,2,2,bytes,22001834.0,ns,968
cost_analysis_bind_name,,2,2,bytes,23996903.0,ns,1056
cost_analysis_bind_name,,2,2,bytes,25998714.0,ns,1144
cost_analysis_bind_name,,2,2,bytes,27978863.0,ns,1232
cost_analysis_bind_name,,2,2,bytes,30017529.0,ns,1320
cost_analysis_bind_name,,2,2,bytes,32002632.0,ns,1408
cost_analysis_bind_name,,2,2,bytes,34023308.0,ns,1496
cost_analysis_bind_name,,2,2,bytes,35990951.0,ns,1584
cost_analysis_bind_name,,2,2,bytes,38034554.0,ns,1672
cost_analysis_bind_name,,2,2,bytes,40016068.0,ns,1760
cost_analysis_bind_name,,2,2,bytes,42011231.0,ns,1848
cost_analysis_bind_name,,2,2,bytes,44016267.0,ns,1936
cost_analysis_bind_name,,2,2,bytes,46169352.0,ns,2024
cost_analysis_bind_name,,2,2,bytes,48010199.0,ns,2112
cost_analysis_bind_name,,2,2,bytes,50015145.0,ns,2200
cost_analysis_bind_name,,2,2,bytes,52057878.0,ns,2288
cost_analysis_bind_name,,2,2,bytes,54031469.0,ns,2376
cost_analysis_bind_name,,2,2,bytes,56028960.0,ns,2464
cost_analysis_bind_name,,2,2,bytes,57999335.0,ns,2552
cost_analysis_bind_name,,2,2,bytes,60002110.0,ns,2640
cost_analysis_bind_name,,2,2,bytes,61983714.0,ns,2728
cost_analysis_bind_name,,2,2,bytes,63974712.0,ns,2816
cost_analysis_bind_name,,2,2,bytes,65968994.0,ns,2904
cost_analysis_bind_name,,2,2,bytes,67995518.0,ns,2992
cost_analysis_bind_name,,2,2,bytes,69968416.0,ns,3080
cost_analysis_bind_name,,2,2,bytes,72009489.0,ns,3168
cost_analysis_bind_name,,2,2,bytes,74014386.0,ns,3256
cost_analysis_bind_name,,2,2,bytes,75961315.0,ns,3344
cost_analysis_bind_name,,2,2,bytes,77977184.0,ns,3432
cost_analysis_bind_name,,2,2,bytes,80059248.0,ns,3520
cost_analysis_bind_name,,2,2,bytes,82185627.0,ns,3608
cost_analysis_bind_name,,2,2,bytes,84001405.0,ns,3696
cost_analysis_bind_name,,2,2,bytes,86116700.0,ns,3784
cost_analysis_bind_name,,2,2,bytes,87999282.0,ns,3872
cost_analysis_bind_name,,2,2,bytes,89939574.0,ns,3960
cost_analysis_bind_name,,2,2,bytes,91999829.0,ns,4048
cost_analysis_bind_name,,2,2,bytes,94018372.0,ns,4136
cost_analysis_bind_name,,2,2,bytes,96045452.0,ns,4224
cost_analysis_bind_name,,2,2,bytes,98003609.0,ns,4312
cost_analysis_bind_name,,2,2,bytes,100010780.0,ns,4400
cost_analysis_bind_name,,2,2,bytes,101997957.0,ns,4488
cost_analysis_bind_name,,2,2,bytes,104753535.0,ns,4576
cost_analysis_bind_name,,2,2,bytes,106249011.0,ns,4664
cost_analysis_bind_name,,2,2,bytes,108015914.0,ns,4752
cost_analysis_bind_name,,2,2,bytes,110063712.0,ns,4840
cost_analysis_bind_name,,2,2,bytes,112084182.0,ns,4928
cost_analysis_bind_name,,2,2,bytes,113977181.0,ns,5016
cost_analysis_bind_name,,2,2,bytes,116054927.0,ns,5104
cost_analysis_bind_name,,2,2,bytes,118039068.0,ns,5192
cost_analysis_bind_name,,2,2,bytes,119959972.0,ns,5280
cost_analysis_bind_name,,2,2,bytes,122801619.0,ns,5368
cost_analysis_bind_name,,2,2,bytes,124929038.0,ns,5456
cost_analysis_bind_name,,2,2,bytes,126035335.0,ns,5544
cost_analysis_bind_name,,2,2,bytes,127922506.0,ns,5632
cost_analysis_bind_name,,2,2,bytes,130004253.0,ns,5720
cost_analysis_bind_name,,2,2,bytes,131982597.0,ns,5808
cost_analysis_bind_name,,2,2,bytes,133950648.0,ns,5896
cost_analysis_bind_name,,2,2,bytes,136033979.0,ns,5984
cost_analysis_bind_name,,2,2,bytes,138457008.0,ns,6072
cost_analysis_bind_name,,2,2,bytes,140338530.0,ns,6160
cost_analysis_bind_name,,2,2,bytes,142079170.0,ns,6248
