group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_check_let,,256,256,bytes,2112036.0,ns,10
cost_analysis_check_let,,256,256,bytes,4170632.0,ns,20
cost_analysis_check_let,,256,256,bytes,6246215.0,ns,30
cost_analysis_check_let,,256,256,bytes,8328233.0,ns,40
cost_analysis_check_let,,256,256,bytes,10412593.0,ns,50
cost_analysis_check_let,,256,256,bytes,12612074.0,ns,60
cost_analysis_check_let,,256,256,bytes,14595608.0,ns,70
cost_analysis_check_let,,256,256,bytes,16691149.0,ns,80
cost_analysis_check_let,,256,256,bytes,18776510.0,ns,90
cost_analysis_check_let,,256,256,bytes,20906285.0,ns,100
cost_analysis_check_let,,256,256,bytes,22906301.0,ns,110
cost_analysis_check_let,,256,256,bytes,24992588.0,ns,120
cost_analysis_check_let,,256,256,bytes,27077704.0,ns,130
cost_analysis_check_let,,256,256,bytes,29188035.0,ns,140
cost_analysis_check_let,,256,256,bytes,31223415.0,ns,150
cost_analysis_check_let,,256,256,bytes,33328578.0,ns,160
cost_analysis_check_let,,256,256,bytes,35401040.0,ns,170
cost_analysis_check_let,,256,256,bytes,37465325.0,ns,180
cost_analysis_check_let,,256,256,bytes,39575768.0,ns,190
cost_analysis_check_let,,256,256,bytes,41662841.0,ns,200
cost_analysis_check_let,,256,256,bytes,43725936.0,ns,210
cost_analysis_check_let,,256,256,bytes,45809397.0,ns,220
cost_analysis_check_let,,256,256,bytes,47899516.0,ns,230
cost_analysis_check_let,,256,256,bytes,49991477.0,ns,240
cost_analysis_check_let,,256,256,bytes,52755016.0,ns,250
cost_analysis_check_let,,256,256,bytes,54144845.0,ns,260
cost_analysis_check_let,,256,256,bytes,56246787.0,ns,270
cost_analysis_check_let,,256,256,bytes,58553036.0,ns,280
cost_analysis_check_let,,256,256,bytes,60388493.0,ns,290
cost_analysis_check_let,,256,256,bytes,62478980.0,ns,300
cost_analysis_check_let,,256,256,bytes,64511501.0,ns,310
cost_analysis_check_let,,256,256,bytes,66611566.0,ns,320
cost_analysis_check_let,,256,256,bytes,68681357.0,ns,330
cost_analysis_check_let,,256,256,bytes,70815986.0,ns,340
cost_analysis_check_let,,256,256,bytes,72875034.0,ns,350
cost_analysis_check_let,,256,256,bytes,74941045.0,ns,360
cost_analysis_check_let,,256,256,bytes,76993192.0,ns,370
cost_analysis_check_let,,256,256,bytes,79113562.0,ns,380
cost_analysis_check_let,,256,256,bytes,81239407.0,ns,390
cost_analysis_check_let,,256,256,bytes,83338812.0,ns,400
cost_analysis_check_let,,256,256,bytes,85481480.0,ns,410
cost_analysis_check_let,,256,256,bytes,87675187.0,ns,420
cost_analysis_check_let,,256,256,bytes,89534291.0,ns,430
cost_analysis_check_let,,256,256,bytes,91638306.0,ns,440
cost_analysis_check_let,,256,256,bytes,93688557.0,ns,450
cost_analysis_check_let,,256,256,bytes,95763354.0,ns,460
cost_analysis_check_let,,256,256,bytes,97838659.0,ns,470
cost_analysis_check_let,,256,256,bytes,99930313.0,ns,480
cost_analysis_check_let,,256,256,bytes,102036932.0,ns,490
