group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_check_tuple_cons,,128,128,bytes,51766027.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50311355.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49792755.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49788596.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49914150.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49920818.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50493288.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50577674.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51373122.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51696343.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52188361.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51730558.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51938557.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50719274.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50347693.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50839802.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52210460.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52764489.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50650396.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51045264.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51519629.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52787745.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49922318.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50316029.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50000767.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50157990.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50034294.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50057920.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49909911.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,53067077.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50623295.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50264442.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50996730.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51440197.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,53262482.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,53463541.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51208162.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50342746.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50075990.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50340580.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49913024.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50132796.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49796993.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50135530.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,55619410.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,58630656.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,54697529.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,55438295.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52239404.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51673669.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51696113.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51176059.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52209454.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50442789.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51018552.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50602471.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51225615.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49891411.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49681113.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49861927.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50134476.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51556660.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51139755.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49657123.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49709451.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50020085.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50305871.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51111998.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50003501.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50154511.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49936545.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50093849.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50088890.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49995778.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50173962.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50489498.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49913845.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49677492.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50626653.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51364452.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52556260.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49868639.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50528600.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50074966.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50208855.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49753303.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49773382.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49806479.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50378758.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49963632.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49930859.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49847913.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,49848888.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50384641.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50652371.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,51026005.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,50402105.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52855523.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52598323.0,ns,8
cost_analysis_check_tuple_cons,,128,128,bytes,52804417.0,ns,8
