group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_check_tuple_cons,,16,16,bytes,2382695.0,ns,19
cost_analysis_check_tuple_cons,,16,16,bytes,4149728.0,ns,38
cost_analysis_check_tuple_cons,,16,16,bytes,6206544.0,ns,57
cost_analysis_check_tuple_cons,,16,16,bytes,8297017.0,ns,76
cost_analysis_check_tuple_cons,,16,16,bytes,10346859.0,ns,95
cost_analysis_check_tuple_cons,,16,16,bytes,12419990.0,ns,114
cost_analysis_check_tuple_cons,,16,16,bytes,14499380.0,ns,133
cost_analysis_check_tuple_cons,,16,16,bytes,16554954.0,ns,152
cost_analysis_check_tuple_cons,,16,16,bytes,18625648.0,ns,171
cost_analysis_check_tuple_cons,,16,16,bytes,20969334.0,ns,190
cost_analysis_check_tuple_cons,,16,16,bytes,23162088.0,ns,209
cost_analysis_check_tuple_cons,,16,16,bytes,25077735.0,ns,228
cost_analysis_check_tuple_cons,,16,16,bytes,27039558.0,ns,247
cost_analysis_check_tuple_cons,,16,16,bytes,28986589.0,ns,266
cost_analysis_check_tuple_cons,,16,16,bytes,31042875.0,ns,285
cost_analysis_check_tuple_cons,,16,16,bytes,33117963.0,ns,304
cost_analysis_check_tuple_cons,,16,16,bytes,35832054.0,ns,323
cost_analysis_check_tuple_cons,,16,16,bytes,37904080.0,ns,342
cost_analysis_check_tuple_cons,,16,16,bytes,39821529.0,ns,361
cost_analysis_check_tuple_cons,,16,16,bytes,42040891.0,ns,380
cost_analysis_check_tuple_cons,,16,16,bytes,43786964.0,ns,399
cost_analysis_check_tuple_cons,,16,16,bytes,46296149.0,ns,418
cost_analysis_check_tuple_cons,,16,16,bytes,47841737.0,ns,437
cost_analysis_check_tuple_cons,,16,16,bytes,49995578.0,ns,456
cost_analysis_check_tuple_cons,,16,16,bytes,53047491.0,ns,475
cost_analysis_check_tuple_cons,,16,16,bytes,54662342.0,ns,494
cost_analysis_check_tuple_cons,,16,16,bytes,55985484.0,ns,513
cost_analysis_check_tuple_cons,,16,16,bytes,58512499.0,ns,532
cost_analysis_check_tuple_cons,,16,16,bytes,60153773.0,ns,551
cost_analysis_check_tuple_cons,,16,16,bytes,62148534.0,ns,570
cost_analysis_check_tuple_cons,,16,16,bytes,64181712.0,ns,589
cost_analysis_check_tuple_cons,,16,16,bytes,67434798.0,ns,608
cost_analysis_check_tuple_cons,,16,16,bytes,68583986.0,ns,627
cost_analysis_check_tuple_cons,,16,16,bytes,71562413.0,ns,646
cost_analysis_check_tuple_cons,,16,16,bytes,74118607.0,ns,665
cost_analysis_check_tuple_cons,,16,16,bytes,75307287.0,ns,684
cost_analysis_check_tuple_cons,,16,16,bytes,76964465.0,ns,703
cost_analysis_check_tuple_cons,,16,16,bytes,78598909.0,ns,722
cost_analysis_check_tuple_cons,,16,16,bytes,80691034.0,ns,741
cost_analysis_check_tuple_cons,,16,16,bytes,83387501.0,ns,760
cost_analysis_check_tuple_cons,,16,16,bytes,85639003.0,ns,779
cost_analysis_check_tuple_cons,,16,16,bytes,87245172.0,ns,798
cost_analysis_check_tuple_cons,,16,16,bytes,88969587.0,ns,817
cost_analysis_check_tuple_cons,,16,16,bytes,91072556.0,ns,836
cost_analysis_check_tuple_cons,,16,16,bytes,93117168.0,ns,855
cost_analysis_check_tuple_cons,,16,16,bytes,95237150.0,ns,874
cost_analysis_check_tuple_cons,,16,16,bytes,97291598.0,ns,893
cost_analysis_check_tuple_cons,,16,16,bytes,100163154.0,ns,912
cost_analysis_check_tuple_cons,,16,16,bytes,101840776.0,ns,931
cost_analysis_check_tuple_cons,,16,16,bytes,103539425.0,ns,950
cost_analysis_check_tuple_cons,,16,16,bytes,106091843.0,ns,969
cost_analysis_check_tuple_cons,,16,16,bytes,108279736.0,ns,988
cost_analysis_check_tuple_cons,,16,16,bytes,110443341.0,ns,1007
cost_analysis_check_tuple_cons,,16,16,bytes,111856856.0,ns,1026
cost_analysis_check_tuple_cons,,16,16,bytes,114032104.0,ns,1045
cost_analysis_check_tuple_cons,,16,16,bytes,115892229.0,ns,1064
cost_analysis_check_tuple_cons,,16,16,bytes,118040959.0,ns,1083
cost_analysis_check_tuple_cons,,16,16,bytes,120643488.0,ns,1102
cost_analysis_check_tuple_cons,,16,16,bytes,123063062.0,ns,1121
cost_analysis_check_tuple_cons,,16,16,bytes,125070639.0,ns,1140
cost_analysis_check_tuple_cons,,16,16,bytes,126268864.0,ns,1159
cost_analysis_check_tuple_cons,,16,16,bytes,128366868.0,ns,1178
cost_analysis_check_tuple_cons,,16,16,bytes,130773009.0,ns,1197
cost_analysis_check_tuple_cons,,16,16,bytes,132388337.0,ns,1216
cost_analysis_check_tuple_cons,,16,16,bytes,134502973.0,ns,1235
cost_analysis_check_tuple_cons,,16,16,bytes,139253651.0,ns,1254
cost_analysis_check_tuple_cons,,16,16,bytes,142939818.0,ns,1273
cost_analysis_check_tuple_cons,,16,16,bytes,142898491.0,ns,1292
cost_analysis_check_tuple_cons,,16,16,bytes,142907527.0,ns,1311
cost_analysis_check_tuple_cons,,16,16,bytes,144895024.0,ns,1330
cost_analysis_check_tuple_cons,,16,16,bytes,147494717.0,ns,1349
cost_analysis_check_tuple_cons,,16,16,bytes,149034836.0,ns,1368
cost_analysis_check_tuple_cons,,16,16,bytes,151169448.0,ns,1387
cost_analysis_check_tuple_cons,,16,16,bytes,155890991.0,ns,1406
cost_analysis_check_tuple_cons,,16,16,bytes,155679546.0,ns,1425
cost_analysis_check_tuple_cons,,16,16,bytes,157308480.0,ns,1444
cost_analysis_check_tuple_cons,,16,16,bytes,159448719.0,ns,1463
cost_analysis_check_tuple_cons,,16,16,bytes,163931381.0,ns,1482
cost_analysis_check_tuple_cons,,16,16,bytes,163575055.0,ns,1501
cost_analysis_check_tuple_cons,,16,16,bytes,167344212.0,ns,1520
cost_analysis_check_tuple_cons,,16,16,bytes,168740224.0,ns,1539
cost_analysis_check_tuple_cons,,16,16,bytes,169694130.0,ns,1558
cost_analysis_check_tuple_cons,,16,16,bytes,172198516.0,ns,1577
cost_analysis_check_tuple_cons,,16,16,bytes,175171883.0,ns,1596
cost_analysis_check_tuple_cons,,16,16,bytes,177122670.0,ns,1615
cost_analysis_check_tuple_cons,,16,16,bytes,180291991.0,ns,1634
cost_analysis_check_tuple_cons,,16,16,bytes,181113564.0,ns,1653
cost_analysis_check_tuple_cons,,16,16,bytes,185710976.0,ns,1672
cost_analysis_check_tuple_cons,,16,16,bytes,185542884.0,ns,1691
cost_analysis_check_tuple_cons,,16,16,bytes,186250935.0,ns,1710
cost_analysis_check_tuple_cons,,16,16,bytes,188863763.0,ns,1729
cost_analysis_check_tuple_cons,,16,16,bytes,192445563.0,ns,1748
cost_analysis_check_tuple_cons,,16,16,bytes,192702194.0,ns,1767
cost_analysis_check_tuple_cons,,16,16,bytes,194776006.0,ns,1786
cost_analysis_check_tuple_cons,,16,16,bytes,196624048.0,ns,1805
cost_analysis_check_tuple_cons,,16,16,bytes,199707057.0,ns,1824
cost_analysis_check_tuple_cons,,16,16,bytes,206204036.0,ns,1843
cost_analysis_check_tuple_cons,,16,16,bytes,204063730.0,ns,1862
cost_analysis_check_tuple_cons,,16,16,bytes,207277322.0,ns,1881
cost_analysis_check_tuple_cons,,16,16,bytes,208460314.0,ns,1900
