group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_check_tuple_get,,1,1,bytes,2117047.0,ns,9007
cost_analysis_check_tuple_get,,1,1,bytes,3973907.0,ns,18014
cost_analysis_check_tuple_get,,1,1,bytes,5931340.0,ns,27021
cost_analysis_check_tuple_get,,1,1,bytes,7929020.0,ns,36028
cost_analysis_check_tuple_get,,1,1,bytes,9894713.0,ns,45035
cost_analysis_check_tuple_get,,1,1,bytes,11873962.0,ns,54042
cost_analysis_check_tuple_get,,1,1,bytes,13847177.0,ns,63049
cost_analysis_check_tuple_get,,1,1,bytes,15850438.0,ns,72056
cost_analysis_check_tuple_get,,1,1,bytes,17826279.0,ns,81063
cost_analysis_check_tuple_get,,1,1,bytes,19802854.0,ns,90070
cost_analysis_check_tuple_get,,1,1,bytes,21833969.0,ns,99077
cost_analysis_check_tuple_get,,1,1,bytes,23880012.0,ns,108084
cost_analysis_check_tuple_get,,1,1,bytes,25821166.0,ns,117091
cost_analysis_check_tuple_get,,1,1,bytes,27734226.0,ns,126098
cost_analysis_check_tuple_get,,1,1,bytes,29691296.0,ns,135105
cost_analysis_check_tuple_get,,1,1,bytes,31764229.0,ns,144112
cost_analysis_check_tuple_get,,1,1,bytes,33766577.0,ns,153119
cost_analysis_check_tuple_get,,1,1,bytes,35660263.0,ns,162126
cost_analysis_check_tuple_get,,1,1,bytes,37585840.0,ns,171133
cost_analysis_check_tuple_get,,1,1,bytes,39676433.0,ns,180140
cost_analysis_check_tuple_get,,1,1,bytes,41669530.0,ns,189147
cost_analysis_check_tuple_get,,1,1,bytes,43617006.0,ns,198154
cost_analysis_check_tuple_get,,1,1,bytes,46042404.0,ns,207161
cost_analysis_check_tuple_get,,1,1,bytes,47552206.0,ns,216168
cost_analysis_check_tuple_get,,1,1,bytes,49500240.0,ns,225175
cost_analysis_check_tuple_get,,1,1,bytes,51559484.0,ns,234182
cost_analysis_check_tuple_get,,1,1,bytes,53549100.0,ns,243189
cost_analysis_check_tuple_get,,1,1,bytes,55510087.0,ns,252196
cost_analysis_check_tuple_get,,1,1,bytes,57390056.0,ns,261203
cost_analysis_check_tuple_get,,1,1,bytes,59555685.0,ns,270210
cost_analysis_check_tuple_get,,1,1,bytes,61501978.0,ns,279217
cost_analysis_check_tuple_get,,1,1,bytes,63322768.0,ns,288224
cost_analysis_check_tuple_get,,1,1,bytes,65428547.0,ns,297231
cost_analysis_check_tuple_get,,1,1,bytes,67402799.0,ns,306238
cost_analysis_check_tuple_get,,1,1,bytes,69330185.0,ns,315245
cost_analysis_check_tuple_get,,1,1,bytes,71476073.0,ns,324252
cost_analysis_check_tuple_get,,1,1,bytes,73288917.0,ns,333259
cost_analysis_check_tuple_get,,1,1,bytes,75454696.0,ns,342266
cost_analysis_check_tuple_get,,1,1,bytes,77350066.0,ns,351273
cost_analysis_check_tuple_get,,1,1,bytes,79312601.0,ns,360280
cost_analysis_check_tuple_get,,1,1,bytes,81223218.0,ns,369287
cost_analysis_check_tuple_get,,1,1,bytes,83270480.0,ns,378294
cost_analysis_check_tuple_get,,1,1,bytes,85357385.0,ns,387301
cost_analysis_check_tuple_get,,1,1,bytes,87209905.0,ns,396308
cost_analysis_check_tuple_get,,1,1,bytes,89133692.0,ns,405315
cost_analysis_check_tuple_get,,1,1,bytes,91305972.0,ns,414322
cost_analysis_check_tuple_get,,1,1,bytes,94169887.0,ns,423329
cost_analysis_check_tuple_get,,1,1,bytes,95499194.0,ns,432336
cost_analysis_check_tuple_get,,1,1,bytes,97127417.0,ns,441343
cost_analysis_check_tuple_get,,1,1,bytes,99145066.0,ns,450350
cost_analysis_check_tuple_get,,1,1,bytes,101535340.0,ns,459357
cost_analysis_check_tuple_get,,1,1,bytes,103019597.0,ns,468364
