group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_check_tuple_get,,8,8,bytes,995077.0,ns,793
cost_analysis_check_tuple_get,,8,8,bytes,1992037.0,ns,1586
cost_analysis_check_tuple_get,,8,8,bytes,2999746.0,ns,2379
cost_analysis_check_tuple_get,,8,8,bytes,3989036.0,ns,3172
cost_analysis_check_tuple_get,,8,8,bytes,4983246.0,ns,3965
cost_analysis_check_tuple_get,,8,8,bytes,5974417.0,ns,4758
cost_analysis_check_tuple_get,,8,8,bytes,6985187.0,ns,5551
cost_analysis_check_tuple_get,,8,8,bytes,7962533.0,ns,6344
cost_analysis_check_tuple_get,,8,8,bytes,8964553.0,ns,7137
cost_analysis_check_tuple_get,,8,8,bytes,9947283.0,ns,7930
cost_analysis_check_tuple_get,,8,8,bytes,10946204.0,ns,8723
cost_analysis_check_tuple_get,,8,8,bytes,11940029.0,ns,9516
cost_analysis_check_tuple_get,,8,8,bytes,12935180.0,ns,10309
cost_analysis_check_tuple_get,,8,8,bytes,13928278.0,ns,11102
cost_analysis_check_tuple_get,,8,8,bytes,14930467.0,ns,11895
cost_analysis_check_tuple_get,,8,8,bytes,15917355.0,ns,12688
cost_analysis_check_tuple_get,,8,8,bytes,16910398.0,ns,13481
cost_analysis_check_tuple_get,,8,8,bytes,17948803.0,ns,14274
cost_analysis_check_tuple_get,,8,8,bytes,18895676.0,ns,15067
cost_analysis_check_tuple_get,,8,8,bytes,19905533.0,ns,15860
cost_analysis_check_tuple_get,,8,8,bytes,20899927.0,ns,16653
cost_analysis_check_tuple_get,,8,8,bytes,21895051.0,ns,17446
cost_analysis_check_tuple_get,,8,8,bytes,22885390.0,ns,18239
cost_analysis_check_tuple_get,,8,8,bytes,23895824.0,ns,19032
cost_analysis_check_tuple_get,,8,8,bytes,24910018.0,ns,19825
cost_analysis_check_tuple_get,,8,8,bytes,25874190.0,ns,20618
cost_analysis_check_tuple_get,,8,8,bytes,26861232.0,ns,21411
cost_analysis_check_tuple_get,,8,8,bytes,27875496.0,ns,22204
cost_analysis_check_tuple_get,,8,8,bytes,28869694.0,ns,22997
cost_analysis_check_tuple_get,,8,8,bytes,29856003.0,ns,23790
cost_analysis_check_tuple_get,,8,8,bytes,30838869.0,ns,24583
cost_analysis_check_tuple_get,,8,8,bytes,31836742.0,ns,25376
cost_analysis_check_tuple_get,,8,8,bytes,32827203.0,ns,26169
cost_analysis_check_tuple_get,,8,8,bytes,33806611.0,ns,26962
cost_analysis_check_tuple_get,,8,8,bytes,34807028.0,ns,27755
cost_analysis_check_tuple_get,,8,8,bytes,35871365.0,ns,28548
cost_analysis_check_tuple_get,,8,8,bytes,36867086.0,ns,29341
cost_analysis_check_tuple_get,,8,8,bytes,37962489.0,ns,30134
cost_analysis_check_tuple_get,,8,8,bytes,38985128.0,ns,30927
cost_analysis_check_tuple_get,,8,8,bytes,39931095.0,ns,31720
cost_analysis_check_tuple_get,,8,8,bytes,40823537.0,ns,32513
cost_analysis_check_tuple_get,,8,8,bytes,42023697.0,ns,33306
cost_analysis_check_tuple_get,,8,8,bytes,42860668.0,ns,34099
cost_analysis_check_tuple_get,,8,8,bytes,43814786.0,ns,34892
cost_analysis_check_tuple_get,,8,8,bytes,44931914.0,ns,35685
cost_analysis_check_tuple_get,,8,8,bytes,45863405.0,ns,36478
cost_analysis_check_tuple_get,,8,8,bytes,46835730.0,ns,37271
cost_analysis_check_tuple_get,,8,8,bytes,47815181.0,ns,38064
cost_analysis_check_tuple_get,,8,8,bytes,48836234.0,ns,38857
cost_analysis_check_tuple_get,,8,8,bytes,49867244.0,ns,39650
cost_analysis_check_tuple_get,,8,8,bytes,51096253.0,ns,40443
cost_analysis_check_tuple_get,,8,8,bytes,51896772.0,ns,41236
cost_analysis_check_tuple_get,,8,8,bytes,52988816.0,ns,42029
cost_analysis_check_tuple_get,,8,8,bytes,54003220.0,ns,42822
cost_analysis_check_tuple_get,,8,8,bytes,54843389.0,ns,43615
cost_analysis_check_tuple_get,,8,8,bytes,55829778.0,ns,44408
cost_analysis_check_tuple_get,,8,8,bytes,56823388.0,ns,45201
cost_analysis_check_tuple_get,,8,8,bytes,57846333.0,ns,45994
cost_analysis_check_tuple_get,,8,8,bytes,58983208.0,ns,46787
cost_analysis_check_tuple_get,,8,8,bytes,59879404.0,ns,47580
cost_analysis_check_tuple_get,,8,8,bytes,60738226.0,ns,48373
cost_analysis_check_tuple_get,,8,8,bytes,61718158.0,ns,49166
cost_analysis_check_tuple_get,,8,8,bytes,62790756.0,ns,49959
cost_analysis_check_tuple_get,,8,8,bytes,63825925.0,ns,50752
cost_analysis_check_tuple_get,,8,8,bytes,64768118.0,ns,51545
cost_analysis_check_tuple_get,,8,8,bytes,65761762.0,ns,52338
cost_analysis_check_tuple_get,,8,8,bytes,66739306.0,ns,53131
cost_analysis_check_tuple_get,,8,8,bytes,67897730.0,ns,53924
cost_analysis_check_tuple_get,,8,8,bytes,68775198.0,ns,54717
cost_analysis_check_tuple_get,,8,8,bytes,69740892.0,ns,55510
cost_analysis_check_tuple_get,,8,8,bytes,70754214.0,ns,56303
cost_analysis_check_tuple_get,,8,8,bytes,71733712.0,ns,57096
cost_analysis_check_tuple_get,,8,8,bytes,72726230.0,ns,57889
cost_analysis_check_tuple_get,,8,8,bytes,74087759.0,ns,58682
cost_analysis_check_tuple_get,,8,8,bytes,75056173.0,ns,59475
cost_analysis_check_tuple_get,,8,8,bytes,75683272.0,ns,60268
cost_analysis_check_tuple_get,,8,8,bytes,76692660.0,ns,61061
cost_analysis_check_tuple_get,,8,8,bytes,77638482.0,ns,61854
cost_analysis_check_tuple_get,,8,8,bytes,78646446.0,ns,62647
cost_analysis_check_tuple_get,,8,8,bytes,79614908.0,ns,63440
cost_analysis_check_tuple_get,,8,8,bytes,80676348.0,ns,64233
cost_analysis_check_tuple_get,,8,8,bytes,81689429.0,ns,65026
cost_analysis_check_tuple_get,,8,8,bytes,82620042.0,ns,65819
cost_analysis_check_tuple_get,,8,8,bytes,83590521.0,ns,66612
cost_analysis_check_tuple_get,,8,8,bytes,84569073.0,ns,67405
