group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_check_tuple_merge,,64,64,bytes,2177396.0,ns,5
cost_analysis_check_tuple_merge,,64,64,bytes,4327042.0,ns,10
cost_analysis_check_tuple_merge,,64,64,bytes,6528730.0,ns,15
cost_analysis_check_tuple_merge,,64,64,bytes,8684409.0,ns,20
cost_analysis_check_tuple_merge,,64,64,bytes,10854320.0,ns,25
cost_analysis_check_tuple_merge,,64,64,bytes,13068304.0,ns,30
cost_analysis_check_tuple_merge,,64,64,bytes,15207029.0,ns,35
cost_analysis_check_tuple_merge,,64,64,bytes,17381880.0,ns,40
cost_analysis_check_tuple_merge,,64,64,bytes,19528661.0,ns,45
cost_analysis_check_tuple_merge,,64,64,bytes,21701834.0,ns,50
cost_analysis_check_tuple_merge,,64,64,bytes,24190365.0,ns,55
cost_analysis_check_tuple_merge,,64,64,bytes,26087285.0,ns,60
cost_analysis_check_tuple_merge,,64,64,bytes,28515106.0,ns,65
cost_analysis_check_tuple_merge,,64,64,bytes,30546976.0,ns,70
cost_analysis_check_tuple_merge,,64,64,bytes,32767080.0,ns,75
cost_analysis_check_tuple_merge,,64,64,bytes,34880849.0,ns,80
cost_analysis_check_tuple_merge,,64,64,bytes,37015109.0,ns,85
cost_analysis_check_tuple_merge,,64,64,bytes,39434197.0,ns,90
cost_analysis_check_tuple_merge,,64,64,bytes,41641020.0,ns,95
cost_analysis_check_tuple_merge,,64,64,bytes,43685483.0,ns,100
cost_analysis_check_tuple_merge,,64,64,bytes,45780754.0,ns,105
cost_analysis_check_tuple_merge,,64,64,bytes,47841233.0,ns,110
cost_analysis_check_tuple_merge,,64,64,bytes,50170092.0,ns,115
cost_analysis_check_tuple_merge,,64,64,bytes,52317492.0,ns,120
cost_analysis_check_tuple_merge,,64,64,bytes,54485005.0,ns,125
cost_analysis_check_tuple_merge,,64,64,bytes,56695133.0,ns,130
cost_analysis_check_tuple_merge,,64,64,bytes,58685652.0,ns,135
cost_analysis_check_tuple_merge,,64,64,bytes,60781651.0,ns,140
cost_analysis_check_tuple_merge,,64,64,bytes,63855363.0,ns,145
cost_analysis_check_tuple_merge,,64,64,bytes,64855702.0,ns,150
cost_analysis_check_tuple_merge,,64,64,bytes,67310909.0,ns,155
cost_analysis_check_tuple_merge,,64,64,bytes,70373144.0,ns,160
cost_analysis_check_tuple_merge,,64,64,bytes,71926917.0,ns,165
cost_analysis_check_tuple_merge,,64,64,bytes,74250665.0,ns,170
cost_analysis_check_tuple_merge,,64,64,bytes,76317370.0,ns,175
cost_analysis_check_tuple_merge,,64,64,bytes,78759121.0,ns,180
cost_analysis_check_tuple_merge,,64,64,bytes,80415100.0,ns,185
cost_analysis_check_tuple_merge,,64,64,bytes,83048270.0,ns,190
cost_analysis_check_tuple_merge,,64,64,bytes,84794785.0,ns,195
cost_analysis_check_tuple_merge,,64,64,bytes,86828315.0,ns,200
cost_analysis_check_tuple_merge,,64,64,bytes,89029773.0,ns,205
cost_analysis_check_tuple_merge,,64,64,bytes,91575138.0,ns,210
cost_analysis_check_tuple_merge,,64,64,bytes,93583398.0,ns,215
cost_analysis_check_tuple_merge,,64,64,bytes,95978956.0,ns,220
cost_analysis_check_tuple_merge,,64,64,bytes,97951745.0,ns,225
cost_analysis_check_tuple_merge,,64,64,bytes,99855045.0,ns,230
cost_analysis_check_tuple_merge,,64,64,bytes,102581161.0,ns,235
cost_analysis_check_tuple_merge,,64,64,bytes,104423281.0,ns,240
cost_analysis_check_tuple_merge,,64,64,bytes,106860530.0,ns,245
cost_analysis_check_tuple_merge,,64,64,bytes,108947303.0,ns,250
cost_analysis_check_tuple_merge,,64,64,bytes,110970017.0,ns,255
cost_analysis_check_tuple_merge,,64,64,bytes,112896939.0,ns,260
cost_analysis_check_tuple_merge,,64,64,bytes,115162081.0,ns,265
cost_analysis_check_tuple_merge,,64,64,bytes,117492351.0,ns,270
cost_analysis_check_tuple_merge,,64,64,bytes,119506934.0,ns,275
cost_analysis_check_tuple_merge,,64,64,bytes,121911462.0,ns,280
cost_analysis_check_tuple_merge,,64,64,bytes,123970899.0,ns,285
cost_analysis_check_tuple_merge,,64,64,bytes,125991876.0,ns,290
cost_analysis_check_tuple_merge,,64,64,bytes,128253010.0,ns,295
cost_analysis_check_tuple_merge,,64,64,bytes,130880100.0,ns,300
cost_analysis_check_tuple_merge,,64,64,bytes,132670420.0,ns,305
cost_analysis_check_tuple_merge,,64,64,bytes,135186928.0,ns,310
cost_analysis_check_tuple_merge,,64,64,bytes,136945931.0,ns,315
cost_analysis_check_tuple_merge,,64,64,bytes,139125159.0,ns,320
