group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_check_tuple_merge,,8,8,bytes,2101052.0,ns,36
cost_analysis_check_tuple_merge,,8,8,bytes,4074002.0,ns,72
cost_analysis_check_tuple_merge,,8,8,bytes,6090875.0,ns,108
cost_analysis_check_tuple_merge,,8,8,bytes,8125191.0,ns,144
cost_analysis_check_tuple_merge,,8,8,bytes,10145147.0,ns,180
cost_analysis_check_tuple_merge,,8,8,bytes,12185278.0,ns,216
cost_analysis_check_tuple_merge,,8,8,bytes,14206490.0,ns,252
cost_analysis_check_tuple_merge,,8,8,bytes,16240311.0,ns,288
cost_analysis_check_tuple_merge,,8,8,bytes,18599234.0,ns,324
cost_analysis_check_tuple_merge,,8,8,bytes,20298429.0,ns,360
cost_analysis_check_tuple_merge,,8,8,bytes,22318912.0,ns,396
cost_analysis_check_tuple_merge,,8,8,bytes,24360649.0,ns,432
cost_analysis_check_tuple_merge,,8,8,bytes,26376809.0,ns,468
cost_analysis_check_tuple_merge,,8,8,bytes,28429186.0,ns,504
cost_analysis_check_tuple_merge,,8,8,bytes,30500885.0,ns,540
cost_analysis_check_tuple_merge,,8,8,bytes,32521917.0,ns,576
cost_analysis_check_tuple_merge,,8,8,bytes,34562821.0,ns,612
cost_analysis_check_tuple_merge,,8,8,bytes,36583347.0,ns,648
cost_analysis_check_tuple_merge,,8,8,bytes,38608662.0,ns,684
cost_analysis_check_tuple_merge,,8,8,bytes,40697432.0,ns,720
cost_analysis_check_tuple_merge,,8,8,bytes,42738661.0,ns,756
cost_analysis_check_tuple_merge,,8,8,bytes,44633798.0,ns,792
cost_analysis_check_tuple_merge,,8,8,bytes,46680080.0,ns,828
cost_analysis_check_tuple_merge,,8,8,bytes,48743496.0,ns,864
cost_analysis_check_tuple_merge,,8,8,bytes,50744960.0,ns,900
cost_analysis_check_tuple_merge,,8,8,bytes,52786559.0,ns,936
cost_analysis_check_tuple_merge,,8,8,bytes,54789279.0,ns,972
cost_analysis_check_tuple_merge,,8,8,bytes,56868373.0,ns,1008
cost_analysis_check_tuple_merge,,8,8,bytes,58887735.0,ns,1044
cost_analysis_check_tuple_merge,,8,8,bytes,60899767.0,ns,1080
cost_analysis_check_tuple_merge,,8,8,bytes,62914233.0,ns,1116
cost_analysis_check_tuple_merge,,8,8,bytes,64929325.0,ns,1152
cost_analysis_check_tuple_merge,,8,8,bytes,66968411.0,ns,1188
cost_analysis_check_tuple_merge,,8,8,bytes,68982234.0,ns,1224
cost_analysis_check_tuple_merge,,8,8,bytes,71019807.0,ns,1260
cost_analysis_check_tuple_merge,,8,8,bytes,73049870.0,ns,1296
cost_analysis_check_tuple_merge,,8,8,bytes,75078281.0,ns,1332
cost_analysis_check_tuple_merge,,8,8,bytes,77133439.0,ns,1368
cost_analysis_check_tuple_merge,,8,8,bytes,79226666.0,ns,1404
cost_analysis_check_tuple_merge,,8,8,bytes,81296440.0,ns,1440
cost_analysis_check_tuple_merge,,8,8,bytes,83176608.0,ns,1476
cost_analysis_check_tuple_merge,,8,8,bytes,85273093.0,ns,1512
cost_analysis_check_tuple_merge,,8,8,bytes,87282532.0,ns,1548
cost_analysis_check_tuple_merge,,8,8,bytes,89316200.0,ns,1584
cost_analysis_check_tuple_merge,,8,8,bytes,92318447.0,ns,1620
cost_analysis_check_tuple_merge,,8,8,bytes,93343989.0,ns,1656
cost_analysis_check_tuple_merge,,8,8,bytes,95408863.0,ns,1692
cost_analysis_check_tuple_merge,,8,8,bytes,97434557.0,ns,1728
cost_analysis_check_tuple_merge,,8,8,bytes,99476640.0,ns,1764
cost_analysis_check_tuple_merge,,8,8,bytes,101452179.0,ns,1800
cost_analysis_check_tuple_merge,,8,8,bytes,103495710.0,ns,1836
cost_analysis_check_tuple_merge,,8,8,bytes,105511252.0,ns,1872
cost_analysis_check_tuple_merge,,8,8,bytes,107917851.0,ns,1908
cost_analysis_check_tuple_merge,,8,8,bytes,109892635.0,ns,1944
cost_analysis_check_tuple_merge,,8,8,bytes,111596155.0,ns,1980
cost_analysis_check_tuple_merge,,8,8,bytes,113624418.0,ns,2016
cost_analysis_check_tuple_merge,,8,8,bytes,116130300.0,ns,2052
cost_analysis_check_tuple_merge,,8,8,bytes,117742948.0,ns,2088
cost_analysis_check_tuple_merge,,8,8,bytes,119911696.0,ns,2124
cost_analysis_check_tuple_merge,,8,8,bytes,121870235.0,ns,2160
cost_analysis_check_tuple_merge,,8,8,bytes,123836560.0,ns,2196
cost_analysis_check_tuple_merge,,8,8,bytes,126389996.0,ns,2232
cost_analysis_check_tuple_merge,,8,8,bytes,128313806.0,ns,2268
cost_analysis_check_tuple_merge,,8,8,bytes,129958634.0,ns,2304
cost_analysis_check_tuple_merge,,8,8,bytes,131910539.0,ns,2340
cost_analysis_check_tuple_merge,,8,8,bytes,133928744.0,ns,2376
cost_analysis_check_tuple_merge,,8,8,bytes,136011631.0,ns,2412
cost_analysis_check_tuple_merge,,8,8,bytes,139079169.0,ns,2448
cost_analysis_check_tuple_merge,,8,8,bytes,140556610.0,ns,2484
cost_analysis_check_tuple_merge,,8,8,bytes,142175761.0,ns,2520
cost_analysis_check_tuple_merge,,8,8,bytes,144169348.0,ns,2556
cost_analysis_check_tuple_merge,,8,8,bytes,146179775.0,ns,2592
cost_analysis_check_tuple_merge,,8,8,bytes,148240454.0,ns,2628
cost_analysis_check_tuple_merge,,8,8,bytes,150538820.0,ns,2664
cost_analysis_check_tuple_merge,,8,8,bytes,152438186.0,ns,2700
cost_analysis_check_tuple_merge,,8,8,bytes,154479203.0,ns,2736
cost_analysis_check_tuple_merge,,8,8,bytes,156469734.0,ns,2772
cost_analysis_check_tuple_merge,,8,8,bytes,158364138.0,ns,2808
cost_analysis_check_tuple_merge,,8,8,bytes,160381878.0,ns,2844
cost_analysis_check_tuple_merge,,8,8,bytes,162573925.0,ns,2880
cost_analysis_check_tuple_merge,,8,8,bytes,164577541.0,ns,2916
cost_analysis_check_tuple_merge,,8,8,bytes,166600181.0,ns,2952
cost_analysis_check_tuple_merge,,8,8,bytes,168512068.0,ns,2988
cost_analysis_check_tuple_merge,,8,8,bytes,170417434.0,ns,3024
cost_analysis_check_tuple_merge,,8,8,bytes,172464766.0,ns,3060
cost_analysis_check_tuple_merge,,8,8,bytes,174629712.0,ns,3096
cost_analysis_check_tuple_merge,,8,8,bytes,176636934.0,ns,3132
cost_analysis_check_tuple_merge,,8,8,bytes,178621699.0,ns,3168
cost_analysis_check_tuple_merge,,8,8,bytes,180853745.0,ns,3204
cost_analysis_check_tuple_merge,,8,8,bytes,182632914.0,ns,3240
cost_analysis_check_tuple_merge,,8,8,bytes,184794380.0,ns,3276
cost_analysis_check_tuple_merge,,8,8,bytes,186932319.0,ns,3312
cost_analysis_check_tuple_merge,,8,8,bytes,188954924.0,ns,3348
cost_analysis_check_tuple_merge,,8,8,bytes,190993890.0,ns,3384
cost_analysis_check_tuple_merge,,8,8,bytes,193252436.0,ns,3420
cost_analysis_check_tuple_merge,,8,8,bytes,194963420.0,ns,3456
cost_analysis_check_tuple_merge,,8,8,bytes,197569498.0,ns,3492
cost_analysis_check_tuple_merge,,8,8,bytes,199389452.0,ns,3528
cost_analysis_check_tuple_merge,,8,8,bytes,200977349.0,ns,3564
