group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_fetch_contract_entry,,1224,1224,bytes,2176708.0,ns,295
cost_analysis_fetch_contract_entry,,1224,1224,bytes,3962439.0,ns,590
cost_analysis_fetch_contract_entry,,1224,1224,bytes,5897255.0,ns,885
cost_analysis_fetch_contract_entry,,1224,1224,bytes,7910279.0,ns,1180
cost_analysis_fetch_contract_entry,,1224,1224,bytes,9891796.0,ns,1475
cost_analysis_fetch_contract_entry,,1224,1224,bytes,11853084.0,ns,1770
cost_analysis_fetch_contract_entry,,1224,1224,bytes,14032679.0,ns,2065
cost_analysis_fetch_contract_entry,,1224,1224,bytes,16123836.0,ns,2360
cost_analysis_fetch_contract_entry,,1224,1224,bytes,17970693.0,ns,2655
cost_analysis_fetch_contract_entry,,1224,1224,bytes,20424816.0,ns,2950
cost_analysis_fetch_contract_entry,,1224,1224,bytes,22308977.0,ns,3245
cost_analysis_fetch_contract_entry,,1224,1224,bytes,23864486.0,ns,3540
cost_analysis_fetch_contract_entry,,1224,1224,bytes,25827596.0,ns,3835
cost_analysis_fetch_contract_entry,,1224,1224,bytes,27785851.0,ns,4130
cost_analysis_fetch_contract_entry,,1224,1224,bytes,29746449.0,ns,4425
cost_analysis_fetch_contract_entry,,1224,1224,bytes,31748482.0,ns,4720
cost_analysis_fetch_contract_entry,,1224,1224,bytes,33722331.0,ns,5015
cost_analysis_fetch_contract_entry,,1224,1224,bytes,35596912.0,ns,5310
cost_analysis_fetch_contract_entry,,1224,1224,bytes,37508079.0,ns,5605
cost_analysis_fetch_contract_entry,,1224,1224,bytes,39542829.0,ns,5900
cost_analysis_fetch_contract_entry,,1224,1224,bytes,41472250.0,ns,6195
cost_analysis_fetch_contract_entry,,1224,1224,bytes,43402618.0,ns,6490
cost_analysis_fetch_contract_entry,,1224,1224,bytes,45277027.0,ns,6785
cost_analysis_fetch_contract_entry,,1224,1224,bytes,47389623.0,ns,7080
cost_analysis_fetch_contract_entry,,1224,1224,bytes,49532033.0,ns,7375
cost_analysis_fetch_contract_entry,,1224,1224,bytes,51333797.0,ns,7670
cost_analysis_fetch_contract_entry,,1224,1224,bytes,53135044.0,ns,7965
cost_analysis_fetch_contract_entry,,1224,1224,bytes,55023279.0,ns,8260
cost_analysis_fetch_contract_entry,,1224,1224,bytes,57020964.0,ns,8555
cost_analysis_fetch_contract_entry,,1224,1224,bytes,59170298.0,ns,8850
cost_analysis_fetch_contract_entry,,1224,1224,bytes,61228091.0,ns,9145
cost_analysis_fetch_contract_entry,,1224,1224,bytes,63210773.0,ns,9440
cost_analysis_fetch_contract_entry,,1224,1224,bytes,65042552.0,ns,9735
cost_analysis_fetch_contract_entry,,1224,1224,bytes,66926782.0,ns,10030
cost_analysis_fetch_contract_entry,,1224,1224,bytes,70049093.0,ns,10325
cost_analysis_fetch_contract_entry,,1224,1224,bytes,72101353.0,ns,10620
cost_analysis_fetch_contract_entry,,1224,1224,bytes,73249395.0,ns,10915
cost_analysis_fetch_contract_entry,,1224,1224,bytes,75612672.0,ns,11210
cost_analysis_fetch_contract_entry,,1224,1224,bytes,77506610.0,ns,11505
cost_analysis_fetch_contract_entry,,1224,1224,bytes,79353744.0,ns,11800
cost_analysis_fetch_contract_entry,,1224,1224,bytes,82448641.0,ns,12095
cost_analysis_fetch_contract_entry,,1224,1224,bytes,84733891.0,ns,12390
cost_analysis_fetch_contract_entry,,1224,1224,bytes,85238265.0,ns,12685
cost_analysis_fetch_contract_entry,,1224,1224,bytes,87356760.0,ns,12980
cost_analysis_fetch_contract_entry,,1224,1224,bytes,88921396.0,ns,13275
cost_analysis_fetch_contract_entry,,1224,1224,bytes,91010620.0,ns,13570
cost_analysis_fetch_contract_entry,,1224,1224,bytes,93421805.0,ns,13865
cost_analysis_fetch_contract_entry,,1224,1224,bytes,95124551.0,ns,14160
cost_analysis_fetch_contract_entry,,1224,1224,bytes,97073605.0,ns,14455
cost_analysis_fetch_contract_entry,,1224,1224,bytes,99734577.0,ns,14750
cost_analysis_fetch_contract_entry,,1224,1224,bytes,101026987.0,ns,15045
cost_analysis_fetch_contract_entry,,1224,1224,bytes,103137422.0,ns,15340
cost_analysis_fetch_contract_entry,,1224,1224,bytes,105662880.0,ns,15635
cost_analysis_fetch_contract_entry,,1224,1224,bytes,106498757.0,ns,15930
cost_analysis_fetch_contract_entry,,1224,1224,bytes,108537696.0,ns,16225
cost_analysis_fetch_contract_entry,,1224,1224,bytes,110563046.0,ns,16520
cost_analysis_fetch_contract_entry,,1224,1224,bytes,114864908.0,ns,16815
cost_analysis_fetch_contract_entry,,1224,1224,bytes,115541508.0,ns,17110
cost_analysis_fetch_contract_entry,,1224,1224,bytes,117114134.0,ns,17405
cost_analysis_fetch_contract_entry,,1224,1224,bytes,118660370.0,ns,17700
cost_analysis_fetch_contract_entry,,1224,1224,bytes,124348190.0,ns,17995
cost_analysis_fetch_contract_entry,,1224,1224,bytes,122612600.0,ns,18290
cost_analysis_fetch_contract_entry,,1224,1224,bytes,125515984.0,ns,18585
cost_analysis_fetch_contract_entry,,1224,1224,bytes,126331792.0,ns,18880
cost_analysis_fetch_contract_entry,,1224,1224,bytes,128925407.0,ns,19175
cost_analysis_fetch_contract_entry,,1224,1224,bytes,130998964.0,ns,19470
cost_analysis_fetch_contract_entry,,1224,1224,bytes,132526452.0,ns,19765
cost_analysis_fetch_contract_entry,,1224,1224,bytes,134904496.0,ns,20060
cost_analysis_fetch_contract_entry,,1224,1224,bytes,136119353.0,ns,20355
cost_analysis_fetch_contract_entry,,1224,1224,bytes,139049328.0,ns,20650
cost_analysis_fetch_contract_entry,,1224,1224,bytes,140255855.0,ns,20945
cost_analysis_fetch_contract_entry,,1224,1224,bytes,142529506.0,ns,21240
cost_analysis_fetch_contract_entry,,1224,1224,bytes,145299161.0,ns,21535
cost_analysis_fetch_contract_entry,,1224,1224,bytes,148410638.0,ns,21830
cost_analysis_fetch_contract_entry,,1224,1224,bytes,149309027.0,ns,22125
cost_analysis_fetch_contract_entry,,1224,1224,bytes,150843132.0,ns,22420
cost_analysis_fetch_contract_entry,,1224,1224,bytes,152411506.0,ns,22715
cost_analysis_fetch_contract_entry,,1224,1224,bytes,154408522.0,ns,23010
cost_analysis_fetch_contract_entry,,1224,1224,bytes,157563330.0,ns,23305
cost_analysis_fetch_contract_entry,,1224,1224,bytes,160142807.0,ns,23600
cost_analysis_fetch_contract_entry,,1224,1224,bytes,161874619.0,ns,23895
cost_analysis_fetch_contract_entry,,1224,1224,bytes,162046868.0,ns,24190
cost_analysis_fetch_contract_entry,,1224,1224,bytes,163534391.0,ns,24485
cost_analysis_fetch_contract_entry,,1224,1224,bytes,165884535.0,ns,24780
cost_analysis_fetch_contract_entry,,1224,1224,bytes,170258709.0,ns,25075
cost_analysis_fetch_contract_entry,,1224,1224,bytes,171469628.0,ns,25370
cost_analysis_fetch_contract_entry,,1224,1224,bytes,171758866.0,ns,25665
cost_analysis_fetch_contract_entry,,1224,1224,bytes,174140033.0,ns,25960
cost_analysis_fetch_contract_entry,,1224,1224,bytes,177232155.0,ns,26255
cost_analysis_fetch_contract_entry,,1224,1224,bytes,178857453.0,ns,26550
cost_analysis_fetch_contract_entry,,1224,1224,bytes,180214552.0,ns,26845
cost_analysis_fetch_contract_entry,,1224,1224,bytes,182557154.0,ns,27140
cost_analysis_fetch_contract_entry,,1224,1224,bytes,184100093.0,ns,27435
cost_analysis_fetch_contract_entry,,1224,1224,bytes,185917845.0,ns,27730
cost_analysis_fetch_contract_entry,,1224,1224,bytes,187690478.0,ns,28025
cost_analysis_fetch_contract_entry,,1224,1224,bytes,190460973.0,ns,28320
cost_analysis_fetch_contract_entry,,1224,1224,bytes,192216811.0,ns,28615
cost_analysis_fetch_contract_entry,,1224,1224,bytes,194303323.0,ns,28910
cost_analysis_fetch_contract_entry,,1224,1224,bytes,196555539.0,ns,29205
cost_analysis_fetch_contract_entry,,1224,1224,bytes,197892695.0,ns,29500
