group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_fetch_contract_entry,,3174,3174,bytes,2031367.0,ns,104
cost_analysis_fetch_contract_entry,,3174,3174,bytes,4007710.0,ns,208
cost_analysis_fetch_contract_entry,,3174,3174,bytes,6007371.0,ns,312
cost_analysis_fetch_contract_entry,,3174,3174,bytes,7993518.0,ns,416
cost_analysis_fetch_contract_entry,,3174,3174,bytes,9984894.0,ns,520
cost_analysis_fetch_contract_entry,,3174,3174,bytes,12013624.0,ns,624
cost_analysis_fetch_contract_entry,,3174,3174,bytes,13981006.0,ns,728
cost_analysis_fetch_contract_entry,,3174,3174,bytes,15983502.0,ns,832
cost_analysis_fetch_contract_entry,,3174,3174,bytes,18037820.0,ns,936
cost_analysis_fetch_contract_entry,,3174,3174,bytes,19965421.0,ns,1040
cost_analysis_fetch_contract_entry,,3174,3174,bytes,21985213.0,ns,1144
cost_analysis_fetch_contract_entry,,3174,3174,bytes,23961465.0,ns,1248
cost_analysis_fetch_contract_entry,,3174,3174,bytes,25917650.0,ns,1352
cost_analysis_fetch_contract_entry,,3174,3174,bytes,27914703.0,ns,1456
cost_analysis_fetch_contract_entry,,3174,3174,bytes,29930908.0,ns,1560
cost_analysis_fetch_contract_entry,,3174,3174,bytes,31912576.0,ns,1664
cost_analysis_fetch_contract_entry,,3174,3174,bytes,34174396.0,ns,1768
cost_analysis_fetch_contract_entry,,3174,3174,bytes,35911763.0,ns,1872
cost_analysis_fetch_contract_entry,,3174,3174,bytes,37889116.0,ns,1976
cost_analysis_fetch_contract_entry,,3174,3174,bytes,39818575.0,ns,2080
cost_analysis_fetch_contract_entry,,3174,3174,bytes,41876195.0,ns,2184
cost_analysis_fetch_contract_entry,,3174,3174,bytes,43768546.0,ns,2288
cost_analysis_fetch_contract_entry,,3174,3174,bytes,46273215.0,ns,2392
cost_analysis_fetch_contract_entry,,3174,3174,bytes,47956391.0,ns,2496
cost_analysis_fetch_contract_entry,,3174,3174,bytes,49894132.0,ns,2600
cost_analysis_fetch_contract_entry,,3174,3174,bytes,51732010.0,ns,2704
cost_analysis_fetch_contract_entry,,3174,3174,bytes,54237298.0,ns,2808
cost_analysis_fetch_contract_entry,,3174,3174,bytes,56031944.0,ns,2912
cost_analysis_fetch_contract_entry,,3174,3174,bytes,58284170.0,ns,3016
cost_analysis_fetch_contract_entry,,3174,3174,bytes,59941121.0,ns,3120
cost_analysis_fetch_contract_entry,,3174,3174,bytes,61950984.0,ns,3224
cost_analysis_fetch_contract_entry,,3174,3174,bytes,63745389.0,ns,3328
cost_analysis_fetch_contract_entry,,3174,3174,bytes,66163664.0,ns,3432
cost_analysis_fetch_contract_entry,,3174,3174,bytes,68232820.0,ns,3536
cost_analysis_fetch_contract_entry,,3174,3174,bytes,70874212.0,ns,3640
cost_analysis_fetch_contract_entry,,3174,3174,bytes,72279969.0,ns,3744
cost_analysis_fetch_contract_entry,,3174,3174,bytes,73879847.0,ns,3848
cost_analysis_fetch_contract_entry,,3174,3174,bytes,75688720.0,ns,3952
cost_analysis_fetch_contract_entry,,3174,3174,bytes,77529009.0,ns,4056
cost_analysis_fetch_contract_entry,,3174,3174,bytes,79436142.0,ns,4160
cost_analysis_fetch_contract_entry,,3174,3174,bytes,82643301.0,ns,4264
