group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_fetch_contract_entry,,5787,5787,bytes,1979722.0,ns,84
cost_analysis_fetch_contract_entry,,5787,5787,bytes,3954693.0,ns,168
cost_analysis_fetch_contract_entry,,5787,5787,bytes,5947219.0,ns,252
cost_analysis_fetch_contract_entry,,5787,5787,bytes,7903919.0,ns,336
cost_analysis_fetch_contract_entry,,5787,5787,bytes,9885994.0,ns,420
cost_analysis_fetch_contract_entry,,5787,5787,bytes,11865296.0,ns,504
cost_analysis_fetch_contract_entry,,5787,5787,bytes,13837341.0,ns,588
cost_analysis_fetch_contract_entry,,5787,5787,bytes,15839417.0,ns,672
cost_analysis_fetch_contract_entry,,5787,5787,bytes,17827270.0,ns,756
cost_analysis_fetch_contract_entry,,5787,5787,bytes,19784883.0,ns,840
cost_analysis_fetch_contract_entry,,5787,5787,bytes,21780981.0,ns,924
cost_analysis_fetch_contract_entry,,5787,5787,bytes,23745789.0,ns,1008
cost_analysis_fetch_contract_entry,,5787,5787,bytes,25724251.0,ns,1092
cost_analysis_fetch_contract_entry,,5787,5787,bytes,27694803.0,ns,1176
cost_analysis_fetch_contract_entry,,5787,5787,bytes,29742050.0,ns,1260
cost_analysis_fetch_contract_entry,,5787,5787,bytes,31652597.0,ns,1344
cost_analysis_fetch_contract_entry,,5787,5787,bytes,33630534.0,ns,1428
cost_analysis_fetch_contract_entry,,5787,5787,bytes,35574404.0,ns,1512
cost_analysis_fetch_contract_entry,,5787,5787,bytes,37545374.0,ns,1596
cost_analysis_fetch_contract_entry,,5787,5787,bytes,39494945.0,ns,1680
cost_analysis_fetch_contract_entry,,5787,5787,bytes,41747061.0,ns,1764
cost_analysis_fetch_contract_entry,,5787,5787,bytes,43667244.0,ns,1848
cost_analysis_fetch_contract_entry,,5787,5787,bytes,45940874.0,ns,1932
cost_analysis_fetch_contract_entry,,5787,5787,bytes,47807262.0,ns,2016
cost_analysis_fetch_contract_entry,,5787,5787,bytes,49474824.0,ns,2100
cost_analysis_fetch_contract_entry,,5787,5787,bytes,51410537.0,ns,2184
cost_analysis_fetch_contract_entry,,5787,5787,bytes,53396261.0,ns,2268
cost_analysis_fetch_contract_entry,,5787,5787,bytes,55424582.0,ns,2352
cost_analysis_fetch_contract_entry,,5787,5787,bytes,57464121.0,ns,2436
cost_analysis_fetch_contract_entry,,5787,5787,bytes,59319467.0,ns,2520
cost_analysis_fetch_contract_entry,,5787,5787,bytes,61335282.0,ns,2604
cost_analysis_fetch_contract_entry,,5787,5787,bytes,63296280.0,ns,2688
cost_analysis_fetch_contract_entry,,5787,5787,bytes,65340119.0,ns,2772
cost_analysis_fetch_contract_entry,,5787,5787,bytes,67270417.0,ns,2856
cost_analysis_fetch_contract_entry,,5787,5787,bytes,69316201.0,ns,2940
cost_analysis_fetch_contract_entry,,5787,5787,bytes,71179017.0,ns,3024
cost_analysis_fetch_contract_entry,,5787,5787,bytes,73368779.0,ns,3108
cost_analysis_fetch_contract_entry,,5787,5787,bytes,75164105.0,ns,3192
cost_analysis_fetch_contract_entry,,5787,5787,bytes,77104155.0,ns,3276
cost_analysis_fetch_contract_entry,,5787,5787,bytes,80307478.0,ns,3360
cost_analysis_fetch_contract_entry,,5787,5787,bytes,81184776.0,ns,3444
cost_analysis_fetch_contract_entry,,5787,5787,bytes,83005816.0,ns,3528
cost_analysis_fetch_contract_entry,,5787,5787,bytes,85044352.0,ns,3612
cost_analysis_fetch_contract_entry,,5787,5787,bytes,87061913.0,ns,3696
cost_analysis_fetch_contract_entry,,5787,5787,bytes,89120472.0,ns,3780
cost_analysis_fetch_contract_entry,,5787,5787,bytes,91090269.0,ns,3864
cost_analysis_fetch_contract_entry,,5787,5787,bytes,93047153.0,ns,3948
cost_analysis_fetch_contract_entry,,5787,5787,bytes,94900055.0,ns,4032
cost_analysis_fetch_contract_entry,,5787,5787,bytes,97027343.0,ns,4116
cost_analysis_fetch_contract_entry,,5787,5787,bytes,99796437.0,ns,4200
cost_analysis_fetch_contract_entry,,5787,5787,bytes,101231510.0,ns,4284
cost_analysis_fetch_contract_entry,,5787,5787,bytes,102704846.0,ns,4368
cost_analysis_fetch_contract_entry,,5787,5787,bytes,104773585.0,ns,4452
cost_analysis_fetch_contract_entry,,5787,5787,bytes,106650439.0,ns,4536
cost_analysis_fetch_contract_entry,,5787,5787,bytes,108582964.0,ns,4620
cost_analysis_fetch_contract_entry,,5787,5787,bytes,110597147.0,ns,4704
cost_analysis_fetch_contract_entry,,5787,5787,bytes,113046728.0,ns,4788
cost_analysis_fetch_contract_entry,,5787,5787,bytes,114930323.0,ns,4872
cost_analysis_fetch_contract_entry,,5787,5787,bytes,116706271.0,ns,4956
cost_analysis_fetch_contract_entry,,5787,5787,bytes,118720590.0,ns,5040
cost_analysis_fetch_contract_entry,,5787,5787,bytes,120559373.0,ns,5124
cost_analysis_fetch_contract_entry,,5787,5787,bytes,123159270.0,ns,5208
cost_analysis_fetch_contract_entry,,5787,5787,bytes,124915569.0,ns,5292
cost_analysis_fetch_contract_entry,,5787,5787,bytes,126886172.0,ns,5376
cost_analysis_fetch_contract_entry,,5787,5787,bytes,128723435.0,ns,5460
cost_analysis_fetch_contract_entry,,5787,5787,bytes,130596139.0,ns,5544
cost_analysis_fetch_contract_entry,,5787,5787,bytes,132532610.0,ns,5628
cost_analysis_fetch_contract_entry,,5787,5787,bytes,134408940.0,ns,5712
cost_analysis_fetch_contract_entry,,5787,5787,bytes,136441995.0,ns,5796
cost_analysis_fetch_contract_entry,,5787,5787,bytes,138336876.0,ns,5880
cost_analysis_fetch_contract_entry,,5787,5787,bytes,140246104.0,ns,5964
cost_analysis_fetch_contract_entry,,5787,5787,bytes,142872960.0,ns,6048
cost_analysis_fetch_contract_entry,,5787,5787,bytes,144404101.0,ns,6132
cost_analysis_fetch_contract_entry,,5787,5787,bytes,147428181.0,ns,6216
cost_analysis_fetch_contract_entry,,5787,5787,bytes,149346002.0,ns,6300
cost_analysis_fetch_contract_entry,,5787,5787,bytes,150249487.0,ns,6384
cost_analysis_fetch_contract_entry,,5787,5787,bytes,152127110.0,ns,6468
cost_analysis_fetch_contract_entry,,5787,5787,bytes,154286439.0,ns,6552
cost_analysis_fetch_contract_entry,,5787,5787,bytes,156837407.0,ns,6636
cost_analysis_fetch_contract_entry,,5787,5787,bytes,158082039.0,ns,6720
cost_analysis_fetch_contract_entry,,5787,5787,bytes,160246015.0,ns,6804
cost_analysis_fetch_contract_entry,,5787,5787,bytes,161983674.0,ns,6888
cost_analysis_fetch_contract_entry,,5787,5787,bytes,164068385.0,ns,6972
cost_analysis_fetch_contract_entry,,5787,5787,bytes,165762225.0,ns,7056
cost_analysis_fetch_contract_entry,,5787,5787,bytes,167951460.0,ns,7140
cost_analysis_fetch_contract_entry,,5787,5787,bytes,169989929.0,ns,7224
cost_analysis_fetch_contract_entry,,5787,5787,bytes,174072757.0,ns,7308
cost_analysis_fetch_contract_entry,,5787,5787,bytes,174215359.0,ns,7392
cost_analysis_fetch_contract_entry,,5787,5787,bytes,175539620.0,ns,7476
cost_analysis_fetch_contract_entry,,5787,5787,bytes,177781771.0,ns,7560
cost_analysis_fetch_contract_entry,,5787,5787,bytes,179591776.0,ns,7644
cost_analysis_fetch_contract_entry,,5787,5787,bytes,184017884.0,ns,7728
cost_analysis_fetch_contract_entry,,5787,5787,bytes,184471595.0,ns,7812
cost_analysis_fetch_contract_entry,,5787,5787,bytes,185679288.0,ns,7896
cost_analysis_fetch_contract_entry,,5787,5787,bytes,187556091.0,ns,7980
cost_analysis_fetch_contract_entry,,5787,5787,bytes,189829626.0,ns,8064
cost_analysis_fetch_contract_entry,,5787,5787,bytes,191567370.0,ns,8148
cost_analysis_fetch_contract_entry,,5787,5787,bytes,194343313.0,ns,8232
cost_analysis_fetch_contract_entry,,5787,5787,bytes,195779349.0,ns,8316
cost_analysis_fetch_contract_entry,,5787,5787,bytes,199876314.0,ns,8400
