group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_fetch_contract_entry,,84580,84580,bytes,2777626.0,ns,4
cost_analysis_fetch_contract_entry,,84580,84580,bytes,4877199.0,ns,8
cost_analysis_fetch_contract_entry,,84580,84580,bytes,7332233.0,ns,12
cost_analysis_fetch_contract_entry,,84580,84580,bytes,9887594.0,ns,16
cost_analysis_fetch_contract_entry,,84580,84580,bytes,12117433.0,ns,20
cost_analysis_fetch_contract_entry,,84580,84580,bytes,14496904.0,ns,24
cost_analysis_fetch_contract_entry,,84580,84580,bytes,17249382.0,ns,28
cost_analysis_fetch_contract_entry,,84580,84580,bytes,19428668.0,ns,32
cost_analysis_fetch_contract_entry,,84580,84580,bytes,21652705.0,ns,36
cost_analysis_fetch_contract_entry,,84580,84580,bytes,24163763.0,ns,40
cost_analysis_fetch_contract_entry,,84580,84580,bytes,26629818.0,ns,44
cost_analysis_fetch_contract_entry,,84580,84580,bytes,28950851.0,ns,48
cost_analysis_fetch_contract_entry,,84580,84580,bytes,31538885.0,ns,52
cost_analysis_fetch_contract_entry,,84580,84580,bytes,33731820.0,ns,56
cost_analysis_fetch_contract_entry,,84580,84580,bytes,36325957.0,ns,60
cost_analysis_fetch_contract_entry,,84580,84580,bytes,38684760.0,ns,64
cost_analysis_fetch_contract_entry,,84580,84580,bytes,40989864.0,ns,68
cost_analysis_fetch_contract_entry,,84580,84580,bytes,43218339.0,ns,72
cost_analysis_fetch_contract_entry,,84580,84580,bytes,45911176.0,ns,76
cost_analysis_fetch_contract_entry,,84580,84580,bytes,48446945.0,ns,80
cost_analysis_fetch_contract_entry,,84580,84580,bytes,50746388.0,ns,84
cost_analysis_fetch_contract_entry,,84580,84580,bytes,53218875.0,ns,88
cost_analysis_fetch_contract_entry,,84580,84580,bytes,55551951.0,ns,92
cost_analysis_fetch_contract_entry,,84580,84580,bytes,57825862.0,ns,96
cost_analysis_fetch_contract_entry,,84580,84580,bytes,60268748.0,ns,100
cost_analysis_fetch_contract_entry,,84580,84580,bytes,62560051.0,ns,104
cost_analysis_fetch_contract_entry,,84580,84580,bytes,64872908.0,ns,108
cost_analysis_fetch_contract_entry,,84580,84580,bytes,68391352.0,ns,112
cost_analysis_fetch_contract_entry,,84580,84580,bytes,70569674.0,ns,116
cost_analysis_fetch_contract_entry,,84580,84580,bytes,72412586.0,ns,120
cost_analysis_fetch_contract_entry,,84580,84580,bytes,74423775.0,ns,124
cost_analysis_fetch_contract_entry,,84580,84580,bytes,76891157.0,ns,128
cost_analysis_fetch_contract_entry,,84580,84580,bytes,79230971.0,ns,132
cost_analysis_fetch_contract_entry,,84580,84580,bytes,81770928.0,ns,136
cost_analysis_fetch_contract_entry,,84580,84580,bytes,84253824.0,ns,140
cost_analysis_fetch_contract_entry,,84580,84580,bytes,86384228.0,ns,144
cost_analysis_fetch_contract_entry,,84580,84580,bytes,89168618.0,ns,148
cost_analysis_fetch_contract_entry,,84580,84580,bytes,91638842.0,ns,152
cost_analysis_fetch_contract_entry,,84580,84580,bytes,93798934.0,ns,156
cost_analysis_fetch_contract_entry,,84580,84580,bytes,96715901.0,ns,160
cost_analysis_fetch_contract_entry,,84580,84580,bytes,99099476.0,ns,164
cost_analysis_fetch_contract_entry,,84580,84580,bytes,101140534.0,ns,168
cost_analysis_fetch_contract_entry,,84580,84580,bytes,103379339.0,ns,172
cost_analysis_fetch_contract_entry,,84580,84580,bytes,106305068.0,ns,176
cost_analysis_fetch_contract_entry,,84580,84580,bytes,109242993.0,ns,180
cost_analysis_fetch_contract_entry,,84580,84580,bytes,110529085.0,ns,184
cost_analysis_fetch_contract_entry,,84580,84580,bytes,112761454.0,ns,188
cost_analysis_fetch_contract_entry,,84580,84580,bytes,115237180.0,ns,192
cost_analysis_fetch_contract_entry,,84580,84580,bytes,118724650.0,ns,196
cost_analysis_fetch_contract_entry,,84580,84580,bytes,122946151.0,ns,200
cost_analysis_fetch_contract_entry,,84580,84580,bytes,124372861.0,ns,204
cost_analysis_fetch_contract_entry,,84580,84580,bytes,125180048.0,ns,208
cost_analysis_fetch_contract_entry,,84580,84580,bytes,127602064.0,ns,212
cost_analysis_fetch_contract_entry,,84580,84580,bytes,129958051.0,ns,216
cost_analysis_fetch_contract_entry,,84580,84580,bytes,132830410.0,ns,220
cost_analysis_fetch_contract_entry,,84580,84580,bytes,134881612.0,ns,224
cost_analysis_fetch_contract_entry,,84580,84580,bytes,137893375.0,ns,228
cost_analysis_fetch_contract_entry,,84580,84580,bytes,140260559.0,ns,232
cost_analysis_fetch_contract_entry,,84580,84580,bytes,143383330.0,ns,236
cost_analysis_fetch_contract_entry,,84580,84580,bytes,144711484.0,ns,240
cost_analysis_fetch_contract_entry,,84580,84580,bytes,147379349.0,ns,244
cost_analysis_fetch_contract_entry,,84580,84580,bytes,149577613.0,ns,248
cost_analysis_fetch_contract_entry,,84580,84580,bytes,151608344.0,ns,252
cost_analysis_fetch_contract_entry,,84580,84580,bytes,154768602.0,ns,256
cost_analysis_fetch_contract_entry,,84580,84580,bytes,157006565.0,ns,260
cost_analysis_fetch_contract_entry,,84580,84580,bytes,159139385.0,ns,264
cost_analysis_fetch_contract_entry,,84580,84580,bytes,161500159.0,ns,268
cost_analysis_fetch_contract_entry,,84580,84580,bytes,163450202.0,ns,272
cost_analysis_fetch_contract_entry,,84580,84580,bytes,165902771.0,ns,276
cost_analysis_fetch_contract_entry,,84580,84580,bytes,168518845.0,ns,280
cost_analysis_fetch_contract_entry,,84580,84580,bytes,170750692.0,ns,284
cost_analysis_fetch_contract_entry,,84580,84580,bytes,173065788.0,ns,288
cost_analysis_fetch_contract_entry,,84580,84580,bytes,175569286.0,ns,292
cost_analysis_fetch_contract_entry,,84580,84580,bytes,177919015.0,ns,296
cost_analysis_fetch_contract_entry,,84580,84580,bytes,181088853.0,ns,300
cost_analysis_fetch_contract_entry,,84580,84580,bytes,183985350.0,ns,304
cost_analysis_fetch_contract_entry,,84580,84580,bytes,184903787.0,ns,308
cost_analysis_fetch_contract_entry,,84580,84580,bytes,189395204.0,ns,312
cost_analysis_fetch_contract_entry,,84580,84580,bytes,191018324.0,ns,316
cost_analysis_fetch_contract_entry,,84580,84580,bytes,193985871.0,ns,320
cost_analysis_fetch_contract_entry,,84580,84580,bytes,198391310.0,ns,324
cost_analysis_fetch_contract_entry,,84580,84580,bytes,196995167.0,ns,328
cost_analysis_fetch_contract_entry,,84580,84580,bytes,199347477.0,ns,332
cost_analysis_fetch_contract_entry,,84580,84580,bytes,202726708.0,ns,336
cost_analysis_fetch_contract_entry,,84580,84580,bytes,204737397.0,ns,340
cost_analysis_fetch_contract_entry,,84580,84580,bytes,208059287.0,ns,344
cost_analysis_fetch_contract_entry,,84580,84580,bytes,210452678.0,ns,348
cost_analysis_fetch_contract_entry,,84580,84580,bytes,212294919.0,ns,352
cost_analysis_fetch_contract_entry,,84580,84580,bytes,214555614.0,ns,356
cost_analysis_fetch_contract_entry,,84580,84580,bytes,217874496.0,ns,360
cost_analysis_fetch_contract_entry,,84580,84580,bytes,220042552.0,ns,364
cost_analysis_fetch_contract_entry,,84580,84580,bytes,220971635.0,ns,368
cost_analysis_fetch_contract_entry,,84580,84580,bytes,224036901.0,ns,372
cost_analysis_fetch_contract_entry,,84580,84580,bytes,224794707.0,ns,376
cost_analysis_fetch_contract_entry,,84580,84580,bytes,228095018.0,ns,380
cost_analysis_fetch_contract_entry,,84580,84580,bytes,229784133.0,ns,384
cost_analysis_fetch_contract_entry,,84580,84580,bytes,232535543.0,ns,388
cost_analysis_fetch_contract_entry,,84580,84580,bytes,234405885.0,ns,392
cost_analysis_fetch_contract_entry,,84580,84580,bytes,236888202.0,ns,396
cost_analysis_fetch_contract_entry,,84580,84580,bytes,239549631.0,ns,400
