group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_get_function_entry,,129,129,bytes,3107044.0,ns,1
cost_analysis_get_function_entry,,129,129,bytes,6232567.0,ns,2
cost_analysis_get_function_entry,,129,129,bytes,9128316.0,ns,3
cost_analysis_get_function_entry,,129,129,bytes,12159282.0,ns,4
cost_analysis_get_function_entry,,129,129,bytes,15182491.0,ns,5
cost_analysis_get_function_entry,,129,129,bytes,18234338.0,ns,6
cost_analysis_get_function_entry,,129,129,bytes,21327421.0,ns,7
cost_analysis_get_function_entry,,129,129,bytes,24331704.0,ns,8
cost_analysis_get_function_entry,,129,129,bytes,27443187.0,ns,9
cost_analysis_get_function_entry,,129,129,bytes,30370392.0,ns,10
cost_analysis_get_function_entry,,129,129,bytes,33402465.0,ns,11
cost_analysis_get_function_entry,,129,129,bytes,36452927.0,ns,12
cost_analysis_get_function_entry,,129,129,bytes,39541755.0,ns,13
cost_analysis_get_function_entry,,129,129,bytes,42605311.0,ns,14
cost_analysis_get_function_entry,,129,129,bytes,45602327.0,ns,15
cost_analysis_get_function_entry,,129,129,bytes,48547888.0,ns,16
cost_analysis_get_function_entry,,129,129,bytes,51631372.0,ns,17
cost_analysis_get_function_entry,,129,129,bytes,55203346.0,ns,18
cost_analysis_get_function_entry,,129,129,bytes,57737773.0,ns,19
cost_analysis_get_function_entry,,129,129,bytes,60875202.0,ns,20
cost_analysis_get_function_entry,,129,129,bytes,63815021.0,ns,21
cost_analysis_get_function_entry,,129,129,bytes,66772899.0,ns,22
cost_analysis_get_function_entry,,129,129,bytes,69901155.0,ns,23
cost_analysis_get_function_entry,,129,129,bytes,72779934.0,ns,24
cost_analysis_get_function_entry,,129,129,bytes,75885401.0,ns,25
cost_analysis_get_function_entry,,129,129,bytes,79210743.0,ns,26
cost_analysis_get_function_entry,,129,129,bytes,81984087.0,ns,27
cost_analysis_get_function_entry,,129,129,bytes,85386970.0,ns,28
cost_analysis_get_function_entry,,129,129,bytes,88305820.0,ns,29
cost_analysis_get_function_entry,,129,129,bytes,91284473.0,ns,30
cost_analysis_get_function_entry,,129,129,bytes,94258832.0,ns,31
cost_analysis_get_function_entry,,129,129,bytes,97371220.0,ns,32
cost_analysis_get_function_entry,,129,129,bytes,100341793.0,ns,33
cost_analysis_get_function_entry,,129,129,bytes,103349089.0,ns,34
cost_analysis_get_function_entry,,129,129,bytes,106758719.0,ns,35
cost_analysis_get_function_entry,,129,129,bytes,109825243.0,ns,36
cost_analysis_get_function_entry,,129,129,bytes,113491168.0,ns,37
