group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_get_function_entry,,65,65,bytes,3609570.0,ns,2
cost_analysis_get_function_entry,,65,65,bytes,6999349.0,ns,4
cost_analysis_get_function_entry,,65,65,bytes,10498597.0,ns,6
cost_analysis_get_function_entry,,65,65,bytes,14011350.0,ns,8
cost_analysis_get_function_entry,,65,65,bytes,17512442.0,ns,10
cost_analysis_get_function_entry,,65,65,bytes,20991658.0,ns,12
cost_analysis_get_function_entry,,65,65,bytes,24489178.0,ns,14
cost_analysis_get_function_entry,,65,65,bytes,27976744.0,ns,16
cost_analysis_get_function_entry,,65,65,bytes,31533577.0,ns,18
cost_analysis_get_function_entry,,65,65,bytes,35035464.0,ns,20
cost_analysis_get_function_entry,,65,65,bytes,39145696.0,ns,22
cost_analysis_get_function_entry,,65,65,bytes,41997616.0,ns,24
cost_analysis_get_function_entry,,65,65,bytes,45690580.0,ns,26
cost_analysis_get_function_entry,,65,65,bytes,48989799.0,ns,28
cost_analysis_get_function_entry,,65,65,bytes,52495736.0,ns,30
cost_analysis_get_function_entry,,65,65,bytes,55989112.0,ns,32
cost_analysis_get_function_entry,,65,65,bytes,59453045.0,ns,34
cost_analysis_get_function_entry,,65,65,bytes,63032298.0,ns,36
cost_analysis_get_function_entry,,65,65,bytes,66867031.0,ns,38
cost_analysis_get_function_entry,,65,65,bytes,70477530.0,ns,40
cost_analysis_get_function_entry,,65,65,bytes,73500737.0,ns,42
cost_analysis_get_function_entry,,65,65,bytes,76998413.0,ns,44
cost_analysis_get_function_entry,,65,65,bytes,80503434.0,ns,46
cost_analysis_get_function_entry,,65,65,bytes,83926743.0,ns,48
cost_analysis_get_function_entry,,65,65,bytes,87396358.0,ns,50
cost_analysis_get_function_entry,,65,65,bytes,90856910.0,ns,52
cost_analysis_get_function_entry,,65,65,bytes,94349193.0,ns,54
cost_analysis_get_function_entry,,65,65,bytes,97888675.0,ns,56
cost_analysis_get_function_entry,,65,65,bytes,101472623.0,ns,58
cost_analysis_get_function_entry,,65,65,bytes,105092542.0,ns,60
cost_analysis_get_function_entry,,65,65,bytes,108834802.0,ns,62
cost_analysis_get_function_entry,,65,65,bytes,111969949.0,ns,64
cost_analysis_get_function_entry,,65,65,bytes,115369033.0,ns,66
cost_analysis_get_function_entry,,65,65,bytes,118824877.0,ns,68
cost_analysis_get_function_entry,,65,65,bytes,122472019.0,ns,70
cost_analysis_get_function_entry,,65,65,bytes,126481545.0,ns,72
cost_analysis_get_function_entry,,65,65,bytes,129316463.0,ns,74
cost_analysis_get_function_entry,,65,65,bytes,132791650.0,ns,76
cost_analysis_get_function_entry,,65,65,bytes,137278545.0,ns,78
cost_analysis_get_function_entry,,65,65,bytes,139890597.0,ns,80
cost_analysis_get_function_entry,,65,65,bytes,143342135.0,ns,82
cost_analysis_get_function_entry,,65,65,bytes,146758128.0,ns,84
cost_analysis_get_function_entry,,65,65,bytes,150839495.0,ns,86
cost_analysis_get_function_entry,,65,65,bytes,153713604.0,ns,88
cost_analysis_get_function_entry,,65,65,bytes,157066188.0,ns,90
cost_analysis_get_function_entry,,65,65,bytes,160769459.0,ns,92
cost_analysis_get_function_entry,,65,65,bytes,164087958.0,ns,94
cost_analysis_get_function_entry,,65,65,bytes,167548831.0,ns,96
cost_analysis_get_function_entry,,65,65,bytes,171012641.0,ns,98
cost_analysis_get_function_entry,,65,65,bytes,174625802.0,ns,100
cost_analysis_get_function_entry,,65,65,bytes,178622626.0,ns,102
cost_analysis_get_function_entry,,65,65,bytes,182503922.0,ns,104
cost_analysis_get_function_entry,,65,65,bytes,185266869.0,ns,106
cost_analysis_get_function_entry,,65,65,bytes,188830127.0,ns,108
cost_analysis_get_function_entry,,65,65,bytes,192480156.0,ns,110
cost_analysis_get_function_entry,,65,65,bytes,195770752.0,ns,112
cost_analysis_get_function_entry,,65,65,bytes,199967241.0,ns,114
cost_analysis_get_function_entry,,65,65,bytes,203095381.0,ns,116
cost_analysis_get_function_entry,,65,65,bytes,206622373.0,ns,118
cost_analysis_get_function_entry,,65,65,bytes,210431304.0,ns,120
cost_analysis_get_function_entry,,65,65,bytes,213280168.0,ns,122
cost_analysis_get_function_entry,,65,65,bytes,216845070.0,ns,124
cost_analysis_get_function_entry,,65,65,bytes,220294456.0,ns,126
cost_analysis_get_function_entry,,65,65,bytes,224745118.0,ns,128
cost_analysis_get_function_entry,,65,65,bytes,227334240.0,ns,130
cost_analysis_get_function_entry,,65,65,bytes,230832977.0,ns,132
cost_analysis_get_function_entry,,65,65,bytes,236232082.0,ns,134
cost_analysis_get_function_entry,,65,65,bytes,237837127.0,ns,136
cost_analysis_get_function_entry,,65,65,bytes,241587330.0,ns,138
cost_analysis_get_function_entry,,65,65,bytes,246486247.0,ns,140
cost_analysis_get_function_entry,,65,65,bytes,249494302.0,ns,142
cost_analysis_get_function_entry,,65,65,bytes,251987646.0,ns,144
cost_analysis_get_function_entry,,65,65,bytes,255798681.0,ns,146
cost_analysis_get_function_entry,,65,65,bytes,260731264.0,ns,148
cost_analysis_get_function_entry,,65,65,bytes,263030219.0,ns,150
cost_analysis_get_function_entry,,65,65,bytes,268316548.0,ns,152
cost_analysis_get_function_entry,,65,65,bytes,270613872.0,ns,154
cost_analysis_get_function_entry,,65,65,bytes,273707406.0,ns,156
cost_analysis_get_function_entry,,65,65,bytes,276622935.0,ns,158
cost_analysis_get_function_entry,,65,65,bytes,279993021.0,ns,160
cost_analysis_get_function_entry,,65,65,bytes,283725751.0,ns,162
cost_analysis_get_function_entry,,65,65,bytes,287232789.0,ns,164
cost_analysis_get_function_entry,,65,65,bytes,290000780.0,ns,166
cost_analysis_get_function_entry,,65,65,bytes,294307853.0,ns,168
cost_analysis_get_function_entry,,65,65,bytes,298740119.0,ns,170
cost_analysis_get_function_entry,,65,65,bytes,301677107.0,ns,172
cost_analysis_get_function_entry,,65,65,bytes,304752719.0,ns,174
cost_analysis_get_function_entry,,65,65,bytes,309102402.0,ns,176
cost_analysis_get_function_entry,,65,65,bytes,311835685.0,ns,178
cost_analysis_get_function_entry,,65,65,bytes,315639153.0,ns,180
cost_analysis_get_function_entry,,65,65,bytes,318116738.0,ns,182
cost_analysis_get_function_entry,,65,65,bytes,322193458.0,ns,184
cost_analysis_get_function_entry,,65,65,bytes,325283882.0,ns,186
cost_analysis_get_function_entry,,65,65,bytes,329250392.0,ns,188
cost_analysis_get_function_entry,,65,65,bytes,332887840.0,ns,190
cost_analysis_get_function_entry,,65,65,bytes,335524296.0,ns,192
cost_analysis_get_function_entry,,65,65,bytes,339315832.0,ns,194
cost_analysis_get_function_entry,,65,65,bytes,343303944.0,ns,196
cost_analysis_get_function_entry,,65,65,bytes,346679387.0,ns,198
cost_analysis_get_function_entry,,65,65,bytes,350024777.0,ns,200
