group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_iterable_func,,128,128,bytes,2095966.0,ns,15
cost_analysis_iterable_func,,128,128,bytes,4125114.0,ns,30
cost_analysis_iterable_func,,128,128,bytes,6147449.0,ns,45
cost_analysis_iterable_func,,128,128,bytes,8231692.0,ns,60
cost_analysis_iterable_func,,128,128,bytes,10292940.0,ns,75
cost_analysis_iterable_func,,128,128,bytes,12332220.0,ns,90
cost_analysis_iterable_func,,128,128,bytes,14360718.0,ns,105
cost_analysis_iterable_func,,128,128,bytes,16463946.0,ns,120
cost_analysis_iterable_func,,128,128,bytes,18575356.0,ns,135
cost_analysis_iterable_func,,128,128,bytes,20609323.0,ns,150
cost_analysis_iterable_func,,128,128,bytes,22647607.0,ns,165
cost_analysis_iterable_func,,128,128,bytes,24641152.0,ns,180
cost_analysis_iterable_func,,128,128,bytes,26729660.0,ns,195
cost_analysis_iterable_func,,128,128,bytes,28707969.0,ns,210
cost_analysis_iterable_func,,128,128,bytes,30878686.0,ns,225
cost_analysis_iterable_func,,128,128,bytes,32848899.0,ns,240
cost_analysis_iterable_func,,128,128,bytes,34914737.0,ns,255
cost_analysis_iterable_func,,128,128,bytes,36992750.0,ns,270
cost_analysis_iterable_func,,128,128,bytes,39021345.0,ns,285
cost_analysis_iterable_func,,128,128,bytes,41092998.0,ns,300
cost_analysis_iterable_func,,128,128,bytes,43168229.0,ns,315
cost_analysis_iterable_func,,128,128,bytes,45157771.0,ns,330
cost_analysis_iterable_func,,128,128,bytes,47241500.0,ns,345
cost_analysis_iterable_func,,128,128,bytes,49297314.0,ns,360
cost_analysis_iterable_func,,128,128,bytes,51310935.0,ns,375
cost_analysis_iterable_func,,128,128,bytes,53423110.0,ns,390
cost_analysis_iterable_func,,128,128,bytes,55517444.0,ns,405
cost_analysis_iterable_func,,128,128,bytes,57507878.0,ns,420
cost_analysis_iterable_func,,128,128,bytes,59608599.0,ns,435
cost_analysis_iterable_func,,128,128,bytes,61607756.0,ns,450
cost_analysis_iterable_func,,128,128,bytes,63657975.0,ns,465
cost_analysis_iterable_func,,128,128,bytes,65747816.0,ns,480
cost_analysis_iterable_func,,128,128,bytes,68126055.0,ns,495
cost_analysis_iterable_func,,128,128,bytes,69967115.0,ns,510
cost_analysis_iterable_func,,128,128,bytes,72137289.0,ns,525
cost_analysis_iterable_func,,128,128,bytes,74023167.0,ns,540
cost_analysis_iterable_func,,128,128,bytes,76112234.0,ns,555
cost_analysis_iterable_func,,128,128,bytes,78143223.0,ns,570
cost_analysis_iterable_func,,128,128,bytes,80164178.0,ns,585
cost_analysis_iterable_func,,128,128,bytes,82230959.0,ns,600
cost_analysis_iterable_func,,128,128,bytes,84286553.0,ns,615
cost_analysis_iterable_func,,128,128,bytes,86344177.0,ns,630
cost_analysis_iterable_func,,128,128,bytes,88379478.0,ns,645
cost_analysis_iterable_func,,128,128,bytes,90492549.0,ns,660
cost_analysis_iterable_func,,128,128,bytes,93622507.0,ns,675
cost_analysis_iterable_func,,128,128,bytes,94506419.0,ns,690
cost_analysis_iterable_func,,128,128,bytes,96622688.0,ns,705
cost_analysis_iterable_func,,128,128,bytes,98674765.0,ns,720
cost_analysis_iterable_func,,128,128,bytes,100741226.0,ns,735
cost_analysis_iterable_func,,128,128,bytes,102753143.0,ns,750
cost_analysis_iterable_func,,128,128,bytes,104816765.0,ns,765
cost_analysis_iterable_func,,128,128,bytes,106928812.0,ns,780
cost_analysis_iterable_func,,128,128,bytes,108888875.0,ns,795
cost_analysis_iterable_func,,128,128,bytes,111062843.0,ns,810
cost_analysis_iterable_func,,128,128,bytes,113442208.0,ns,825
cost_analysis_iterable_func,,128,128,bytes,115080413.0,ns,840
cost_analysis_iterable_func,,128,128,bytes,117120704.0,ns,855
cost_analysis_iterable_func,,128,128,bytes,119186055.0,ns,870
cost_analysis_iterable_func,,128,128,bytes,121213844.0,ns,885
cost_analysis_iterable_func,,128,128,bytes,123296462.0,ns,900
cost_analysis_iterable_func,,128,128,bytes,125518755.0,ns,915
cost_analysis_iterable_func,,128,128,bytes,127370087.0,ns,930
cost_analysis_iterable_func,,128,128,bytes,130360435.0,ns,945
cost_analysis_iterable_func,,128,128,bytes,132415567.0,ns,960
cost_analysis_iterable_func,,128,128,bytes,133868174.0,ns,975
cost_analysis_iterable_func,,128,128,bytes,136539263.0,ns,990
cost_analysis_iterable_func,,128,128,bytes,138497263.0,ns,1005
cost_analysis_iterable_func,,128,128,bytes,139954355.0,ns,1020
cost_analysis_iterable_func,,128,128,bytes,142389318.0,ns,1035
cost_analysis_iterable_func,,128,128,bytes,144196163.0,ns,1050
cost_analysis_iterable_func,,128,128,bytes,146454789.0,ns,1065
cost_analysis_iterable_func,,128,128,bytes,147979762.0,ns,1080
cost_analysis_iterable_func,,128,128,bytes,150003715.0,ns,1095
cost_analysis_iterable_func,,128,128,bytes,152145214.0,ns,1110
cost_analysis_iterable_func,,128,128,bytes,154085661.0,ns,1125
cost_analysis_iterable_func,,128,128,bytes,156537175.0,ns,1140
cost_analysis_iterable_func,,128,128,bytes,159699207.0,ns,1155
cost_analysis_iterable_func,,128,128,bytes,160315242.0,ns,1170
cost_analysis_iterable_func,,128,128,bytes,162965014.0,ns,1185
cost_analysis_iterable_func,,128,128,bytes,164645110.0,ns,1200
cost_analysis_iterable_func,,128,128,bytes,166979308.0,ns,1215
cost_analysis_iterable_func,,128,128,bytes,169615581.0,ns,1230
cost_analysis_iterable_func,,128,128,bytes,170885469.0,ns,1245
cost_analysis_iterable_func,,128,128,bytes,172489445.0,ns,1260
cost_analysis_iterable_func,,128,128,bytes,174563677.0,ns,1275
cost_analysis_iterable_func,,128,128,bytes,176614957.0,ns,1290
cost_analysis_iterable_func,,128,128,bytes,178731660.0,ns,1305
cost_analysis_iterable_func,,128,128,bytes,180944287.0,ns,1320
cost_analysis_iterable_func,,128,128,bytes,182851414.0,ns,1335
cost_analysis_iterable_func,,128,128,bytes,184786236.0,ns,1350
cost_analysis_iterable_func,,128,128,bytes,186902409.0,ns,1365
cost_analysis_iterable_func,,128,128,bytes,188875491.0,ns,1380
cost_analysis_iterable_func,,128,128,bytes,190936621.0,ns,1395
