group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_iterable_func,,8,8,bytes,1161840.0,ns,2
cost_analysis_iterable_func,,8,8,bytes,2367890.0,ns,4
cost_analysis_iterable_func,,8,8,bytes,3452409.0,ns,6
cost_analysis_iterable_func,,8,8,bytes,4683773.0,ns,8
cost_analysis_iterable_func,,8,8,bytes,5761462.0,ns,10
cost_analysis_iterable_func,,8,8,bytes,6973809.0,ns,12
cost_analysis_iterable_func,,8,8,bytes,8079610.0,ns,14
cost_analysis_iterable_func,,8,8,bytes,9206920.0,ns,16
cost_analysis_iterable_func,,8,8,bytes,10376242.0,ns,18
cost_analysis_iterable_func,,8,8,bytes,11516886.0,ns,20
cost_analysis_iterable_func,,8,8,bytes,12670566.0,ns,22
cost_analysis_iterable_func,,8,8,bytes,13859482.0,ns,24
cost_analysis_iterable_func,,8,8,bytes,14955002.0,ns,26
cost_analysis_iterable_func,,8,8,bytes,16122365.0,ns,28
cost_analysis_iterable_func,,8,8,bytes,17268004.0,ns,30
cost_analysis_iterable_func,,8,8,bytes,18417505.0,ns,32
cost_analysis_iterable_func,,8,8,bytes,19596110.0,ns,34
cost_analysis_iterable_func,,8,8,bytes,20734342.0,ns,36
cost_analysis_iterable_func,,8,8,bytes,21949692.0,ns,38
cost_analysis_iterable_func,,8,8,bytes,23019297.0,ns,40
cost_analysis_iterable_func,,8,8,bytes,24237128.0,ns,42
cost_analysis_iterable_func,,8,8,bytes,25353577.0,ns,44
cost_analysis_iterable_func,,8,8,bytes,26505163.0,ns,46
cost_analysis_iterable_func,,8,8,bytes,27656516.0,ns,48
cost_analysis_iterable_func,,8,8,bytes,28848555.0,ns,50
cost_analysis_iterable_func,,8,8,bytes,29897444.0,ns,52
cost_analysis_iterable_func,,8,8,bytes,31255108.0,ns,54
cost_analysis_iterable_func,,8,8,bytes,32324549.0,ns,56
cost_analysis_iterable_func,,8,8,bytes,33389336.0,ns,58
cost_analysis_iterable_func,,8,8,bytes,34529584.0,ns,60
cost_analysis_iterable_func,,8,8,bytes,35734984.0,ns,62
cost_analysis_iterable_func,,8,8,bytes,36902612.0,ns,64
cost_analysis_iterable_func,,8,8,bytes,38027766.0,ns,66
cost_analysis_iterable_func,,8,8,bytes,39177723.0,ns,68
cost_analysis_iterable_func,,8,8,bytes,40412772.0,ns,70
cost_analysis_iterable_func,,8,8,bytes,41500684.0,ns,72
cost_analysis_iterable_func,,8,8,bytes,42637757.0,ns,74
cost_analysis_iterable_func,,8,8,bytes,43797295.0,ns,76
cost_analysis_iterable_func,,8,8,bytes,44893598.0,ns,78
cost_analysis_iterable_func,,8,8,bytes,46018469.0,ns,80
cost_analysis_iterable_func,,8,8,bytes,47241964.0,ns,82
cost_analysis_iterable_func,,8,8,bytes,48387555.0,ns,84
cost_analysis_iterable_func,,8,8,bytes,49548695.0,ns,86
cost_analysis_iterable_func,,8,8,bytes,50690843.0,ns,88
cost_analysis_iterable_func,,8,8,bytes,51859980.0,ns,90
cost_analysis_iterable_func,,8,8,bytes,53034496.0,ns,92
cost_analysis_iterable_func,,8,8,bytes,54047874.0,ns,94
cost_analysis_iterable_func,,8,8,bytes,55298302.0,ns,96
cost_analysis_iterable_func,,8,8,bytes,56455133.0,ns,98
cost_analysis_iterable_func,,8,8,bytes,57620408.0,ns,100
cost_analysis_iterable_func,,8,8,bytes,58708451.0,ns,102
cost_analysis_iterable_func,,8,8,bytes,59898935.0,ns,104
cost_analysis_iterable_func,,8,8,bytes,61008886.0,ns,106
cost_analysis_iterable_func,,8,8,bytes,62163931.0,ns,108
cost_analysis_iterable_func,,8,8,bytes,63670864.0,ns,110
cost_analysis_iterable_func,,8,8,bytes,64832261.0,ns,112
cost_analysis_iterable_func,,8,8,bytes,65547433.0,ns,114
cost_analysis_iterable_func,,8,8,bytes,66546434.0,ns,116
cost_analysis_iterable_func,,8,8,bytes,67590499.0,ns,118
cost_analysis_iterable_func,,8,8,bytes,68608665.0,ns,120
cost_analysis_iterable_func,,8,8,bytes,69918759.0,ns,122
cost_analysis_iterable_func,,8,8,bytes,70971320.0,ns,124
cost_analysis_iterable_func,,8,8,bytes,72015236.0,ns,126
cost_analysis_iterable_func,,8,8,bytes,73154338.0,ns,128
cost_analysis_iterable_func,,8,8,bytes,74441324.0,ns,130
cost_analysis_iterable_func,,8,8,bytes,75523506.0,ns,132
cost_analysis_iterable_func,,8,8,bytes,76732774.0,ns,134
cost_analysis_iterable_func,,8,8,bytes,77746626.0,ns,136
cost_analysis_iterable_func,,8,8,bytes,79355824.0,ns,138
cost_analysis_iterable_func,,8,8,bytes,81376775.0,ns,140
cost_analysis_iterable_func,,8,8,bytes,82253727.0,ns,142
cost_analysis_iterable_func,,8,8,bytes,83702120.0,ns,144
cost_analysis_iterable_func,,8,8,bytes,84651930.0,ns,146
cost_analysis_iterable_func,,8,8,bytes,85616615.0,ns,148
cost_analysis_iterable_func,,8,8,bytes,86936181.0,ns,150
cost_analysis_iterable_func,,8,8,bytes,88107646.0,ns,152
cost_analysis_iterable_func,,8,8,bytes,89250602.0,ns,154
cost_analysis_iterable_func,,8,8,bytes,90439112.0,ns,156
cost_analysis_iterable_func,,8,8,bytes,91461697.0,ns,158
cost_analysis_iterable_func,,8,8,bytes,93193432.0,ns,160
cost_analysis_iterable_func,,8,8,bytes,93441803.0,ns,162
cost_analysis_iterable_func,,8,8,bytes,94629700.0,ns,164
cost_analysis_iterable_func,,8,8,bytes,95738278.0,ns,166
cost_analysis_iterable_func,,8,8,bytes,96802653.0,ns,168
cost_analysis_iterable_func,,8,8,bytes,98043553.0,ns,170
cost_analysis_iterable_func,,8,8,bytes,99057112.0,ns,172
cost_analysis_iterable_func,,8,8,bytes,100215620.0,ns,174
cost_analysis_iterable_func,,8,8,bytes,101336435.0,ns,176
cost_analysis_iterable_func,,8,8,bytes,102674300.0,ns,178
cost_analysis_iterable_func,,8,8,bytes,103630040.0,ns,180
cost_analysis_iterable_func,,8,8,bytes,104829115.0,ns,182
cost_analysis_iterable_func,,8,8,bytes,105993839.0,ns,184
cost_analysis_iterable_func,,8,8,bytes,107086335.0,ns,186
cost_analysis_iterable_func,,8,8,bytes,108180577.0,ns,188
cost_analysis_iterable_func,,8,8,bytes,109463358.0,ns,190
cost_analysis_iterable_func,,8,8,bytes,110534053.0,ns,192
cost_analysis_iterable_func,,8,8,bytes,111711752.0,ns,194
cost_analysis_iterable_func,,8,8,bytes,112924539.0,ns,196
cost_analysis_iterable_func,,8,8,bytes,114403942.0,ns,198
cost_analysis_iterable_func,,8,8,bytes,116099002.0,ns,200
