group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_list_items_check,,64,64,bytes,1989690.0,ns,2
cost_analysis_list_items_check,,64,64,bytes,3759540.0,ns,4
cost_analysis_list_items_check,,64,64,bytes,5643974.0,ns,6
cost_analysis_list_items_check,,64,64,bytes,7469478.0,ns,8
cost_analysis_list_items_check,,64,64,bytes,9276590.0,ns,10
cost_analysis_list_items_check,,64,64,bytes,11158148.0,ns,12
cost_analysis_list_items_check,,64,64,bytes,13022001.0,ns,14
cost_analysis_list_items_check,,64,64,bytes,14845732.0,ns,16
cost_analysis_list_items_check,,64,64,bytes,16741929.0,ns,18
cost_analysis_list_items_check,,64,64,bytes,18567091.0,ns,20
cost_analysis_list_items_check,,64,64,bytes,20446201.0,ns,22
cost_analysis_list_items_check,,64,64,bytes,22315545.0,ns,24
cost_analysis_list_items_check,,64,64,bytes,24171580.0,ns,26
cost_analysis_list_items_check,,64,64,bytes,26011457.0,ns,28
cost_analysis_list_items_check,,64,64,bytes,27854927.0,ns,30
cost_analysis_list_items_check,,64,64,bytes,29728548.0,ns,32
cost_analysis_list_items_check,,64,64,bytes,31575608.0,ns,34
cost_analysis_list_items_check,,64,64,bytes,33415498.0,ns,36
cost_analysis_list_items_check,,64,64,bytes,36029942.0,ns,38
cost_analysis_list_items_check,,64,64,bytes,37186844.0,ns,40
cost_analysis_list_items_check,,64,64,bytes,39020411.0,ns,42
cost_analysis_list_items_check,,64,64,bytes,40902387.0,ns,44
cost_analysis_list_items_check,,64,64,bytes,42735371.0,ns,46
cost_analysis_list_items_check,,64,64,bytes,44564289.0,ns,48
cost_analysis_list_items_check,,64,64,bytes,46468671.0,ns,50
cost_analysis_list_items_check,,64,64,bytes,48354234.0,ns,52
cost_analysis_list_items_check,,64,64,bytes,50185074.0,ns,54
cost_analysis_list_items_check,,64,64,bytes,52096502.0,ns,56
cost_analysis_list_items_check,,64,64,bytes,53875626.0,ns,58
cost_analysis_list_items_check,,64,64,bytes,55741163.0,ns,60
cost_analysis_list_items_check,,64,64,bytes,57848191.0,ns,62
cost_analysis_list_items_check,,64,64,bytes,59542137.0,ns,64
cost_analysis_list_items_check,,64,64,bytes,61314720.0,ns,66
cost_analysis_list_items_check,,64,64,bytes,63196593.0,ns,68
cost_analysis_list_items_check,,64,64,bytes,65098059.0,ns,70
cost_analysis_list_items_check,,64,64,bytes,66940579.0,ns,72
cost_analysis_list_items_check,,64,64,bytes,68776895.0,ns,74
cost_analysis_list_items_check,,64,64,bytes,70644779.0,ns,76
cost_analysis_list_items_check,,64,64,bytes,72484483.0,ns,78
cost_analysis_list_items_check,,64,64,bytes,74348630.0,ns,80
cost_analysis_list_items_check,,64,64,bytes,76291071.0,ns,82
cost_analysis_list_items_check,,64,64,bytes,78167530.0,ns,84
cost_analysis_list_items_check,,64,64,bytes,79947194.0,ns,86
cost_analysis_list_items_check,,64,64,bytes,83102683.0,ns,88
cost_analysis_list_items_check,,64,64,bytes,84621608.0,ns,90
cost_analysis_list_items_check,,64,64,bytes,86352009.0,ns,92
cost_analysis_list_items_check,,64,64,bytes,88259744.0,ns,94
cost_analysis_list_items_check,,64,64,bytes,90765159.0,ns,96
cost_analysis_list_items_check,,64,64,bytes,91399029.0,ns,98
