group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_lookup_function,,0,0,bytes,2249255.0,ns,377
cost_analysis_lookup_function,,0,0,bytes,3992240.0,ns,754
cost_analysis_lookup_function,,0,0,bytes,5941521.0,ns,1131
cost_analysis_lookup_function,,0,0,bytes,7919138.0,ns,1508
cost_analysis_lookup_function,,0,0,bytes,9912010.0,ns,1885
cost_analysis_lookup_function,,0,0,bytes,11910725.0,ns,2262
cost_analysis_lookup_function,,0,0,bytes,13879091.0,ns,2639
cost_analysis_lookup_function,,0,0,bytes,15841031.0,ns,3016
cost_analysis_lookup_function,,0,0,bytes,17810496.0,ns,3393
cost_analysis_lookup_function,,0,0,bytes,19758775.0,ns,3770
cost_analysis_lookup_function,,0,0,bytes,21803735.0,ns,4147
cost_analysis_lookup_function,,0,0,bytes,23766568.0,ns,4524
cost_analysis_lookup_function,,0,0,bytes,25711092.0,ns,4901
cost_analysis_lookup_function,,0,0,bytes,27683420.0,ns,5278
cost_analysis_lookup_function,,0,0,bytes,29794492.0,ns,5655
cost_analysis_lookup_function,,0,0,bytes,31745668.0,ns,6032
cost_analysis_lookup_function,,0,0,bytes,33822316.0,ns,6409
cost_analysis_lookup_function,,0,0,bytes,35630450.0,ns,6786
cost_analysis_lookup_function,,0,0,bytes,37550273.0,ns,7163
cost_analysis_lookup_function,,0,0,bytes,39646282.0,ns,7540
cost_analysis_lookup_function,,0,0,bytes,41634876.0,ns,7917
cost_analysis_lookup_function,,0,0,bytes,43653707.0,ns,8294
cost_analysis_lookup_function,,0,0,bytes,45612688.0,ns,8671
cost_analysis_lookup_function,,0,0,bytes,47586164.0,ns,9048
cost_analysis_lookup_function,,0,0,bytes,49495477.0,ns,9425
cost_analysis_lookup_function,,0,0,bytes,51734911.0,ns,9802
cost_analysis_lookup_function,,0,0,bytes,53566748.0,ns,10179
cost_analysis_lookup_function,,0,0,bytes,55488611.0,ns,10556
cost_analysis_lookup_function,,0,0,bytes,57440340.0,ns,10933
