group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_lookup_function_types,,131,131,bytes,2138961.0,ns,274
cost_analysis_lookup_function_types,,131,131,bytes,3989520.0,ns,548
cost_analysis_lookup_function_types,,131,131,bytes,5947431.0,ns,822
cost_analysis_lookup_function_types,,131,131,bytes,7963826.0,ns,1096
cost_analysis_lookup_function_types,,131,131,bytes,9946380.0,ns,1370
cost_analysis_lookup_function_types,,131,131,bytes,11912933.0,ns,1644
cost_analysis_lookup_function_types,,131,131,bytes,13916025.0,ns,1918
cost_analysis_lookup_function_types,,131,131,bytes,15891344.0,ns,2192
cost_analysis_lookup_function_types,,131,131,bytes,17961799.0,ns,2466
cost_analysis_lookup_function_types,,131,131,bytes,19926698.0,ns,2740
cost_analysis_lookup_function_types,,131,131,bytes,21929421.0,ns,3014
cost_analysis_lookup_function_types,,131,131,bytes,23849679.0,ns,3288
cost_analysis_lookup_function_types,,131,131,bytes,25837197.0,ns,3562
cost_analysis_lookup_function_types,,131,131,bytes,27909773.0,ns,3836
cost_analysis_lookup_function_types,,131,131,bytes,29781557.0,ns,4110
cost_analysis_lookup_function_types,,131,131,bytes,31769990.0,ns,4384
cost_analysis_lookup_function_types,,131,131,bytes,33759684.0,ns,4658
cost_analysis_lookup_function_types,,131,131,bytes,35775043.0,ns,4932
cost_analysis_lookup_function_types,,131,131,bytes,37757719.0,ns,5206
cost_analysis_lookup_function_types,,131,131,bytes,39788097.0,ns,5480
cost_analysis_lookup_function_types,,131,131,bytes,41703394.0,ns,5754
cost_analysis_lookup_function_types,,131,131,bytes,43666799.0,ns,6028
cost_analysis_lookup_function_types,,131,131,bytes,45698788.0,ns,6302
cost_analysis_lookup_function_types,,131,131,bytes,47744900.0,ns,6576
cost_analysis_lookup_function_types,,131,131,bytes,49699721.0,ns,6850
cost_analysis_lookup_function_types,,131,131,bytes,51626992.0,ns,7124
cost_analysis_lookup_function_types,,131,131,bytes,53663875.0,ns,7398
cost_analysis_lookup_function_types,,131,131,bytes,55704162.0,ns,7672
cost_analysis_lookup_function_types,,131,131,bytes,57564170.0,ns,7946
cost_analysis_lookup_function_types,,131,131,bytes,59571886.0,ns,8220
cost_analysis_lookup_function_types,,131,131,bytes,61571504.0,ns,8494
cost_analysis_lookup_function_types,,131,131,bytes,63560720.0,ns,8768
