group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_lookup_function_types,,5,5,bytes,2030537.0,ns,160
cost_analysis_lookup_function_types,,5,5,bytes,3959691.0,ns,320
cost_analysis_lookup_function_types,,5,5,bytes,5943731.0,ns,480
cost_analysis_lookup_function_types,,5,5,bytes,7919959.0,ns,640
cost_analysis_lookup_function_types,,5,5,bytes,9921714.0,ns,800
cost_analysis_lookup_function_types,,5,5,bytes,11914220.0,ns,960
cost_analysis_lookup_function_types,,5,5,bytes,13886070.0,ns,1120
cost_analysis_lookup_function_types,,5,5,bytes,15829548.0,ns,1280
cost_analysis_lookup_function_types,,5,5,bytes,17809891.0,ns,1440
cost_analysis_lookup_function_types,,5,5,bytes,19782696.0,ns,1600
cost_analysis_lookup_function_types,,5,5,bytes,21771747.0,ns,1760
cost_analysis_lookup_function_types,,5,5,bytes,23727220.0,ns,1920
cost_analysis_lookup_function_types,,5,5,bytes,25724127.0,ns,2080
cost_analysis_lookup_function_types,,5,5,bytes,27690160.0,ns,2240
cost_analysis_lookup_function_types,,5,5,bytes,29715818.0,ns,2400
cost_analysis_lookup_function_types,,5,5,bytes,31662625.0,ns,2560
cost_analysis_lookup_function_types,,5,5,bytes,33647751.0,ns,2720
cost_analysis_lookup_function_types,,5,5,bytes,35605984.0,ns,2880
cost_analysis_lookup_function_types,,5,5,bytes,37593821.0,ns,3040
cost_analysis_lookup_function_types,,5,5,bytes,39561593.0,ns,3200
cost_analysis_lookup_function_types,,5,5,bytes,41652088.0,ns,3360
cost_analysis_lookup_function_types,,5,5,bytes,43499303.0,ns,3520
cost_analysis_lookup_function_types,,5,5,bytes,45472341.0,ns,3680
cost_analysis_lookup_function_types,,5,5,bytes,47475406.0,ns,3840
cost_analysis_lookup_function_types,,5,5,bytes,49439670.0,ns,4000
cost_analysis_lookup_function_types,,5,5,bytes,51410592.0,ns,4160
cost_analysis_lookup_function_types,,5,5,bytes,53414042.0,ns,4320
cost_analysis_lookup_function_types,,5,5,bytes,55380121.0,ns,4480
cost_analysis_lookup_function_types,,5,5,bytes,57345585.0,ns,4640
cost_analysis_lookup_function_types,,5,5,bytes,59952553.0,ns,4800
cost_analysis_lookup_function_types,,5,5,bytes,61320292.0,ns,4960
cost_analysis_lookup_function_types,,5,5,bytes,63267208.0,ns,5120
cost_analysis_lookup_function_types,,5,5,bytes,65288665.0,ns,5280
cost_analysis_lookup_function_types,,5,5,bytes,67267991.0,ns,5440
cost_analysis_lookup_function_types,,5,5,bytes,70513757.0,ns,5600
cost_analysis_lookup_function_types,,5,5,bytes,71326640.0,ns,5760
cost_analysis_lookup_function_types,,5,5,bytes,73177070.0,ns,5920
cost_analysis_lookup_function_types,,5,5,bytes,75605818.0,ns,6080
cost_analysis_lookup_function_types,,5,5,bytes,77475506.0,ns,6240
cost_analysis_lookup_function_types,,5,5,bytes,79395575.0,ns,6400
cost_analysis_lookup_function_types,,5,5,bytes,81348566.0,ns,6560
cost_analysis_lookup_function_types,,5,5,bytes,83495911.0,ns,6720
cost_analysis_lookup_function_types,,5,5,bytes,85386796.0,ns,6880
cost_analysis_lookup_function_types,,5,5,bytes,87133663.0,ns,7040
cost_analysis_lookup_function_types,,5,5,bytes,89011498.0,ns,7200
cost_analysis_lookup_function_types,,5,5,bytes,91014410.0,ns,7360
cost_analysis_lookup_function_types,,5,5,bytes,93069906.0,ns,7520
cost_analysis_lookup_function_types,,5,5,bytes,95081849.0,ns,7680
cost_analysis_lookup_function_types,,5,5,bytes,97048460.0,ns,7840
cost_analysis_lookup_function_types,,5,5,bytes,98913778.0,ns,8000
cost_analysis_lookup_function_types,,5,5,bytes,100982085.0,ns,8160
cost_analysis_lookup_function_types,,5,5,bytes,102991876.0,ns,8320
cost_analysis_lookup_function_types,,5,5,bytes,104881245.0,ns,8480
cost_analysis_lookup_function_types,,5,5,bytes,106861124.0,ns,8640
cost_analysis_lookup_function_types,,5,5,bytes,108845953.0,ns,8800
cost_analysis_lookup_function_types,,5,5,bytes,110821506.0,ns,8960
cost_analysis_lookup_function_types,,5,5,bytes,112887091.0,ns,9120
cost_analysis_lookup_function_types,,5,5,bytes,115130581.0,ns,9280
cost_analysis_lookup_function_types,,5,5,bytes,117044430.0,ns,9440
cost_analysis_lookup_function_types,,5,5,bytes,118673469.0,ns,9600
cost_analysis_lookup_function_types,,5,5,bytes,120671273.0,ns,9760
cost_analysis_lookup_function_types,,5,5,bytes,122706745.0,ns,9920
cost_analysis_lookup_function_types,,5,5,bytes,124817132.0,ns,10080
cost_analysis_lookup_function_types,,5,5,bytes,126739368.0,ns,10240
cost_analysis_lookup_function_types,,5,5,bytes,128845421.0,ns,10400
cost_analysis_lookup_function_types,,5,5,bytes,130635384.0,ns,10560
cost_analysis_lookup_function_types,,5,5,bytes,133016841.0,ns,10720
cost_analysis_lookup_function_types,,5,5,bytes,134572561.0,ns,10880
cost_analysis_lookup_function_types,,5,5,bytes,136757947.0,ns,11040
cost_analysis_lookup_function_types,,5,5,bytes,138491877.0,ns,11200
cost_analysis_lookup_function_types,,5,5,bytes,140465622.0,ns,11360
cost_analysis_lookup_function_types,,5,5,bytes,142539447.0,ns,11520
cost_analysis_lookup_function_types,,5,5,bytes,146031633.0,ns,11680
cost_analysis_lookup_function_types,,5,5,bytes,146697444.0,ns,11840
cost_analysis_lookup_function_types,,5,5,bytes,148591446.0,ns,12000
cost_analysis_lookup_function_types,,5,5,bytes,150385983.0,ns,12160
cost_analysis_lookup_function_types,,5,5,bytes,153309446.0,ns,12320
cost_analysis_lookup_function_types,,5,5,bytes,154327158.0,ns,12480
cost_analysis_lookup_function_types,,5,5,bytes,156337975.0,ns,12640
cost_analysis_lookup_function_types,,5,5,bytes,158347409.0,ns,12800
cost_analysis_lookup_function_types,,5,5,bytes,160376546.0,ns,12960
cost_analysis_lookup_function_types,,5,5,bytes,162295079.0,ns,13120
cost_analysis_lookup_function_types,,5,5,bytes,164229340.0,ns,13280
cost_analysis_lookup_function_types,,5,5,bytes,166136171.0,ns,13440
cost_analysis_lookup_function_types,,5,5,bytes,168216188.0,ns,13600
cost_analysis_lookup_function_types,,5,5,bytes,170248011.0,ns,13760
cost_analysis_lookup_function_types,,5,5,bytes,172483107.0,ns,13920
cost_analysis_lookup_function_types,,5,5,bytes,174254244.0,ns,14080
cost_analysis_lookup_function_types,,5,5,bytes,176056477.0,ns,14240
cost_analysis_lookup_function_types,,5,5,bytes,178032628.0,ns,14400
cost_analysis_lookup_function_types,,5,5,bytes,180057234.0,ns,14560
cost_analysis_lookup_function_types,,5,5,bytes,182246879.0,ns,14720
cost_analysis_lookup_function_types,,5,5,bytes,184775869.0,ns,14880
cost_analysis_lookup_function_types,,5,5,bytes,186725771.0,ns,15040
cost_analysis_lookup_function_types,,5,5,bytes,187980644.0,ns,15200
cost_analysis_lookup_function_types,,5,5,bytes,190081628.0,ns,15360
cost_analysis_lookup_function_types,,5,5,bytes,192557291.0,ns,15520
cost_analysis_lookup_function_types,,5,5,bytes,194979011.0,ns,15680
cost_analysis_lookup_function_types,,5,5,bytes,195917470.0,ns,15840
cost_analysis_lookup_function_types,,5,5,bytes,197900144.0,ns,16000
