group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_lookup_variable_const,,1,1,bytes,2131129.0,ns,347
cost_analysis_lookup_variable_const,,1,1,bytes,3970337.0,ns,694
cost_analysis_lookup_variable_const,,1,1,bytes,5925982.0,ns,1041
cost_analysis_lookup_variable_const,,1,1,bytes,7930813.0,ns,1388
cost_analysis_lookup_variable_const,,1,1,bytes,9923792.0,ns,1735
cost_analysis_lookup_variable_const,,1,1,bytes,11927422.0,ns,2082
cost_analysis_lookup_variable_const,,1,1,bytes,13906426.0,ns,2429
cost_analysis_lookup_variable_const,,1,1,bytes,15944969.0,ns,2776
cost_analysis_lookup_variable_const,,1,1,bytes,17874166.0,ns,3123
cost_analysis_lookup_variable_const,,1,1,bytes,19876319.0,ns,3470
cost_analysis_lookup_variable_const,,1,1,bytes,21814317.0,ns,3817
cost_analysis_lookup_variable_const,,1,1,bytes,23774341.0,ns,4164
cost_analysis_lookup_variable_const,,1,1,bytes,25837238.0,ns,4511
cost_analysis_lookup_variable_const,,1,1,bytes,27729488.0,ns,4858
cost_analysis_lookup_variable_const,,1,1,bytes,29683980.0,ns,5205
cost_analysis_lookup_variable_const,,1,1,bytes,31691360.0,ns,5552
cost_analysis_lookup_variable_const,,1,1,bytes,33572025.0,ns,5899
cost_analysis_lookup_variable_const,,1,1,bytes,35556591.0,ns,6246
cost_analysis_lookup_variable_const,,1,1,bytes,37784662.0,ns,6593
cost_analysis_lookup_variable_const,,1,1,bytes,39598203.0,ns,6940
cost_analysis_lookup_variable_const,,1,1,bytes,41556277.0,ns,7287
cost_analysis_lookup_variable_const,,1,1,bytes,43621889.0,ns,7634
cost_analysis_lookup_variable_const,,1,1,bytes,45442904.0,ns,7981
cost_analysis_lookup_variable_const,,1,1,bytes,47552198.0,ns,8328
cost_analysis_lookup_variable_const,,1,1,bytes,49505602.0,ns,8675
cost_analysis_lookup_variable_const,,1,1,bytes,51542682.0,ns,9022
cost_analysis_lookup_variable_const,,1,1,bytes,53455199.0,ns,9369
cost_analysis_lookup_variable_const,,1,1,bytes,55704059.0,ns,9716
cost_analysis_lookup_variable_const,,1,1,bytes,57553018.0,ns,10063
cost_analysis_lookup_variable_const,,1,1,bytes,59509353.0,ns,10410
cost_analysis_lookup_variable_const,,1,1,bytes,61393421.0,ns,10757
cost_analysis_lookup_variable_const,,1,1,bytes,63484739.0,ns,11104
cost_analysis_lookup_variable_const,,1,1,bytes,65676507.0,ns,11451
cost_analysis_lookup_variable_const,,1,1,bytes,67604222.0,ns,11798
cost_analysis_lookup_variable_const,,1,1,bytes,69556990.0,ns,12145
cost_analysis_lookup_variable_const,,1,1,bytes,71462686.0,ns,12492
cost_analysis_lookup_variable_const,,1,1,bytes,73557360.0,ns,12839
cost_analysis_lookup_variable_const,,1,1,bytes,75455283.0,ns,13186
cost_analysis_lookup_variable_const,,1,1,bytes,80480318.0,ns,13533
cost_analysis_lookup_variable_const,,1,1,bytes,79487673.0,ns,13880
cost_analysis_lookup_variable_const,,1,1,bytes,81483715.0,ns,14227
cost_analysis_lookup_variable_const,,1,1,bytes,83934569.0,ns,14574
cost_analysis_lookup_variable_const,,1,1,bytes,85513442.0,ns,14921
cost_analysis_lookup_variable_const,,1,1,bytes,87313699.0,ns,15268
cost_analysis_lookup_variable_const,,1,1,bytes,89258047.0,ns,15615
cost_analysis_lookup_variable_const,,1,1,bytes,91462856.0,ns,15962
cost_analysis_lookup_variable_const,,1,1,bytes,93697796.0,ns,16309
cost_analysis_lookup_variable_const,,1,1,bytes,95261578.0,ns,16656
cost_analysis_lookup_variable_const,,1,1,bytes,97719062.0,ns,17003
cost_analysis_lookup_variable_const,,1,1,bytes,99751912.0,ns,17350
cost_analysis_lookup_variable_const,,1,1,bytes,101413500.0,ns,17697
cost_analysis_lookup_variable_const,,1,1,bytes,102918336.0,ns,18044
cost_analysis_lookup_variable_const,,1,1,bytes,105149498.0,ns,18391
cost_analysis_lookup_variable_const,,1,1,bytes,107292420.0,ns,18738
cost_analysis_lookup_variable_const,,1,1,bytes,109011395.0,ns,19085
cost_analysis_lookup_variable_const,,1,1,bytes,110946938.0,ns,19432
cost_analysis_lookup_variable_const,,1,1,bytes,112830544.0,ns,19779
cost_analysis_lookup_variable_const,,1,1,bytes,114785433.0,ns,20126
