group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_lookup_variable_const,,1,1,bytes,2023651.0,ns,278
cost_analysis_lookup_variable_const,,1,1,bytes,3958695.0,ns,556
cost_analysis_lookup_variable_const,,1,1,bytes,5938933.0,ns,834
cost_analysis_lookup_variable_const,,1,1,bytes,7950403.0,ns,1112
cost_analysis_lookup_variable_const,,1,1,bytes,9894207.0,ns,1390
cost_analysis_lookup_variable_const,,1,1,bytes,11884351.0,ns,1668
cost_analysis_lookup_variable_const,,1,1,bytes,13850404.0,ns,1946
cost_analysis_lookup_variable_const,,1,1,bytes,15839083.0,ns,2224
cost_analysis_lookup_variable_const,,1,1,bytes,17814708.0,ns,2502
cost_analysis_lookup_variable_const,,1,1,bytes,19835771.0,ns,2780
cost_analysis_lookup_variable_const,,1,1,bytes,21790284.0,ns,3058
cost_analysis_lookup_variable_const,,1,1,bytes,23799082.0,ns,3336
cost_analysis_lookup_variable_const,,1,1,bytes,25733125.0,ns,3614
cost_analysis_lookup_variable_const,,1,1,bytes,27751127.0,ns,3892
cost_analysis_lookup_variable_const,,1,1,bytes,29723795.0,ns,4170
cost_analysis_lookup_variable_const,,1,1,bytes,31673082.0,ns,4448
cost_analysis_lookup_variable_const,,1,1,bytes,33947294.0,ns,4726
cost_analysis_lookup_variable_const,,1,1,bytes,35737053.0,ns,5004
cost_analysis_lookup_variable_const,,1,1,bytes,37721474.0,ns,5282
cost_analysis_lookup_variable_const,,1,1,bytes,39701996.0,ns,5560
cost_analysis_lookup_variable_const,,1,1,bytes,41817583.0,ns,5838
cost_analysis_lookup_variable_const,,1,1,bytes,43614543.0,ns,6116
cost_analysis_lookup_variable_const,,1,1,bytes,45595305.0,ns,6394
cost_analysis_lookup_variable_const,,1,1,bytes,47517677.0,ns,6672
cost_analysis_lookup_variable_const,,1,1,bytes,49786982.0,ns,6950
cost_analysis_lookup_variable_const,,1,1,bytes,52014550.0,ns,7228
cost_analysis_lookup_variable_const,,1,1,bytes,53632458.0,ns,7506
cost_analysis_lookup_variable_const,,1,1,bytes,55567125.0,ns,7784
cost_analysis_lookup_variable_const,,1,1,bytes,57592358.0,ns,8062
cost_analysis_lookup_variable_const,,1,1,bytes,59481789.0,ns,8340
cost_analysis_lookup_variable_const,,1,1,bytes,61802736.0,ns,8618
cost_analysis_lookup_variable_const,,1,1,bytes,63634449.0,ns,8896
cost_analysis_lookup_variable_const,,1,1,bytes,65693121.0,ns,9174
cost_analysis_lookup_variable_const,,1,1,bytes,67515618.0,ns,9452
cost_analysis_lookup_variable_const,,1,1,bytes,69502884.0,ns,9730
cost_analysis_lookup_variable_const,,1,1,bytes,71716733.0,ns,10008
cost_analysis_lookup_variable_const,,1,1,bytes,73790364.0,ns,10286
cost_analysis_lookup_variable_const,,1,1,bytes,75322893.0,ns,10564
cost_analysis_lookup_variable_const,,1,1,bytes,77260373.0,ns,10842
cost_analysis_lookup_variable_const,,1,1,bytes,79319003.0,ns,11120
cost_analysis_lookup_variable_const,,1,1,bytes,81312149.0,ns,11398
cost_analysis_lookup_variable_const,,1,1,bytes,83259059.0,ns,11676
cost_analysis_lookup_variable_const,,1,1,bytes,85150164.0,ns,11954
cost_analysis_lookup_variable_const,,1,1,bytes,87121849.0,ns,12232
cost_analysis_lookup_variable_const,,1,1,bytes,89136661.0,ns,12510
cost_analysis_lookup_variable_const,,1,1,bytes,91221591.0,ns,12788
cost_analysis_lookup_variable_const,,1,1,bytes,93163603.0,ns,13066
cost_analysis_lookup_variable_const,,1,1,bytes,95155118.0,ns,13344
cost_analysis_lookup_variable_const,,1,1,bytes,97092980.0,ns,13622
cost_analysis_lookup_variable_const,,1,1,bytes,99119726.0,ns,13900
cost_analysis_lookup_variable_const,,1,1,bytes,101490554.0,ns,14178
cost_analysis_lookup_variable_const,,1,1,bytes,103512111.0,ns,14456
cost_analysis_lookup_variable_const,,1,1,bytes,105100265.0,ns,14734
cost_analysis_lookup_variable_const,,1,1,bytes,106898144.0,ns,15012
cost_analysis_lookup_variable_const,,1,1,bytes,110194090.0,ns,15290
cost_analysis_lookup_variable_const,,1,1,bytes,110977630.0,ns,15568
cost_analysis_lookup_variable_const,,1,1,bytes,112815223.0,ns,15846
cost_analysis_lookup_variable_const,,1,1,bytes,114893752.0,ns,16124
cost_analysis_lookup_variable_const,,1,1,bytes,116847534.0,ns,16402
cost_analysis_lookup_variable_const,,1,1,bytes,119386338.0,ns,16680
cost_analysis_lookup_variable_const,,1,1,bytes,121029604.0,ns,16958
cost_analysis_lookup_variable_const,,1,1,bytes,122809915.0,ns,17236
cost_analysis_lookup_variable_const,,1,1,bytes,124847527.0,ns,17514
cost_analysis_lookup_variable_const,,1,1,bytes,126802005.0,ns,17792
cost_analysis_lookup_variable_const,,1,1,bytes,128642785.0,ns,18070
cost_analysis_lookup_variable_const,,1,1,bytes,130683259.0,ns,18348
cost_analysis_lookup_variable_const,,1,1,bytes,132595969.0,ns,18626
cost_analysis_lookup_variable_const,,1,1,bytes,134895794.0,ns,18904
cost_analysis_lookup_variable_const,,1,1,bytes,136661413.0,ns,19182
cost_analysis_lookup_variable_const,,1,1,bytes,138667274.0,ns,19460
cost_analysis_lookup_variable_const,,1,1,bytes,140928675.0,ns,19738
cost_analysis_lookup_variable_const,,1,1,bytes,143334587.0,ns,20016
cost_analysis_lookup_variable_const,,1,1,bytes,144685430.0,ns,20294
cost_analysis_lookup_variable_const,,1,1,bytes,146851492.0,ns,20572
cost_analysis_lookup_variable_const,,1,1,bytes,149058681.0,ns,20850
cost_analysis_lookup_variable_const,,1,1,bytes,150792006.0,ns,21128
cost_analysis_lookup_variable_const,,1,1,bytes,152704885.0,ns,21406
cost_analysis_lookup_variable_const,,1,1,bytes,154542593.0,ns,21684
cost_analysis_lookup_variable_const,,1,1,bytes,156521470.0,ns,21962
cost_analysis_lookup_variable_const,,1,1,bytes,158541814.0,ns,22240
cost_analysis_lookup_variable_const,,1,1,bytes,161364329.0,ns,22518
cost_analysis_lookup_variable_const,,1,1,bytes,162975183.0,ns,22796
cost_analysis_lookup_variable_const,,1,1,bytes,165227536.0,ns,23074
cost_analysis_lookup_variable_const,,1,1,bytes,166913445.0,ns,23352
cost_analysis_lookup_variable_const,,1,1,bytes,168732428.0,ns,23630
cost_analysis_lookup_variable_const,,1,1,bytes,171398446.0,ns,23908
cost_analysis_lookup_variable_const,,1,1,bytes,173035783.0,ns,24186
cost_analysis_lookup_variable_const,,1,1,bytes,175442584.0,ns,24464
cost_analysis_lookup_variable_const,,1,1,bytes,177055384.0,ns,24742
cost_analysis_lookup_variable_const,,1,1,bytes,179111244.0,ns,25020
cost_analysis_lookup_variable_const,,1,1,bytes,181051996.0,ns,25298
cost_analysis_lookup_variable_const,,1,1,bytes,182494453.0,ns,25576
cost_analysis_lookup_variable_const,,1,1,bytes,184787582.0,ns,25854
cost_analysis_lookup_variable_const,,1,1,bytes,186318784.0,ns,26132
cost_analysis_lookup_variable_const,,1,1,bytes,188755166.0,ns,26410
cost_analysis_lookup_variable_const,,1,1,bytes,190442727.0,ns,26688
cost_analysis_lookup_variable_const,,1,1,bytes,192307377.0,ns,26966
cost_analysis_lookup_variable_const,,1,1,bytes,194452706.0,ns,27244
cost_analysis_lookup_variable_const,,1,1,bytes,196736778.0,ns,27522
cost_analysis_lookup_variable_const,,1,1,bytes,198115301.0,ns,27800
