group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_lookup_variable_depth,,16,16,bytes,1138630.0,ns,15
cost_analysis_lookup_variable_depth,,16,16,bytes,2060288.0,ns,30
cost_analysis_lookup_variable_depth,,16,16,bytes,3108657.0,ns,45
cost_analysis_lookup_variable_depth,,16,16,bytes,4137105.0,ns,60
cost_analysis_lookup_variable_depth,,16,16,bytes,5182582.0,ns,75
cost_analysis_lookup_variable_depth,,16,16,bytes,6210878.0,ns,90
cost_analysis_lookup_variable_depth,,16,16,bytes,7247684.0,ns,105
cost_analysis_lookup_variable_depth,,16,16,bytes,8293424.0,ns,120
cost_analysis_lookup_variable_depth,,16,16,bytes,9318894.0,ns,135
cost_analysis_lookup_variable_depth,,16,16,bytes,10360968.0,ns,150
cost_analysis_lookup_variable_depth,,16,16,bytes,11364392.0,ns,165
cost_analysis_lookup_variable_depth,,16,16,bytes,12431026.0,ns,180
cost_analysis_lookup_variable_depth,,16,16,bytes,13432854.0,ns,195
cost_analysis_lookup_variable_depth,,16,16,bytes,14470709.0,ns,210
cost_analysis_lookup_variable_depth,,16,16,bytes,15494595.0,ns,225
cost_analysis_lookup_variable_depth,,16,16,bytes,16558904.0,ns,240
cost_analysis_lookup_variable_depth,,16,16,bytes,17565132.0,ns,255
cost_analysis_lookup_variable_depth,,16,16,bytes,18613789.0,ns,270
cost_analysis_lookup_variable_depth,,16,16,bytes,19637250.0,ns,285
cost_analysis_lookup_variable_depth,,16,16,bytes,20665088.0,ns,300
cost_analysis_lookup_variable_depth,,16,16,bytes,21712830.0,ns,315
cost_analysis_lookup_variable_depth,,16,16,bytes,22749835.0,ns,330
cost_analysis_lookup_variable_depth,,16,16,bytes,23732863.0,ns,345
cost_analysis_lookup_variable_depth,,16,16,bytes,24788826.0,ns,360
cost_analysis_lookup_variable_depth,,16,16,bytes,25833658.0,ns,375
cost_analysis_lookup_variable_depth,,16,16,bytes,26870407.0,ns,390
cost_analysis_lookup_variable_depth,,16,16,bytes,27910358.0,ns,405
cost_analysis_lookup_variable_depth,,16,16,bytes,29087928.0,ns,420
cost_analysis_lookup_variable_depth,,16,16,bytes,44644485.0,ns,435
cost_analysis_lookup_variable_depth,,16,16,bytes,32786032.0,ns,450
cost_analysis_lookup_variable_depth,,16,16,bytes,32096204.0,ns,465
cost_analysis_lookup_variable_depth,,16,16,bytes,33394892.0,ns,480
cost_analysis_lookup_variable_depth,,16,16,bytes,34236371.0,ns,495
cost_analysis_lookup_variable_depth,,16,16,bytes,35243449.0,ns,510
cost_analysis_lookup_variable_depth,,16,16,bytes,36260675.0,ns,525
cost_analysis_lookup_variable_depth,,16,16,bytes,37338301.0,ns,540
cost_analysis_lookup_variable_depth,,16,16,bytes,38277344.0,ns,555
cost_analysis_lookup_variable_depth,,16,16,bytes,39333968.0,ns,570
cost_analysis_lookup_variable_depth,,16,16,bytes,40327646.0,ns,585
cost_analysis_lookup_variable_depth,,16,16,bytes,41412821.0,ns,600
cost_analysis_lookup_variable_depth,,16,16,bytes,42381865.0,ns,615
cost_analysis_lookup_variable_depth,,16,16,bytes,43524975.0,ns,630
cost_analysis_lookup_variable_depth,,16,16,bytes,44508705.0,ns,645
cost_analysis_lookup_variable_depth,,16,16,bytes,45495156.0,ns,660
cost_analysis_lookup_variable_depth,,16,16,bytes,46555763.0,ns,675
cost_analysis_lookup_variable_depth,,16,16,bytes,47586309.0,ns,690
cost_analysis_lookup_variable_depth,,16,16,bytes,48588393.0,ns,705
cost_analysis_lookup_variable_depth,,16,16,bytes,49611344.0,ns,720
cost_analysis_lookup_variable_depth,,16,16,bytes,50679146.0,ns,735
cost_analysis_lookup_variable_depth,,16,16,bytes,51742081.0,ns,750
cost_analysis_lookup_variable_depth,,16,16,bytes,53091461.0,ns,765
cost_analysis_lookup_variable_depth,,16,16,bytes,54051235.0,ns,780
cost_analysis_lookup_variable_depth,,16,16,bytes,54916641.0,ns,795
cost_analysis_lookup_variable_depth,,16,16,bytes,55868303.0,ns,810
cost_analysis_lookup_variable_depth,,16,16,bytes,56932919.0,ns,825
cost_analysis_lookup_variable_depth,,16,16,bytes,57927550.0,ns,840
cost_analysis_lookup_variable_depth,,16,16,bytes,58940848.0,ns,855
cost_analysis_lookup_variable_depth,,16,16,bytes,60124728.0,ns,870
cost_analysis_lookup_variable_depth,,16,16,bytes,61058223.0,ns,885
cost_analysis_lookup_variable_depth,,16,16,bytes,62041978.0,ns,900
cost_analysis_lookup_variable_depth,,16,16,bytes,63247920.0,ns,915
cost_analysis_lookup_variable_depth,,16,16,bytes,64174508.0,ns,930
cost_analysis_lookup_variable_depth,,16,16,bytes,65275207.0,ns,945
cost_analysis_lookup_variable_depth,,16,16,bytes,66261092.0,ns,960
cost_analysis_lookup_variable_depth,,16,16,bytes,67188992.0,ns,975
cost_analysis_lookup_variable_depth,,16,16,bytes,68229999.0,ns,990
cost_analysis_lookup_variable_depth,,16,16,bytes,69307784.0,ns,1005
cost_analysis_lookup_variable_depth,,16,16,bytes,70376674.0,ns,1020
cost_analysis_lookup_variable_depth,,16,16,bytes,71337796.0,ns,1035
cost_analysis_lookup_variable_depth,,16,16,bytes,72609977.0,ns,1050
cost_analysis_lookup_variable_depth,,16,16,bytes,73517147.0,ns,1065
cost_analysis_lookup_variable_depth,,16,16,bytes,74608154.0,ns,1080
cost_analysis_lookup_variable_depth,,16,16,bytes,75635838.0,ns,1095
cost_analysis_lookup_variable_depth,,16,16,bytes,76538791.0,ns,1110
cost_analysis_lookup_variable_depth,,16,16,bytes,77638047.0,ns,1125
cost_analysis_lookup_variable_depth,,16,16,bytes,78677108.0,ns,1140
cost_analysis_lookup_variable_depth,,16,16,bytes,79665026.0,ns,1155
cost_analysis_lookup_variable_depth,,16,16,bytes,80748314.0,ns,1170
cost_analysis_lookup_variable_depth,,16,16,bytes,81729999.0,ns,1185
cost_analysis_lookup_variable_depth,,16,16,bytes,82755297.0,ns,1200
cost_analysis_lookup_variable_depth,,16,16,bytes,83894933.0,ns,1215
cost_analysis_lookup_variable_depth,,16,16,bytes,84755295.0,ns,1230
cost_analysis_lookup_variable_depth,,16,16,bytes,85874739.0,ns,1245
cost_analysis_lookup_variable_depth,,16,16,bytes,86849380.0,ns,1260
cost_analysis_lookup_variable_depth,,16,16,bytes,87927144.0,ns,1275
cost_analysis_lookup_variable_depth,,16,16,bytes,88915271.0,ns,1290
cost_analysis_lookup_variable_depth,,16,16,bytes,89976932.0,ns,1305
cost_analysis_lookup_variable_depth,,16,16,bytes,91023307.0,ns,1320
cost_analysis_lookup_variable_depth,,16,16,bytes,92045546.0,ns,1335
cost_analysis_lookup_variable_depth,,16,16,bytes,93101354.0,ns,1350
cost_analysis_lookup_variable_depth,,16,16,bytes,94115187.0,ns,1365
cost_analysis_lookup_variable_depth,,16,16,bytes,95160194.0,ns,1380
cost_analysis_lookup_variable_depth,,16,16,bytes,96344757.0,ns,1395
cost_analysis_lookup_variable_depth,,16,16,bytes,97255246.0,ns,1410
cost_analysis_lookup_variable_depth,,16,16,bytes,98338817.0,ns,1425
cost_analysis_lookup_variable_depth,,16,16,bytes,99432020.0,ns,1440
cost_analysis_lookup_variable_depth,,16,16,bytes,100312180.0,ns,1455
cost_analysis_lookup_variable_depth,,16,16,bytes,101367555.0,ns,1470
cost_analysis_lookup_variable_depth,,16,16,bytes,102471120.0,ns,1485
cost_analysis_lookup_variable_depth,,16,16,bytes,103428838.0,ns,1500
