group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_lookup_variable_depth,,32,32,bytes,1104667.0,ns,9
cost_analysis_lookup_variable_depth,,32,32,bytes,2185319.0,ns,18
cost_analysis_lookup_variable_depth,,32,32,bytes,3284582.0,ns,27
cost_analysis_lookup_variable_depth,,32,32,bytes,4382736.0,ns,36
cost_analysis_lookup_variable_depth,,32,32,bytes,5482327.0,ns,45
cost_analysis_lookup_variable_depth,,32,32,bytes,6545499.0,ns,54
cost_analysis_lookup_variable_depth,,32,32,bytes,7638749.0,ns,63
cost_analysis_lookup_variable_depth,,32,32,bytes,8736159.0,ns,72
cost_analysis_lookup_variable_depth,,32,32,bytes,9822526.0,ns,81
cost_analysis_lookup_variable_depth,,32,32,bytes,10930716.0,ns,90
cost_analysis_lookup_variable_depth,,32,32,bytes,12017667.0,ns,99
cost_analysis_lookup_variable_depth,,32,32,bytes,13112001.0,ns,108
cost_analysis_lookup_variable_depth,,32,32,bytes,14195483.0,ns,117
cost_analysis_lookup_variable_depth,,32,32,bytes,15297832.0,ns,126
cost_analysis_lookup_variable_depth,,32,32,bytes,16393919.0,ns,135
cost_analysis_lookup_variable_depth,,32,32,bytes,17445084.0,ns,144
cost_analysis_lookup_variable_depth,,32,32,bytes,18542875.0,ns,153
cost_analysis_lookup_variable_depth,,32,32,bytes,19639233.0,ns,162
cost_analysis_lookup_variable_depth,,32,32,bytes,20747872.0,ns,171
cost_analysis_lookup_variable_depth,,32,32,bytes,21871306.0,ns,180
cost_analysis_lookup_variable_depth,,32,32,bytes,22928066.0,ns,189
cost_analysis_lookup_variable_depth,,32,32,bytes,23994836.0,ns,198
cost_analysis_lookup_variable_depth,,32,32,bytes,25094512.0,ns,207
cost_analysis_lookup_variable_depth,,32,32,bytes,26175622.0,ns,216
cost_analysis_lookup_variable_depth,,32,32,bytes,27262142.0,ns,225
cost_analysis_lookup_variable_depth,,32,32,bytes,28376883.0,ns,234
cost_analysis_lookup_variable_depth,,32,32,bytes,29470880.0,ns,243
cost_analysis_lookup_variable_depth,,32,32,bytes,30579022.0,ns,252
cost_analysis_lookup_variable_depth,,32,32,bytes,31661545.0,ns,261
cost_analysis_lookup_variable_depth,,32,32,bytes,32790401.0,ns,270
cost_analysis_lookup_variable_depth,,32,32,bytes,33840584.0,ns,279
cost_analysis_lookup_variable_depth,,32,32,bytes,34938708.0,ns,288
cost_analysis_lookup_variable_depth,,32,32,bytes,36131883.0,ns,297
cost_analysis_lookup_variable_depth,,32,32,bytes,37192177.0,ns,306
cost_analysis_lookup_variable_depth,,32,32,bytes,38392653.0,ns,315
cost_analysis_lookup_variable_depth,,32,32,bytes,39325250.0,ns,324
cost_analysis_lookup_variable_depth,,32,32,bytes,40429394.0,ns,333
cost_analysis_lookup_variable_depth,,32,32,bytes,41462959.0,ns,342
cost_analysis_lookup_variable_depth,,32,32,bytes,42664055.0,ns,351
cost_analysis_lookup_variable_depth,,32,32,bytes,43709270.0,ns,360
cost_analysis_lookup_variable_depth,,32,32,bytes,44745332.0,ns,369
cost_analysis_lookup_variable_depth,,32,32,bytes,45825466.0,ns,378
cost_analysis_lookup_variable_depth,,32,32,bytes,47024117.0,ns,387
cost_analysis_lookup_variable_depth,,32,32,bytes,48040859.0,ns,396
cost_analysis_lookup_variable_depth,,32,32,bytes,49167074.0,ns,405
cost_analysis_lookup_variable_depth,,32,32,bytes,50253829.0,ns,414
cost_analysis_lookup_variable_depth,,32,32,bytes,51321926.0,ns,423
cost_analysis_lookup_variable_depth,,32,32,bytes,52527685.0,ns,432
cost_analysis_lookup_variable_depth,,32,32,bytes,53575186.0,ns,441
cost_analysis_lookup_variable_depth,,32,32,bytes,54614522.0,ns,450
cost_analysis_lookup_variable_depth,,32,32,bytes,55726562.0,ns,459
cost_analysis_lookup_variable_depth,,32,32,bytes,56750402.0,ns,468
cost_analysis_lookup_variable_depth,,32,32,bytes,57861826.0,ns,477
cost_analysis_lookup_variable_depth,,32,32,bytes,59134713.0,ns,486
cost_analysis_lookup_variable_depth,,32,32,bytes,60089780.0,ns,495
cost_analysis_lookup_variable_depth,,32,32,bytes,61181259.0,ns,504
cost_analysis_lookup_variable_depth,,32,32,bytes,62245463.0,ns,513
cost_analysis_lookup_variable_depth,,32,32,bytes,63321006.0,ns,522
cost_analysis_lookup_variable_depth,,32,32,bytes,64429584.0,ns,531
cost_analysis_lookup_variable_depth,,32,32,bytes,65495331.0,ns,540
cost_analysis_lookup_variable_depth,,32,32,bytes,66594663.0,ns,549
cost_analysis_lookup_variable_depth,,32,32,bytes,67681843.0,ns,558
cost_analysis_lookup_variable_depth,,32,32,bytes,68796725.0,ns,567
cost_analysis_lookup_variable_depth,,32,32,bytes,69888683.0,ns,576
cost_analysis_lookup_variable_depth,,32,32,bytes,70941173.0,ns,585
cost_analysis_lookup_variable_depth,,32,32,bytes,72012109.0,ns,594
cost_analysis_lookup_variable_depth,,32,32,bytes,73153119.0,ns,603
cost_analysis_lookup_variable_depth,,32,32,bytes,74199215.0,ns,612
cost_analysis_lookup_variable_depth,,32,32,bytes,75317456.0,ns,621
cost_analysis_lookup_variable_depth,,32,32,bytes,76417056.0,ns,630
cost_analysis_lookup_variable_depth,,32,32,bytes,77488062.0,ns,639
cost_analysis_lookup_variable_depth,,32,32,bytes,78553983.0,ns,648
cost_analysis_lookup_variable_depth,,32,32,bytes,79739785.0,ns,657
