group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_option_check,,1,1,bytes,2043399.0,ns,1184
cost_analysis_option_check,,1,1,bytes,3977862.0,ns,2368
cost_analysis_option_check,,1,1,bytes,5965052.0,ns,3552
cost_analysis_option_check,,1,1,bytes,7929266.0,ns,4736
cost_analysis_option_check,,1,1,bytes,9898739.0,ns,5920
cost_analysis_option_check,,1,1,bytes,11876662.0,ns,7104
cost_analysis_option_check,,1,1,bytes,13867266.0,ns,8288
cost_analysis_option_check,,1,1,bytes,15822021.0,ns,9472
cost_analysis_option_check,,1,1,bytes,17824337.0,ns,10656
cost_analysis_option_check,,1,1,bytes,19819356.0,ns,11840
cost_analysis_option_check,,1,1,bytes,21802024.0,ns,13024
cost_analysis_option_check,,1,1,bytes,23795521.0,ns,14208
cost_analysis_option_check,,1,1,bytes,25720504.0,ns,15392
cost_analysis_option_check,,1,1,bytes,27890481.0,ns,16576
cost_analysis_option_check,,1,1,bytes,29800568.0,ns,17760
cost_analysis_option_check,,1,1,bytes,31892347.0,ns,18944
cost_analysis_option_check,,1,1,bytes,33921596.0,ns,20128
cost_analysis_option_check,,1,1,bytes,36539310.0,ns,21312
cost_analysis_option_check,,1,1,bytes,37818276.0,ns,22496
cost_analysis_option_check,,1,1,bytes,39912651.0,ns,23680
cost_analysis_option_check,,1,1,bytes,41732028.0,ns,24864
cost_analysis_option_check,,1,1,bytes,43618344.0,ns,26048
cost_analysis_option_check,,1,1,bytes,45559574.0,ns,27232
cost_analysis_option_check,,1,1,bytes,47708077.0,ns,28416
cost_analysis_option_check,,1,1,bytes,49581246.0,ns,29600
cost_analysis_option_check,,1,1,bytes,51596395.0,ns,30784
cost_analysis_option_check,,1,1,bytes,53463370.0,ns,31968
cost_analysis_option_check,,1,1,bytes,55520109.0,ns,33152
cost_analysis_option_check,,1,1,bytes,57523143.0,ns,34336
cost_analysis_option_check,,1,1,bytes,59421851.0,ns,35520
cost_analysis_option_check,,1,1,bytes,61354786.0,ns,36704
cost_analysis_option_check,,1,1,bytes,63408580.0,ns,37888
cost_analysis_option_check,,1,1,bytes,65436052.0,ns,39072
cost_analysis_option_check,,1,1,bytes,67657438.0,ns,40256
cost_analysis_option_check,,1,1,bytes,69668254.0,ns,41440
cost_analysis_option_check,,1,1,bytes,71513925.0,ns,42624
cost_analysis_option_check,,1,1,bytes,73389315.0,ns,43808
cost_analysis_option_check,,1,1,bytes,75346018.0,ns,44992
cost_analysis_option_check,,1,1,bytes,77212027.0,ns,46176
cost_analysis_option_check,,1,1,bytes,79536579.0,ns,47360
cost_analysis_option_check,,1,1,bytes,81270444.0,ns,48544
cost_analysis_option_check,,1,1,bytes,83176495.0,ns,49728
cost_analysis_option_check,,1,1,bytes,85159412.0,ns,50912
