group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_option_check,,1,1,bytes,1989274.0,ns,1161
cost_analysis_option_check,,1,1,bytes,3955751.0,ns,2322
cost_analysis_option_check,,1,1,bytes,5962827.0,ns,3483
cost_analysis_option_check,,1,1,bytes,7912225.0,ns,4644
cost_analysis_option_check,,1,1,bytes,9864416.0,ns,5805
cost_analysis_option_check,,1,1,bytes,11817207.0,ns,6966
cost_analysis_option_check,,1,1,bytes,13832676.0,ns,8127
cost_analysis_option_check,,1,1,bytes,15830572.0,ns,9288
cost_analysis_option_check,,1,1,bytes,17752063.0,ns,10449
cost_analysis_option_check,,1,1,bytes,19746322.0,ns,11610
cost_analysis_option_check,,1,1,bytes,21683203.0,ns,12771
cost_analysis_option_check,,1,1,bytes,23709843.0,ns,13932
cost_analysis_option_check,,1,1,bytes,25663278.0,ns,15093
cost_analysis_option_check,,1,1,bytes,27693101.0,ns,16254
cost_analysis_option_check,,1,1,bytes,29700997.0,ns,17415
cost_analysis_option_check,,1,1,bytes,31579382.0,ns,18576
cost_analysis_option_check,,1,1,bytes,33624211.0,ns,19737
cost_analysis_option_check,,1,1,bytes,35716267.0,ns,20898
cost_analysis_option_check,,1,1,bytes,37588014.0,ns,22059
cost_analysis_option_check,,1,1,bytes,39580849.0,ns,23220
cost_analysis_option_check,,1,1,bytes,43175715.0,ns,24381
cost_analysis_option_check,,1,1,bytes,43611868.0,ns,25542
cost_analysis_option_check,,1,1,bytes,45535686.0,ns,26703
cost_analysis_option_check,,1,1,bytes,47621130.0,ns,27864
cost_analysis_option_check,,1,1,bytes,49620186.0,ns,29025
cost_analysis_option_check,,1,1,bytes,51371030.0,ns,30186
cost_analysis_option_check,,1,1,bytes,53570570.0,ns,31347
cost_analysis_option_check,,1,1,bytes,55476986.0,ns,32508
cost_analysis_option_check,,1,1,bytes,57461940.0,ns,33669
cost_analysis_option_check,,1,1,bytes,59385571.0,ns,34830
cost_analysis_option_check,,1,1,bytes,61311349.0,ns,35991
cost_analysis_option_check,,1,1,bytes,63495160.0,ns,37152
cost_analysis_option_check,,1,1,bytes,65416577.0,ns,38313
cost_analysis_option_check,,1,1,bytes,67430523.0,ns,39474
cost_analysis_option_check,,1,1,bytes,69560859.0,ns,40635
cost_analysis_option_check,,1,1,bytes,71685589.0,ns,41796
cost_analysis_option_check,,1,1,bytes,73375356.0,ns,42957
cost_analysis_option_check,,1,1,bytes,75216822.0,ns,44118
cost_analysis_option_check,,1,1,bytes,77135616.0,ns,45279
cost_analysis_option_check,,1,1,bytes,79152112.0,ns,46440
cost_analysis_option_check,,1,1,bytes,81018571.0,ns,47601
cost_analysis_option_check,,1,1,bytes,83006252.0,ns,48762
cost_analysis_option_check,,1,1,bytes,84971560.0,ns,49923
cost_analysis_option_check,,1,1,bytes,87012848.0,ns,51084
cost_analysis_option_check,,1,1,bytes,89041292.0,ns,52245
cost_analysis_option_check,,1,1,bytes,90899523.0,ns,53406
cost_analysis_option_check,,1,1,bytes,93055535.0,ns,54567
cost_analysis_option_check,,1,1,bytes,94905801.0,ns,55728
cost_analysis_option_check,,1,1,bytes,96985083.0,ns,56889
cost_analysis_option_check,,1,1,bytes,98753408.0,ns,58050
cost_analysis_option_check,,1,1,bytes,100998071.0,ns,59211
cost_analysis_option_check,,1,1,bytes,102734429.0,ns,60372
cost_analysis_option_check,,1,1,bytes,104780284.0,ns,61533
cost_analysis_option_check,,1,1,bytes,107351332.0,ns,62694
cost_analysis_option_check,,1,1,bytes,108878286.0,ns,63855
cost_analysis_option_check,,1,1,bytes,110894262.0,ns,65016
cost_analysis_option_check,,1,1,bytes,112879634.0,ns,66177
cost_analysis_option_check,,1,1,bytes,115157161.0,ns,67338
cost_analysis_option_check,,1,1,bytes,117221600.0,ns,68499
cost_analysis_option_check,,1,1,bytes,118669457.0,ns,69660
cost_analysis_option_check,,1,1,bytes,120688875.0,ns,70821
cost_analysis_option_check,,1,1,bytes,122583803.0,ns,71982
cost_analysis_option_check,,1,1,bytes,124785160.0,ns,73143
cost_analysis_option_check,,1,1,bytes,126788533.0,ns,74304
cost_analysis_option_check,,1,1,bytes,129072047.0,ns,75465
cost_analysis_option_check,,1,1,bytes,131008342.0,ns,76626
cost_analysis_option_check,,1,1,bytes,133613816.0,ns,77787
cost_analysis_option_check,,1,1,bytes,135835200.0,ns,78948
cost_analysis_option_check,,1,1,bytes,136186088.0,ns,80109
cost_analysis_option_check,,1,1,bytes,138279740.0,ns,81270
cost_analysis_option_check,,1,1,bytes,140312410.0,ns,82431
cost_analysis_option_check,,1,1,bytes,142279729.0,ns,83592
cost_analysis_option_check,,1,1,bytes,144683056.0,ns,84753
cost_analysis_option_check,,1,1,bytes,146808731.0,ns,85914
cost_analysis_option_check,,1,1,bytes,148269058.0,ns,87075
cost_analysis_option_check,,1,1,bytes,150311862.0,ns,88236
cost_analysis_option_check,,1,1,bytes,152138355.0,ns,89397
cost_analysis_option_check,,1,1,bytes,154183711.0,ns,90558
cost_analysis_option_check,,1,1,bytes,156217922.0,ns,91719
cost_analysis_option_check,,1,1,bytes,157895758.0,ns,92880
cost_analysis_option_check,,1,1,bytes,160077704.0,ns,94041
cost_analysis_option_check,,1,1,bytes,161875922.0,ns,95202
cost_analysis_option_check,,1,1,bytes,163712890.0,ns,96363
cost_analysis_option_check,,1,1,bytes,165834843.0,ns,97524
cost_analysis_option_check,,1,1,bytes,167853960.0,ns,98685
cost_analysis_option_check,,1,1,bytes,170391380.0,ns,99846
cost_analysis_option_check,,1,1,bytes,171862965.0,ns,101007
cost_analysis_option_check,,1,1,bytes,173726016.0,ns,102168
cost_analysis_option_check,,1,1,bytes,175503391.0,ns,103329
cost_analysis_option_check,,1,1,bytes,177742411.0,ns,104490
cost_analysis_option_check,,1,1,bytes,179959658.0,ns,105651
cost_analysis_option_check,,1,1,bytes,183091366.0,ns,106812
cost_analysis_option_check,,1,1,bytes,183924958.0,ns,107973
cost_analysis_option_check,,1,1,bytes,185962947.0,ns,109134
cost_analysis_option_check,,1,1,bytes,187685112.0,ns,110295
cost_analysis_option_check,,1,1,bytes,189592667.0,ns,111456
cost_analysis_option_check,,1,1,bytes,191983574.0,ns,112617
cost_analysis_option_check,,1,1,bytes,193254364.0,ns,113778
cost_analysis_option_check,,1,1,bytes,195483904.0,ns,114939
