group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_storage,,256,256,bytes,2294883.0,ns,8
cost_analysis_storage,,256,256,bytes,4273830.0,ns,16
cost_analysis_storage,,256,256,bytes,6396772.0,ns,24
cost_analysis_storage,,256,256,bytes,8572774.0,ns,32
cost_analysis_storage,,256,256,bytes,10701826.0,ns,40
cost_analysis_storage,,256,256,bytes,12803463.0,ns,48
cost_analysis_storage,,256,256,bytes,14933493.0,ns,56
cost_analysis_storage,,256,256,bytes,17108678.0,ns,64
cost_analysis_storage,,256,256,bytes,19182043.0,ns,72
cost_analysis_storage,,256,256,bytes,21317257.0,ns,80
cost_analysis_storage,,256,256,bytes,23445479.0,ns,88
cost_analysis_storage,,256,256,bytes,25637838.0,ns,96
cost_analysis_storage,,256,256,bytes,27738579.0,ns,104
cost_analysis_storage,,256,256,bytes,30022272.0,ns,112
cost_analysis_storage,,256,256,bytes,32021054.0,ns,120
cost_analysis_storage,,256,256,bytes,34278524.0,ns,128
cost_analysis_storage,,256,256,bytes,36315883.0,ns,136
cost_analysis_storage,,256,256,bytes,38475439.0,ns,144
cost_analysis_storage,,256,256,bytes,40548318.0,ns,152
cost_analysis_storage,,256,256,bytes,42733662.0,ns,160
cost_analysis_storage,,256,256,bytes,44795571.0,ns,168
cost_analysis_storage,,256,256,bytes,46946908.0,ns,176
cost_analysis_storage,,256,256,bytes,49046509.0,ns,184
cost_analysis_storage,,256,256,bytes,51339177.0,ns,192
cost_analysis_storage,,256,256,bytes,53322784.0,ns,200
cost_analysis_storage,,256,256,bytes,55530190.0,ns,208
cost_analysis_storage,,256,256,bytes,57628542.0,ns,216
cost_analysis_storage,,256,256,bytes,59830427.0,ns,224
cost_analysis_storage,,256,256,bytes,61845511.0,ns,232
cost_analysis_storage,,256,256,bytes,64669196.0,ns,240
cost_analysis_storage,,256,256,bytes,66226537.0,ns,248
cost_analysis_storage,,256,256,bytes,68335663.0,ns,256
cost_analysis_storage,,256,256,bytes,70470405.0,ns,264
cost_analysis_storage,,256,256,bytes,72649789.0,ns,272
cost_analysis_storage,,256,256,bytes,74649622.0,ns,280
cost_analysis_storage,,256,256,bytes,76815244.0,ns,288
cost_analysis_storage,,256,256,bytes,79104737.0,ns,296
cost_analysis_storage,,256,256,bytes,81114516.0,ns,304
cost_analysis_storage,,256,256,bytes,83222157.0,ns,312
cost_analysis_storage,,256,256,bytes,85335004.0,ns,320
cost_analysis_storage,,256,256,bytes,88259629.0,ns,328
cost_analysis_storage,,256,256,bytes,91137429.0,ns,336
cost_analysis_storage,,256,256,bytes,92094912.0,ns,344
cost_analysis_storage,,256,256,bytes,94227774.0,ns,352
cost_analysis_storage,,256,256,bytes,96031442.0,ns,360
cost_analysis_storage,,256,256,bytes,98201440.0,ns,368
cost_analysis_storage,,256,256,bytes,100360357.0,ns,376
cost_analysis_storage,,256,256,bytes,102427965.0,ns,384
cost_analysis_storage,,256,256,bytes,104500942.0,ns,392
cost_analysis_storage,,256,256,bytes,106835587.0,ns,400
cost_analysis_storage,,256,256,bytes,108727881.0,ns,408
cost_analysis_storage,,256,256,bytes,111051373.0,ns,416
cost_analysis_storage,,256,256,bytes,113098903.0,ns,424
cost_analysis_storage,,256,256,bytes,115387495.0,ns,432
cost_analysis_storage,,256,256,bytes,117591371.0,ns,440
cost_analysis_storage,,256,256,bytes,119484879.0,ns,448
cost_analysis_storage,,256,256,bytes,121822041.0,ns,456
cost_analysis_storage,,256,256,bytes,124220067.0,ns,464
cost_analysis_storage,,256,256,bytes,126621648.0,ns,472
cost_analysis_storage,,256,256,bytes,129083107.0,ns,480
cost_analysis_storage,,256,256,bytes,130503715.0,ns,488
cost_analysis_storage,,256,256,bytes,132421715.0,ns,496
cost_analysis_storage,,256,256,bytes,134486966.0,ns,504
cost_analysis_storage,,256,256,bytes,136609186.0,ns,512
