group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_storage,,64,64,bytes,2137961.0,ns,19
cost_analysis_storage,,64,64,bytes,3992870.0,ns,38
cost_analysis_storage,,64,64,bytes,5978601.0,ns,57
cost_analysis_storage,,64,64,bytes,7996837.0,ns,76
cost_analysis_storage,,64,64,bytes,10007578.0,ns,95
cost_analysis_storage,,64,64,bytes,11987627.0,ns,114
cost_analysis_storage,,64,64,bytes,13954000.0,ns,133
cost_analysis_storage,,64,64,bytes,15989722.0,ns,152
cost_analysis_storage,,64,64,bytes,18084295.0,ns,171
cost_analysis_storage,,64,64,bytes,19975528.0,ns,190
cost_analysis_storage,,64,64,bytes,22032424.0,ns,209
cost_analysis_storage,,64,64,bytes,23950060.0,ns,228
cost_analysis_storage,,64,64,bytes,25964213.0,ns,247
cost_analysis_storage,,64,64,bytes,27928347.0,ns,266
cost_analysis_storage,,64,64,bytes,29916702.0,ns,285
cost_analysis_storage,,64,64,bytes,31959620.0,ns,304
cost_analysis_storage,,64,64,bytes,33928356.0,ns,323
cost_analysis_storage,,64,64,bytes,36140709.0,ns,342
cost_analysis_storage,,64,64,bytes,37920877.0,ns,361
cost_analysis_storage,,64,64,bytes,39914253.0,ns,380
cost_analysis_storage,,64,64,bytes,41934990.0,ns,399
cost_analysis_storage,,64,64,bytes,44377460.0,ns,418
cost_analysis_storage,,64,64,bytes,46580811.0,ns,437
cost_analysis_storage,,64,64,bytes,49068346.0,ns,456
cost_analysis_storage,,64,64,bytes,50365449.0,ns,475
cost_analysis_storage,,64,64,bytes,51919034.0,ns,494
cost_analysis_storage,,64,64,bytes,54128199.0,ns,513
cost_analysis_storage,,64,64,bytes,56107753.0,ns,532
cost_analysis_storage,,64,64,bytes,57997439.0,ns,551
cost_analysis_storage,,64,64,bytes,60728988.0,ns,570
cost_analysis_storage,,64,64,bytes,62056224.0,ns,589
cost_analysis_storage,,64,64,bytes,63970389.0,ns,608
cost_analysis_storage,,64,64,bytes,65945303.0,ns,627
cost_analysis_storage,,64,64,bytes,68058591.0,ns,646
cost_analysis_storage,,64,64,bytes,69946345.0,ns,665
cost_analysis_storage,,64,64,bytes,72010482.0,ns,684
cost_analysis_storage,,64,64,bytes,73937461.0,ns,703
cost_analysis_storage,,64,64,bytes,75891553.0,ns,722
cost_analysis_storage,,64,64,bytes,78365269.0,ns,741
cost_analysis_storage,,64,64,bytes,79943918.0,ns,760
cost_analysis_storage,,64,64,bytes,81887009.0,ns,779
cost_analysis_storage,,64,64,bytes,84051744.0,ns,798
cost_analysis_storage,,64,64,bytes,85826659.0,ns,817
cost_analysis_storage,,64,64,bytes,87954836.0,ns,836
cost_analysis_storage,,64,64,bytes,89855056.0,ns,855
cost_analysis_storage,,64,64,bytes,91962700.0,ns,874
cost_analysis_storage,,64,64,bytes,93794128.0,ns,893
cost_analysis_storage,,64,64,bytes,96404018.0,ns,912
cost_analysis_storage,,64,64,bytes,98491558.0,ns,931
cost_analysis_storage,,64,64,bytes,100252061.0,ns,950
cost_analysis_storage,,64,64,bytes,102004940.0,ns,969
cost_analysis_storage,,64,64,bytes,103950040.0,ns,988
cost_analysis_storage,,64,64,bytes,106022659.0,ns,1007
cost_analysis_storage,,64,64,bytes,107945506.0,ns,1026
cost_analysis_storage,,64,64,bytes,110026610.0,ns,1045
cost_analysis_storage,,64,64,bytes,112055351.0,ns,1064
cost_analysis_storage,,64,64,bytes,114016144.0,ns,1083
cost_analysis_storage,,64,64,bytes,116103274.0,ns,1102
cost_analysis_storage,,64,64,bytes,118465617.0,ns,1121
cost_analysis_storage,,64,64,bytes,120514366.0,ns,1140
cost_analysis_storage,,64,64,bytes,121883318.0,ns,1159
cost_analysis_storage,,64,64,bytes,123781650.0,ns,1178
cost_analysis_storage,,64,64,bytes,125812094.0,ns,1197
cost_analysis_storage,,64,64,bytes,127757212.0,ns,1216
cost_analysis_storage,,64,64,bytes,129794654.0,ns,1235
cost_analysis_storage,,64,64,bytes,131880083.0,ns,1254
cost_analysis_storage,,64,64,bytes,134003199.0,ns,1273
cost_analysis_storage,,64,64,bytes,136346517.0,ns,1292
cost_analysis_storage,,64,64,bytes,137934991.0,ns,1311
cost_analysis_storage,,64,64,bytes,139908227.0,ns,1330
cost_analysis_storage,,64,64,bytes,141828203.0,ns,1349
cost_analysis_storage,,64,64,bytes,143832833.0,ns,1368
cost_analysis_storage,,64,64,bytes,145841686.0,ns,1387
cost_analysis_storage,,64,64,bytes,147703429.0,ns,1406
