group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_tuple_items_check,,128,128,bytes,2058943.0,ns,21
cost_analysis_tuple_items_check,,128,128,bytes,3985492.0,ns,42
cost_analysis_tuple_items_check,,128,128,bytes,5963503.0,ns,63
cost_analysis_tuple_items_check,,128,128,bytes,7948581.0,ns,84
cost_analysis_tuple_items_check,,128,128,bytes,9937999.0,ns,105
cost_analysis_tuple_items_check,,128,128,bytes,11921076.0,ns,126
cost_analysis_tuple_items_check,,128,128,bytes,13926650.0,ns,147
cost_analysis_tuple_items_check,,128,128,bytes,15901366.0,ns,168
cost_analysis_tuple_items_check,,128,128,bytes,17885950.0,ns,189
cost_analysis_tuple_items_check,,128,128,bytes,19886040.0,ns,210
cost_analysis_tuple_items_check,,128,128,bytes,21884377.0,ns,231
cost_analysis_tuple_items_check,,128,128,bytes,23841525.0,ns,252
cost_analysis_tuple_items_check,,128,128,bytes,25836634.0,ns,273
cost_analysis_tuple_items_check,,128,128,bytes,27837660.0,ns,294
cost_analysis_tuple_items_check,,128,128,bytes,29960056.0,ns,315
cost_analysis_tuple_items_check,,128,128,bytes,31813251.0,ns,336
cost_analysis_tuple_items_check,,128,128,bytes,33776851.0,ns,357
cost_analysis_tuple_items_check,,128,128,bytes,35778766.0,ns,378
cost_analysis_tuple_items_check,,128,128,bytes,37774908.0,ns,399
cost_analysis_tuple_items_check,,128,128,bytes,39754430.0,ns,420
cost_analysis_tuple_items_check,,128,128,bytes,41765072.0,ns,441
cost_analysis_tuple_items_check,,128,128,bytes,43732299.0,ns,462
cost_analysis_tuple_items_check,,128,128,bytes,45719916.0,ns,483
cost_analysis_tuple_items_check,,128,128,bytes,47692676.0,ns,504
cost_analysis_tuple_items_check,,128,128,bytes,49684344.0,ns,525
cost_analysis_tuple_items_check,,128,128,bytes,51681253.0,ns,546
cost_analysis_tuple_items_check,,128,128,bytes,53654609.0,ns,567
cost_analysis_tuple_items_check,,128,128,bytes,55660865.0,ns,588
cost_analysis_tuple_items_check,,128,128,bytes,58082198.0,ns,609
