group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_type_annotate,,2,2,bytes,2012233.0,ns,393
cost_analysis_type_annotate,,2,2,bytes,3946424.0,ns,786
cost_analysis_type_annotate,,2,2,bytes,5925469.0,ns,1179
cost_analysis_type_annotate,,2,2,bytes,7878169.0,ns,1572
cost_analysis_type_annotate,,2,2,bytes,9861451.0,ns,1965
cost_analysis_type_annotate,,2,2,bytes,11837999.0,ns,2358
cost_analysis_type_annotate,,2,2,bytes,13821543.0,ns,2751
cost_analysis_type_annotate,,2,2,bytes,15788834.0,ns,3144
cost_analysis_type_annotate,,2,2,bytes,17754998.0,ns,3537
cost_analysis_type_annotate,,2,2,bytes,19734836.0,ns,3930
cost_analysis_type_annotate,,2,2,bytes,21723534.0,ns,4323
cost_analysis_type_annotate,,2,2,bytes,23668310.0,ns,4716
cost_analysis_type_annotate,,2,2,bytes,25686715.0,ns,5109
cost_analysis_type_annotate,,2,2,bytes,27650764.0,ns,5502
cost_analysis_type_annotate,,2,2,bytes,29633225.0,ns,5895
cost_analysis_type_annotate,,2,2,bytes,31612416.0,ns,6288
cost_analysis_type_annotate,,2,2,bytes,33573757.0,ns,6681
cost_analysis_type_annotate,,2,2,bytes,35536604.0,ns,7074
cost_analysis_type_annotate,,2,2,bytes,37481718.0,ns,7467
cost_analysis_type_annotate,,2,2,bytes,39433658.0,ns,7860
cost_analysis_type_annotate,,2,2,bytes,41454303.0,ns,8253
cost_analysis_type_annotate,,2,2,bytes,43434849.0,ns,8646
cost_analysis_type_annotate,,2,2,bytes,45403237.0,ns,9039
cost_analysis_type_annotate,,2,2,bytes,47314496.0,ns,9432
cost_analysis_type_annotate,,2,2,bytes,49287700.0,ns,9825
cost_analysis_type_annotate,,2,2,bytes,51332584.0,ns,10218
cost_analysis_type_annotate,,2,2,bytes,53271113.0,ns,10611
cost_analysis_type_annotate,,2,2,bytes,55271523.0,ns,11004
cost_analysis_type_annotate,,2,2,bytes,57179254.0,ns,11397
cost_analysis_type_annotate,,2,2,bytes,59243726.0,ns,11790
cost_analysis_type_annotate,,2,2,bytes,61233557.0,ns,12183
cost_analysis_type_annotate,,2,2,bytes,63186951.0,ns,12576
cost_analysis_type_annotate,,2,2,bytes,65199153.0,ns,12969
cost_analysis_type_annotate,,2,2,bytes,67253365.0,ns,13362
cost_analysis_type_annotate,,2,2,bytes,69059871.0,ns,13755
cost_analysis_type_annotate,,2,2,bytes,71053049.0,ns,14148
cost_analysis_type_annotate,,2,2,bytes,72977285.0,ns,14541
cost_analysis_type_annotate,,2,2,bytes,74996414.0,ns,14934
cost_analysis_type_annotate,,2,2,bytes,76929301.0,ns,15327
cost_analysis_type_annotate,,2,2,bytes,78858194.0,ns,15720
cost_analysis_type_annotate,,2,2,bytes,80837450.0,ns,16113
cost_analysis_type_annotate,,2,2,bytes,82988454.0,ns,16506
cost_analysis_type_annotate,,2,2,bytes,85019400.0,ns,16899
cost_analysis_type_annotate,,2,2,bytes,87034191.0,ns,17292
cost_analysis_type_annotate,,2,2,bytes,88847580.0,ns,17685
cost_analysis_type_annotate,,2,2,bytes,90776776.0,ns,18078
cost_analysis_type_annotate,,2,2,bytes,92708001.0,ns,18471
cost_analysis_type_annotate,,2,2,bytes,94646554.0,ns,18864
cost_analysis_type_annotate,,2,2,bytes,96616356.0,ns,19257
cost_analysis_type_annotate,,2,2,bytes,98681212.0,ns,19650
