group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_type_annotate,,64,64,bytes,2005014.0,ns,37
cost_analysis_type_annotate,,64,64,bytes,3996676.0,ns,74
cost_analysis_type_annotate,,64,64,bytes,6017180.0,ns,111
cost_analysis_type_annotate,,64,64,bytes,7990540.0,ns,148
cost_analysis_type_annotate,,64,64,bytes,9986930.0,ns,185
cost_analysis_type_annotate,,64,64,bytes,11995975.0,ns,222
cost_analysis_type_annotate,,64,64,bytes,13987662.0,ns,259
cost_analysis_type_annotate,,64,64,bytes,15980261.0,ns,296
cost_analysis_type_annotate,,64,64,bytes,17984531.0,ns,333
cost_analysis_type_annotate,,64,64,bytes,19981616.0,ns,370
cost_analysis_type_annotate,,64,64,bytes,21963181.0,ns,407
cost_analysis_type_annotate,,64,64,bytes,23967544.0,ns,444
cost_analysis_type_annotate,,64,64,bytes,25962166.0,ns,481
cost_analysis_type_annotate,,64,64,bytes,27957559.0,ns,518
cost_analysis_type_annotate,,64,64,bytes,29935303.0,ns,555
cost_analysis_type_annotate,,64,64,bytes,31961826.0,ns,592
cost_analysis_type_annotate,,64,64,bytes,33939331.0,ns,629
cost_analysis_type_annotate,,64,64,bytes,35932299.0,ns,666
cost_analysis_type_annotate,,64,64,bytes,37937433.0,ns,703
cost_analysis_type_annotate,,64,64,bytes,39946166.0,ns,740
cost_analysis_type_annotate,,64,64,bytes,41939077.0,ns,777
cost_analysis_type_annotate,,64,64,bytes,43924203.0,ns,814
cost_analysis_type_annotate,,64,64,bytes,46065501.0,ns,851
cost_analysis_type_annotate,,64,64,bytes,48160906.0,ns,888
cost_analysis_type_annotate,,64,64,bytes,50023607.0,ns,925
cost_analysis_type_annotate,,64,64,bytes,52264332.0,ns,962
cost_analysis_type_annotate,,64,64,bytes,53941797.0,ns,999
cost_analysis_type_annotate,,64,64,bytes,56004871.0,ns,1036
cost_analysis_type_annotate,,64,64,bytes,57959853.0,ns,1073
cost_analysis_type_annotate,,64,64,bytes,60029274.0,ns,1110
cost_analysis_type_annotate,,64,64,bytes,61913126.0,ns,1147
cost_analysis_type_annotate,,64,64,bytes,63928458.0,ns,1184
cost_analysis_type_annotate,,64,64,bytes,65904184.0,ns,1221
cost_analysis_type_annotate,,64,64,bytes,67984878.0,ns,1258
cost_analysis_type_annotate,,64,64,bytes,69944921.0,ns,1295
cost_analysis_type_annotate,,64,64,bytes,72033524.0,ns,1332
cost_analysis_type_annotate,,64,64,bytes,73975261.0,ns,1369
cost_analysis_type_annotate,,64,64,bytes,75963928.0,ns,1406
cost_analysis_type_annotate,,64,64,bytes,77982608.0,ns,1443
cost_analysis_type_annotate,,64,64,bytes,81233896.0,ns,1480
cost_analysis_type_annotate,,64,64,bytes,82650204.0,ns,1517
cost_analysis_type_annotate,,64,64,bytes,84169226.0,ns,1554
cost_analysis_type_annotate,,64,64,bytes,86359246.0,ns,1591
cost_analysis_type_annotate,,64,64,bytes,87938609.0,ns,1628
cost_analysis_type_annotate,,64,64,bytes,90153043.0,ns,1665
cost_analysis_type_annotate,,64,64,bytes,91939971.0,ns,1702
cost_analysis_type_annotate,,64,64,bytes,94979916.0,ns,1739
cost_analysis_type_annotate,,64,64,bytes,96931789.0,ns,1776
cost_analysis_type_annotate,,64,64,bytes,98150322.0,ns,1813
cost_analysis_type_annotate,,64,64,bytes,99911841.0,ns,1850
cost_analysis_type_annotate,,64,64,bytes,102269999.0,ns,1887
cost_analysis_type_annotate,,64,64,bytes,103861865.0,ns,1924
cost_analysis_type_annotate,,64,64,bytes,105889590.0,ns,1961
