group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_type_check,,1,1,bytes,2198402.0,ns,717
cost_analysis_type_check,,1,1,bytes,3937850.0,ns,1434
cost_analysis_type_check,,1,1,bytes,5885535.0,ns,2151
cost_analysis_type_check,,1,1,bytes,7848945.0,ns,2868
cost_analysis_type_check,,1,1,bytes,9829384.0,ns,3585
cost_analysis_type_check,,1,1,bytes,11780716.0,ns,4302
cost_analysis_type_check,,1,1,bytes,13747358.0,ns,5019
cost_analysis_type_check,,1,1,bytes,15717389.0,ns,5736
cost_analysis_type_check,,1,1,bytes,17685074.0,ns,6453
cost_analysis_type_check,,1,1,bytes,19656561.0,ns,7170
cost_analysis_type_check,,1,1,bytes,21615456.0,ns,7887
cost_analysis_type_check,,1,1,bytes,23582997.0,ns,8604
cost_analysis_type_check,,1,1,bytes,25539869.0,ns,9321
cost_analysis_type_check,,1,1,bytes,27478958.0,ns,10038
cost_analysis_type_check,,1,1,bytes,29432847.0,ns,10755
cost_analysis_type_check,,1,1,bytes,31515733.0,ns,11472
cost_analysis_type_check,,1,1,bytes,33390394.0,ns,12189
cost_analysis_type_check,,1,1,bytes,35431943.0,ns,12906
cost_analysis_type_check,,1,1,bytes,37484784.0,ns,13623
cost_analysis_type_check,,1,1,bytes,39491478.0,ns,14340
cost_analysis_type_check,,1,1,bytes,41250345.0,ns,15057
cost_analysis_type_check,,1,1,bytes,43247246.0,ns,15774
cost_analysis_type_check,,1,1,bytes,45200807.0,ns,16491
cost_analysis_type_check,,1,1,bytes,47233806.0,ns,17208
cost_analysis_type_check,,1,1,bytes,49100821.0,ns,17925
cost_analysis_type_check,,1,1,bytes,51039370.0,ns,18642
cost_analysis_type_check,,1,1,bytes,53085677.0,ns,19359
cost_analysis_type_check,,1,1,bytes,55017399.0,ns,20076
cost_analysis_type_check,,1,1,bytes,57072932.0,ns,20793
cost_analysis_type_check,,1,1,bytes,58909300.0,ns,21510
cost_analysis_type_check,,1,1,bytes,61071910.0,ns,22227
cost_analysis_type_check,,1,1,bytes,62874163.0,ns,22944
cost_analysis_type_check,,1,1,bytes,64820339.0,ns,23661
cost_analysis_type_check,,1,1,bytes,66738919.0,ns,24378
cost_analysis_type_check,,1,1,bytes,68797841.0,ns,25095
cost_analysis_type_check,,1,1,bytes,70695690.0,ns,25812
cost_analysis_type_check,,1,1,bytes,72823737.0,ns,26529
cost_analysis_type_check,,1,1,bytes,74914462.0,ns,27246
cost_analysis_type_check,,1,1,bytes,76790992.0,ns,27963
cost_analysis_type_check,,1,1,bytes,79194106.0,ns,28680
cost_analysis_type_check,,1,1,bytes,80568300.0,ns,29397
cost_analysis_type_check,,1,1,bytes,82413878.0,ns,30114
cost_analysis_type_check,,1,1,bytes,84514089.0,ns,30831
cost_analysis_type_check,,1,1,bytes,86435857.0,ns,31548
cost_analysis_type_check,,1,1,bytes,88411482.0,ns,32265
cost_analysis_type_check,,1,1,bytes,90348128.0,ns,32982
cost_analysis_type_check,,1,1,bytes,92257858.0,ns,33699
cost_analysis_type_check,,1,1,bytes,94214099.0,ns,34416
cost_analysis_type_check,,1,1,bytes,96184897.0,ns,35133
cost_analysis_type_check,,1,1,bytes,98127860.0,ns,35850
cost_analysis_type_check,,1,1,bytes,100727504.0,ns,36567
cost_analysis_type_check,,1,1,bytes,102141615.0,ns,37284
cost_analysis_type_check,,1,1,bytes,104061403.0,ns,38001
cost_analysis_type_check,,1,1,bytes,106045404.0,ns,38718
