group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_type_check,,32,32,bytes,2099622.0,ns,8
cost_analysis_type_check,,32,32,bytes,4146097.0,ns,16
cost_analysis_type_check,,32,32,bytes,6220736.0,ns,24
cost_analysis_type_check,,32,32,bytes,8280655.0,ns,32
cost_analysis_type_check,,32,32,bytes,10367941.0,ns,40
cost_analysis_type_check,,32,32,bytes,12445283.0,ns,48
cost_analysis_type_check,,32,32,bytes,14573031.0,ns,56
cost_analysis_type_check,,32,32,bytes,16618637.0,ns,64
cost_analysis_type_check,,32,32,bytes,18649051.0,ns,72
cost_analysis_type_check,,32,32,bytes,20725349.0,ns,80
cost_analysis_type_check,,32,32,bytes,22795916.0,ns,88
cost_analysis_type_check,,32,32,bytes,24875950.0,ns,96
cost_analysis_type_check,,32,32,bytes,26942297.0,ns,104
cost_analysis_type_check,,32,32,bytes,29034898.0,ns,112
cost_analysis_type_check,,32,32,bytes,31340083.0,ns,120
cost_analysis_type_check,,32,32,bytes,33269552.0,ns,128
cost_analysis_type_check,,32,32,bytes,35284807.0,ns,136
cost_analysis_type_check,,32,32,bytes,37399582.0,ns,144
cost_analysis_type_check,,32,32,bytes,39543145.0,ns,152
cost_analysis_type_check,,32,32,bytes,41593813.0,ns,160
cost_analysis_type_check,,32,32,bytes,43606823.0,ns,168
cost_analysis_type_check,,32,32,bytes,45649466.0,ns,176
cost_analysis_type_check,,32,32,bytes,47787611.0,ns,184
cost_analysis_type_check,,32,32,bytes,49830985.0,ns,192
cost_analysis_type_check,,32,32,bytes,52211545.0,ns,200
cost_analysis_type_check,,32,32,bytes,54337202.0,ns,208
cost_analysis_type_check,,32,32,bytes,56344104.0,ns,216
cost_analysis_type_check,,32,32,bytes,58345285.0,ns,224
cost_analysis_type_check,,32,32,bytes,60307900.0,ns,232
cost_analysis_type_check,,32,32,bytes,62132851.0,ns,240
cost_analysis_type_check,,32,32,bytes,64387174.0,ns,248
cost_analysis_type_check,,32,32,bytes,66344514.0,ns,256
cost_analysis_type_check,,32,32,bytes,68386781.0,ns,264
cost_analysis_type_check,,32,32,bytes,70429834.0,ns,272
cost_analysis_type_check,,32,32,bytes,72564054.0,ns,280
cost_analysis_type_check,,32,32,bytes,74615638.0,ns,288
cost_analysis_type_check,,32,32,bytes,76647045.0,ns,296
cost_analysis_type_check,,32,32,bytes,78740312.0,ns,304
cost_analysis_type_check,,32,32,bytes,80882368.0,ns,312
cost_analysis_type_check,,32,32,bytes,82872612.0,ns,320
cost_analysis_type_check,,32,32,bytes,84936900.0,ns,328
cost_analysis_type_check,,32,32,bytes,87797530.0,ns,336
cost_analysis_type_check,,32,32,bytes,89268141.0,ns,344
cost_analysis_type_check,,32,32,bytes,92766926.0,ns,352
cost_analysis_type_check,,32,32,bytes,93277796.0,ns,360
cost_analysis_type_check,,32,32,bytes,95336156.0,ns,368
cost_analysis_type_check,,32,32,bytes,97518504.0,ns,376
cost_analysis_type_check,,32,32,bytes,99446266.0,ns,384
cost_analysis_type_check,,32,32,bytes,101538352.0,ns,392
cost_analysis_type_check,,32,32,bytes,103592082.0,ns,400
cost_analysis_type_check,,32,32,bytes,105903007.0,ns,408
cost_analysis_type_check,,32,32,bytes,107917929.0,ns,416
cost_analysis_type_check,,32,32,bytes,109914479.0,ns,424
cost_analysis_type_check,,32,32,bytes,111920294.0,ns,432
cost_analysis_type_check,,32,32,bytes,113980800.0,ns,440
cost_analysis_type_check,,32,32,bytes,116234234.0,ns,448
cost_analysis_type_check,,32,32,bytes,118083672.0,ns,456
cost_analysis_type_check,,32,32,bytes,120154755.0,ns,464
cost_analysis_type_check,,32,32,bytes,122209732.0,ns,472
cost_analysis_type_check,,32,32,bytes,124312543.0,ns,480
cost_analysis_type_check,,32,32,bytes,126452601.0,ns,488
cost_analysis_type_check,,32,32,bytes,128504371.0,ns,496
cost_analysis_type_check,,32,32,bytes,130506712.0,ns,504
cost_analysis_type_check,,32,32,bytes,132607651.0,ns,512
cost_analysis_type_check,,32,32,bytes,134614325.0,ns,520
cost_analysis_type_check,,32,32,bytes,136753851.0,ns,528
cost_analysis_type_check,,32,32,bytes,138777920.0,ns,536
cost_analysis_type_check,,32,32,bytes,141985407.0,ns,544
cost_analysis_type_check,,32,32,bytes,142961524.0,ns,552
cost_analysis_type_check,,32,32,bytes,146556582.0,ns,560
cost_analysis_type_check,,32,32,bytes,147279978.0,ns,568
cost_analysis_type_check,,32,32,bytes,149158792.0,ns,576
cost_analysis_type_check,,32,32,bytes,151244350.0,ns,584
cost_analysis_type_check,,32,32,bytes,153508829.0,ns,592
cost_analysis_type_check,,32,32,bytes,155898476.0,ns,600
cost_analysis_type_check,,32,32,bytes,158842621.0,ns,608
cost_analysis_type_check,,32,32,bytes,159752346.0,ns,616
cost_analysis_type_check,,32,32,bytes,162168873.0,ns,624
cost_analysis_type_check,,32,32,bytes,163673884.0,ns,632
cost_analysis_type_check,,32,32,bytes,166259800.0,ns,640
cost_analysis_type_check,,32,32,bytes,168271644.0,ns,648
cost_analysis_type_check,,32,32,bytes,170174486.0,ns,656
cost_analysis_type_check,,32,32,bytes,172116987.0,ns,664
cost_analysis_type_check,,32,32,bytes,174035922.0,ns,672
cost_analysis_type_check,,32,32,bytes,175994908.0,ns,680
cost_analysis_type_check,,32,32,bytes,179239692.0,ns,688
cost_analysis_type_check,,32,32,bytes,180869296.0,ns,696
cost_analysis_type_check,,32,32,bytes,182423431.0,ns,704
cost_analysis_type_check,,32,32,bytes,184545991.0,ns,712
cost_analysis_type_check,,32,32,bytes,186447724.0,ns,720
cost_analysis_type_check,,32,32,bytes,188523181.0,ns,728
cost_analysis_type_check,,32,32,bytes,191350402.0,ns,736
cost_analysis_type_check,,32,32,bytes,193068367.0,ns,744
cost_analysis_type_check,,32,32,bytes,195195708.0,ns,752
cost_analysis_type_check,,32,32,bytes,196924677.0,ns,760
cost_analysis_type_check,,32,32,bytes,199328658.0,ns,768
cost_analysis_type_check,,32,32,bytes,201673968.0,ns,776
