group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_type_lookup,,2,2,bytes,2001431.0,ns,304
cost_analysis_type_lookup,,2,2,bytes,3939031.0,ns,608
cost_analysis_type_lookup,,2,2,bytes,6029209.0,ns,912
cost_analysis_type_lookup,,2,2,bytes,7906372.0,ns,1216
cost_analysis_type_lookup,,2,2,bytes,10036589.0,ns,1520
cost_analysis_type_lookup,,2,2,bytes,11845130.0,ns,1824
cost_analysis_type_lookup,,2,2,bytes,14040272.0,ns,2128
cost_analysis_type_lookup,,2,2,bytes,15788162.0,ns,2432
cost_analysis_type_lookup,,2,2,bytes,18039419.0,ns,2736
cost_analysis_type_lookup,,2,2,bytes,19729904.0,ns,3040
cost_analysis_type_lookup,,2,2,bytes,22054925.0,ns,3344
cost_analysis_type_lookup,,2,2,bytes,23827956.0,ns,3648
cost_analysis_type_lookup,,2,2,bytes,26042330.0,ns,3952
cost_analysis_type_lookup,,2,2,bytes,27607122.0,ns,4256
cost_analysis_type_lookup,,2,2,bytes,30084782.0,ns,4560
cost_analysis_type_lookup,,2,2,bytes,31633219.0,ns,4864
cost_analysis_type_lookup,,2,2,bytes,34084324.0,ns,5168
cost_analysis_type_lookup,,2,2,bytes,35593884.0,ns,5472
cost_analysis_type_lookup,,2,2,bytes,38097664.0,ns,5776
cost_analysis_type_lookup,,2,2,bytes,39468143.0,ns,6080
cost_analysis_type_lookup,,2,2,bytes,42078760.0,ns,6384
cost_analysis_type_lookup,,2,2,bytes,43404809.0,ns,6688
cost_analysis_type_lookup,,2,2,bytes,46140620.0,ns,6992
cost_analysis_type_lookup,,2,2,bytes,47362523.0,ns,7296
cost_analysis_type_lookup,,2,2,bytes,50125325.0,ns,7600
cost_analysis_type_lookup,,2,2,bytes,51309202.0,ns,7904
cost_analysis_type_lookup,,2,2,bytes,54172347.0,ns,8208
cost_analysis_type_lookup,,2,2,bytes,55499713.0,ns,8512
cost_analysis_type_lookup,,2,2,bytes,58336648.0,ns,8816
cost_analysis_type_lookup,,2,2,bytes,59500793.0,ns,9120
cost_analysis_type_lookup,,2,2,bytes,62529739.0,ns,9424
cost_analysis_type_lookup,,2,2,bytes,63367661.0,ns,9728
cost_analysis_type_lookup,,2,2,bytes,66077065.0,ns,10032
cost_analysis_type_lookup,,2,2,bytes,67008486.0,ns,10336
cost_analysis_type_lookup,,2,2,bytes,70238031.0,ns,10640
cost_analysis_type_lookup,,2,2,bytes,70984738.0,ns,10944
cost_analysis_type_lookup,,2,2,bytes,74120024.0,ns,11248
cost_analysis_type_lookup,,2,2,bytes,74952431.0,ns,11552
cost_analysis_type_lookup,,2,2,bytes,78227647.0,ns,11856
cost_analysis_type_lookup,,2,2,bytes,78941507.0,ns,12160
cost_analysis_type_lookup,,2,2,bytes,82180529.0,ns,12464
