group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_type_lookup,,64,64,bytes,2051599.0,ns,102
cost_analysis_type_lookup,,64,64,bytes,3983457.0,ns,204
cost_analysis_type_lookup,,64,64,bytes,5972205.0,ns,306
cost_analysis_type_lookup,,64,64,bytes,7981644.0,ns,408
cost_analysis_type_lookup,,64,64,bytes,9959370.0,ns,510
cost_analysis_type_lookup,,64,64,bytes,11967851.0,ns,612
cost_analysis_type_lookup,,64,64,bytes,13950754.0,ns,714
cost_analysis_type_lookup,,64,64,bytes,15933687.0,ns,816
cost_analysis_type_lookup,,64,64,bytes,17963752.0,ns,918
cost_analysis_type_lookup,,64,64,bytes,19962579.0,ns,1020
cost_analysis_type_lookup,,64,64,bytes,21946013.0,ns,1122
cost_analysis_type_lookup,,64,64,bytes,23921818.0,ns,1224
cost_analysis_type_lookup,,64,64,bytes,25910267.0,ns,1326
cost_analysis_type_lookup,,64,64,bytes,27880230.0,ns,1428
cost_analysis_type_lookup,,64,64,bytes,29889049.0,ns,1530
cost_analysis_type_lookup,,64,64,bytes,31868222.0,ns,1632
cost_analysis_type_lookup,,64,64,bytes,34786749.0,ns,1734
cost_analysis_type_lookup,,64,64,bytes,35862048.0,ns,1836
cost_analysis_type_lookup,,64,64,bytes,37858195.0,ns,1938
cost_analysis_type_lookup,,64,64,bytes,39832386.0,ns,2040
cost_analysis_type_lookup,,64,64,bytes,41833378.0,ns,2142
cost_analysis_type_lookup,,64,64,bytes,43924595.0,ns,2244
cost_analysis_type_lookup,,64,64,bytes,45832602.0,ns,2346
cost_analysis_type_lookup,,64,64,bytes,47811134.0,ns,2448
cost_analysis_type_lookup,,64,64,bytes,49805437.0,ns,2550
cost_analysis_type_lookup,,64,64,bytes,51811506.0,ns,2652
cost_analysis_type_lookup,,64,64,bytes,53780996.0,ns,2754
cost_analysis_type_lookup,,64,64,bytes,55990328.0,ns,2856
cost_analysis_type_lookup,,64,64,bytes,57794564.0,ns,2958
cost_analysis_type_lookup,,64,64,bytes,59765860.0,ns,3060
cost_analysis_type_lookup,,64,64,bytes,61774839.0,ns,3162
cost_analysis_type_lookup,,64,64,bytes,63749047.0,ns,3264
cost_analysis_type_lookup,,64,64,bytes,65947433.0,ns,3366
cost_analysis_type_lookup,,64,64,bytes,67828172.0,ns,3468
cost_analysis_type_lookup,,64,64,bytes,69835806.0,ns,3570
cost_analysis_type_lookup,,64,64,bytes,72879434.0,ns,3672
cost_analysis_type_lookup,,64,64,bytes,73921544.0,ns,3774
cost_analysis_type_lookup,,64,64,bytes,76459735.0,ns,3876
cost_analysis_type_lookup,,64,64,bytes,78490459.0,ns,3978
cost_analysis_type_lookup,,64,64,bytes,80179674.0,ns,4080
cost_analysis_type_lookup,,64,64,bytes,81686361.0,ns,4182
cost_analysis_type_lookup,,64,64,bytes,83692756.0,ns,4284
cost_analysis_type_lookup,,64,64,bytes,85774708.0,ns,4386
cost_analysis_type_lookup,,64,64,bytes,87922332.0,ns,4488
cost_analysis_type_lookup,,64,64,bytes,89722467.0,ns,4590
cost_analysis_type_lookup,,64,64,bytes,91712981.0,ns,4692
cost_analysis_type_lookup,,64,64,bytes,93743224.0,ns,4794
cost_analysis_type_lookup,,64,64,bytes,96131914.0,ns,4896
cost_analysis_type_lookup,,64,64,bytes,97748625.0,ns,4998
cost_analysis_type_lookup,,64,64,bytes,99712189.0,ns,5100
cost_analysis_type_lookup,,64,64,bytes,101562859.0,ns,5202
cost_analysis_type_lookup,,64,64,bytes,103581894.0,ns,5304
cost_analysis_type_lookup,,64,64,bytes,105618395.0,ns,5406
cost_analysis_type_lookup,,64,64,bytes,107655716.0,ns,5508
cost_analysis_type_lookup,,64,64,bytes,109636118.0,ns,5610
cost_analysis_type_lookup,,64,64,bytes,111565410.0,ns,5712
cost_analysis_type_lookup,,64,64,bytes,113638114.0,ns,5814
cost_analysis_type_lookup,,64,64,bytes,115549902.0,ns,5916
cost_analysis_type_lookup,,64,64,bytes,117564663.0,ns,6018
cost_analysis_type_lookup,,64,64,bytes,119532658.0,ns,6120
cost_analysis_type_lookup,,64,64,bytes,121483173.0,ns,6222
cost_analysis_type_lookup,,64,64,bytes,123504478.0,ns,6324
cost_analysis_type_lookup,,64,64,bytes,125532765.0,ns,6426
cost_analysis_type_lookup,,64,64,bytes,127491568.0,ns,6528
cost_analysis_type_lookup,,64,64,bytes,129496938.0,ns,6630
cost_analysis_type_lookup,,64,64,bytes,132072343.0,ns,6732
cost_analysis_type_lookup,,64,64,bytes,133456669.0,ns,6834
cost_analysis_type_lookup,,64,64,bytes,135428266.0,ns,6936
cost_analysis_type_lookup,,64,64,bytes,137519414.0,ns,7038
cost_analysis_type_lookup,,64,64,bytes,139574939.0,ns,7140
cost_analysis_type_lookup,,64,64,bytes,141415440.0,ns,7242
cost_analysis_type_lookup,,64,64,bytes,143503181.0,ns,7344
cost_analysis_type_lookup,,64,64,bytes,145460461.0,ns,7446
cost_analysis_type_lookup,,64,64,bytes,147592648.0,ns,7548
cost_analysis_type_lookup,,64,64,bytes,149406748.0,ns,7650
cost_analysis_type_lookup,,64,64,bytes,151546431.0,ns,7752
cost_analysis_type_lookup,,64,64,bytes,153385457.0,ns,7854
cost_analysis_type_lookup,,64,64,bytes,155379864.0,ns,7956
cost_analysis_type_lookup,,64,64,bytes,157383884.0,ns,8058
cost_analysis_type_lookup,,64,64,bytes,159334445.0,ns,8160
cost_analysis_type_lookup,,64,64,bytes,162790733.0,ns,8262
cost_analysis_type_lookup,,64,64,bytes,163685482.0,ns,8364
cost_analysis_type_lookup,,64,64,bytes,165483484.0,ns,8466
cost_analysis_type_lookup,,64,64,bytes,167317943.0,ns,8568
cost_analysis_type_lookup,,64,64,bytes,169828100.0,ns,8670
cost_analysis_type_lookup,,64,64,bytes,171289802.0,ns,8772
cost_analysis_type_lookup,,64,64,bytes,173329261.0,ns,8874
cost_analysis_type_lookup,,64,64,bytes,175264282.0,ns,8976
cost_analysis_type_lookup,,64,64,bytes,176971437.0,ns,9078
cost_analysis_type_lookup,,64,64,bytes,178289743.0,ns,9180
cost_analysis_type_lookup,,64,64,bytes,181571409.0,ns,9282
cost_analysis_type_lookup,,64,64,bytes,183439621.0,ns,9384
cost_analysis_type_lookup,,64,64,bytes,185269763.0,ns,9486
cost_analysis_type_lookup,,64,64,bytes,187313573.0,ns,9588
cost_analysis_type_lookup,,64,64,bytes,189257122.0,ns,9690
cost_analysis_type_lookup,,64,64,bytes,191338454.0,ns,9792
cost_analysis_type_lookup,,64,64,bytes,193223266.0,ns,9894
cost_analysis_type_lookup,,64,64,bytes,195493643.0,ns,9996
cost_analysis_type_lookup,,64,64,bytes,197341459.0,ns,10098
cost_analysis_type_lookup,,64,64,bytes,199238575.0,ns,10200
