group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_use_trait_entry,,19,19,bytes,1132644.0,ns,2
cost_analysis_use_trait_entry,,19,19,bytes,2219389.0,ns,4
cost_analysis_use_trait_entry,,19,19,bytes,3337371.0,ns,6
cost_analysis_use_trait_entry,,19,19,bytes,4453730.0,ns,8
cost_analysis_use_trait_entry,,19,19,bytes,5582356.0,ns,10
cost_analysis_use_trait_entry,,19,19,bytes,6657215.0,ns,12
cost_analysis_use_trait_entry,,19,19,bytes,7754536.0,ns,14
cost_analysis_use_trait_entry,,19,19,bytes,8910710.0,ns,16
cost_analysis_use_trait_entry,,19,19,bytes,10003512.0,ns,18
cost_analysis_use_trait_entry,,19,19,bytes,11137961.0,ns,20
cost_analysis_use_trait_entry,,19,19,bytes,12229723.0,ns,22
cost_analysis_use_trait_entry,,19,19,bytes,13506569.0,ns,24
cost_analysis_use_trait_entry,,19,19,bytes,14633424.0,ns,26
cost_analysis_use_trait_entry,,19,19,bytes,15669304.0,ns,28
cost_analysis_use_trait_entry,,19,19,bytes,16694122.0,ns,30
cost_analysis_use_trait_entry,,19,19,bytes,17906784.0,ns,32
cost_analysis_use_trait_entry,,19,19,bytes,18856664.0,ns,34
cost_analysis_use_trait_entry,,19,19,bytes,19963024.0,ns,36
cost_analysis_use_trait_entry,,19,19,bytes,21058959.0,ns,38
cost_analysis_use_trait_entry,,19,19,bytes,22185781.0,ns,40
cost_analysis_use_trait_entry,,19,19,bytes,23338378.0,ns,42
cost_analysis_use_trait_entry,,19,19,bytes,24332326.0,ns,44
cost_analysis_use_trait_entry,,19,19,bytes,25482261.0,ns,46
cost_analysis_use_trait_entry,,19,19,bytes,26656652.0,ns,48
cost_analysis_use_trait_entry,,19,19,bytes,27716580.0,ns,50
cost_analysis_use_trait_entry,,19,19,bytes,28812619.0,ns,52
cost_analysis_use_trait_entry,,19,19,bytes,29873171.0,ns,54
cost_analysis_use_trait_entry,,19,19,bytes,30994022.0,ns,56
cost_analysis_use_trait_entry,,19,19,bytes,32113882.0,ns,58
cost_analysis_use_trait_entry,,19,19,bytes,33240538.0,ns,60
cost_analysis_use_trait_entry,,19,19,bytes,34281271.0,ns,62
cost_analysis_use_trait_entry,,19,19,bytes,35431514.0,ns,64
cost_analysis_use_trait_entry,,19,19,bytes,36576154.0,ns,66
cost_analysis_use_trait_entry,,19,19,bytes,37733569.0,ns,68
cost_analysis_use_trait_entry,,19,19,bytes,38765697.0,ns,70
cost_analysis_use_trait_entry,,19,19,bytes,39832098.0,ns,72
cost_analysis_use_trait_entry,,19,19,bytes,40902392.0,ns,74
cost_analysis_use_trait_entry,,19,19,bytes,42007093.0,ns,76
cost_analysis_use_trait_entry,,19,19,bytes,43103344.0,ns,78
cost_analysis_use_trait_entry,,19,19,bytes,44281651.0,ns,80
cost_analysis_use_trait_entry,,19,19,bytes,45423807.0,ns,82
cost_analysis_use_trait_entry,,19,19,bytes,46484077.0,ns,84
cost_analysis_use_trait_entry,,19,19,bytes,47775618.0,ns,86
cost_analysis_use_trait_entry,,19,19,bytes,48774654.0,ns,88
cost_analysis_use_trait_entry,,19,19,bytes,49891481.0,ns,90
cost_analysis_use_trait_entry,,19,19,bytes,50891684.0,ns,92
cost_analysis_use_trait_entry,,19,19,bytes,52032664.0,ns,94
cost_analysis_use_trait_entry,,19,19,bytes,53176023.0,ns,96
cost_analysis_use_trait_entry,,19,19,bytes,54256052.0,ns,98
cost_analysis_use_trait_entry,,19,19,bytes,55361915.0,ns,100
cost_analysis_use_trait_entry,,19,19,bytes,56399942.0,ns,102
cost_analysis_use_trait_entry,,19,19,bytes,57523635.0,ns,104
cost_analysis_use_trait_entry,,19,19,bytes,58636903.0,ns,106
cost_analysis_use_trait_entry,,19,19,bytes,59715718.0,ns,108
cost_analysis_use_trait_entry,,19,19,bytes,60990854.0,ns,110
cost_analysis_use_trait_entry,,19,19,bytes,61900070.0,ns,112
cost_analysis_use_trait_entry,,19,19,bytes,63197133.0,ns,114
cost_analysis_use_trait_entry,,19,19,bytes,64241954.0,ns,116
cost_analysis_use_trait_entry,,19,19,bytes,65427880.0,ns,118
cost_analysis_use_trait_entry,,19,19,bytes,66447938.0,ns,120
cost_analysis_use_trait_entry,,19,19,bytes,67895190.0,ns,122
cost_analysis_use_trait_entry,,19,19,bytes,68890258.0,ns,124
cost_analysis_use_trait_entry,,19,19,bytes,69970830.0,ns,126
cost_analysis_use_trait_entry,,19,19,bytes,70940243.0,ns,128
cost_analysis_use_trait_entry,,19,19,bytes,72131247.0,ns,130
cost_analysis_use_trait_entry,,19,19,bytes,73288054.0,ns,132
cost_analysis_use_trait_entry,,19,19,bytes,74460734.0,ns,134
cost_analysis_use_trait_entry,,19,19,bytes,75523649.0,ns,136
cost_analysis_use_trait_entry,,19,19,bytes,76565469.0,ns,138
cost_analysis_use_trait_entry,,19,19,bytes,77623482.0,ns,140
cost_analysis_use_trait_entry,,19,19,bytes,78865850.0,ns,142
cost_analysis_use_trait_entry,,19,19,bytes,79712394.0,ns,144
cost_analysis_use_trait_entry,,19,19,bytes,81065105.0,ns,146
cost_analysis_use_trait_entry,,19,19,bytes,82262814.0,ns,148
cost_analysis_use_trait_entry,,19,19,bytes,83149736.0,ns,150
cost_analysis_use_trait_entry,,19,19,bytes,84609853.0,ns,152
cost_analysis_use_trait_entry,,19,19,bytes,85553859.0,ns,154
cost_analysis_use_trait_entry,,19,19,bytes,86593817.0,ns,156
cost_analysis_use_trait_entry,,19,19,bytes,87574058.0,ns,158
cost_analysis_use_trait_entry,,19,19,bytes,88671110.0,ns,160
cost_analysis_use_trait_entry,,19,19,bytes,92150969.0,ns,162
cost_analysis_use_trait_entry,,19,19,bytes,90718823.0,ns,164
cost_analysis_use_trait_entry,,19,19,bytes,91937057.0,ns,166
cost_analysis_use_trait_entry,,19,19,bytes,93026794.0,ns,168
cost_analysis_use_trait_entry,,19,19,bytes,94149680.0,ns,170
cost_analysis_use_trait_entry,,19,19,bytes,99551063.0,ns,172
