group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_use_trait_entry,,35,35,bytes,1349011.0,ns,2
cost_analysis_use_trait_entry,,35,35,bytes,2663745.0,ns,4
cost_analysis_use_trait_entry,,35,35,bytes,4010020.0,ns,6
cost_analysis_use_trait_entry,,35,35,bytes,5333836.0,ns,8
cost_analysis_use_trait_entry,,35,35,bytes,6668418.0,ns,10
cost_analysis_use_trait_entry,,35,35,bytes,7991722.0,ns,12
cost_analysis_use_trait_entry,,35,35,bytes,9341933.0,ns,14
cost_analysis_use_trait_entry,,35,35,bytes,10680109.0,ns,16
cost_analysis_use_trait_entry,,35,35,bytes,12014164.0,ns,18
cost_analysis_use_trait_entry,,35,35,bytes,13326828.0,ns,20
cost_analysis_use_trait_entry,,35,35,bytes,14664497.0,ns,22
cost_analysis_use_trait_entry,,35,35,bytes,15989090.0,ns,24
cost_analysis_use_trait_entry,,35,35,bytes,17236142.0,ns,26
cost_analysis_use_trait_entry,,35,35,bytes,27058608.0,ns,28
cost_analysis_use_trait_entry,,35,35,bytes,19930065.0,ns,30
cost_analysis_use_trait_entry,,35,35,bytes,21266379.0,ns,32
cost_analysis_use_trait_entry,,35,35,bytes,22497664.0,ns,34
cost_analysis_use_trait_entry,,35,35,bytes,24487472.0,ns,36
cost_analysis_use_trait_entry,,35,35,bytes,26138927.0,ns,38
cost_analysis_use_trait_entry,,35,35,bytes,27464576.0,ns,40
cost_analysis_use_trait_entry,,35,35,bytes,28706077.0,ns,42
cost_analysis_use_trait_entry,,35,35,bytes,30145438.0,ns,44
cost_analysis_use_trait_entry,,35,35,bytes,31605287.0,ns,46
cost_analysis_use_trait_entry,,35,35,bytes,33021932.0,ns,48
cost_analysis_use_trait_entry,,35,35,bytes,33800654.0,ns,50
cost_analysis_use_trait_entry,,35,35,bytes,34643188.0,ns,52
cost_analysis_use_trait_entry,,35,35,bytes,35902531.0,ns,54
cost_analysis_use_trait_entry,,35,35,bytes,37287083.0,ns,56
cost_analysis_use_trait_entry,,35,35,bytes,38591767.0,ns,58
cost_analysis_use_trait_entry,,35,35,bytes,39963279.0,ns,60
cost_analysis_use_trait_entry,,35,35,bytes,41482843.0,ns,62
cost_analysis_use_trait_entry,,35,35,bytes,42519901.0,ns,64
cost_analysis_use_trait_entry,,35,35,bytes,43898602.0,ns,66
cost_analysis_use_trait_entry,,35,35,bytes,45241922.0,ns,68
cost_analysis_use_trait_entry,,35,35,bytes,46513081.0,ns,70
cost_analysis_use_trait_entry,,35,35,bytes,47737070.0,ns,72
