group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_visit,,1,1,bytes,2021133.0,ns,9141
cost_analysis_visit,,1,1,bytes,3952203.0,ns,18282
cost_analysis_visit,,1,1,bytes,5935805.0,ns,27423
cost_analysis_visit,,1,1,bytes,7901216.0,ns,36564
cost_analysis_visit,,1,1,bytes,9879268.0,ns,45705
cost_analysis_visit,,1,1,bytes,11843740.0,ns,54846
cost_analysis_visit,,1,1,bytes,13823030.0,ns,63987
cost_analysis_visit,,1,1,bytes,15917999.0,ns,73128
cost_analysis_visit,,1,1,bytes,17820791.0,ns,82269
cost_analysis_visit,,1,1,bytes,19758562.0,ns,91410
cost_analysis_visit,,1,1,bytes,21728781.0,ns,100551
cost_analysis_visit,,1,1,bytes,23712015.0,ns,109692
cost_analysis_visit,,1,1,bytes,25720267.0,ns,118833
cost_analysis_visit,,1,1,bytes,27665932.0,ns,127974
cost_analysis_visit,,1,1,bytes,29672842.0,ns,137115
cost_analysis_visit,,1,1,bytes,31763635.0,ns,146256
cost_analysis_visit,,1,1,bytes,33645295.0,ns,155397
cost_analysis_visit,,1,1,bytes,35592278.0,ns,164538
cost_analysis_visit,,1,1,bytes,37637928.0,ns,173679
cost_analysis_visit,,1,1,bytes,39841204.0,ns,182820
cost_analysis_visit,,1,1,bytes,41506872.0,ns,191961
cost_analysis_visit,,1,1,bytes,43456216.0,ns,201102
cost_analysis_visit,,1,1,bytes,45501787.0,ns,210243
cost_analysis_visit,,1,1,bytes,47606423.0,ns,219384
cost_analysis_visit,,1,1,bytes,49418741.0,ns,228525
cost_analysis_visit,,1,1,bytes,51383832.0,ns,237666
cost_analysis_visit,,1,1,bytes,53365742.0,ns,246807
cost_analysis_visit,,1,1,bytes,55566647.0,ns,255948
cost_analysis_visit,,1,1,bytes,57301172.0,ns,265089
cost_analysis_visit,,1,1,bytes,59326034.0,ns,274230
cost_analysis_visit,,1,1,bytes,61233332.0,ns,283371
cost_analysis_visit,,1,1,bytes,63231768.0,ns,292512
cost_analysis_visit,,1,1,bytes,65136000.0,ns,301653
cost_analysis_visit,,1,1,bytes,67159696.0,ns,310794
cost_analysis_visit,,1,1,bytes,69314695.0,ns,319935
cost_analysis_visit,,1,1,bytes,71448762.0,ns,329076
cost_analysis_visit,,1,1,bytes,73681828.0,ns,338217
cost_analysis_visit,,1,1,bytes,75498682.0,ns,347358
cost_analysis_visit,,1,1,bytes,77128636.0,ns,356499
cost_analysis_visit,,1,1,bytes,79070286.0,ns,365640
cost_analysis_visit,,1,1,bytes,81009593.0,ns,374781
cost_analysis_visit,,1,1,bytes,83212478.0,ns,383922
cost_analysis_visit,,1,1,bytes,85106477.0,ns,393063
cost_analysis_visit,,1,1,bytes,87033886.0,ns,402204
cost_analysis_visit,,1,1,bytes,89122848.0,ns,411345
cost_analysis_visit,,1,1,bytes,90967853.0,ns,420486
cost_analysis_visit,,1,1,bytes,92948222.0,ns,429627
cost_analysis_visit,,1,1,bytes,94836406.0,ns,438768
cost_analysis_visit,,1,1,bytes,96931513.0,ns,447909
cost_analysis_visit,,1,1,bytes,99219052.0,ns,457050
cost_analysis_visit,,1,1,bytes,102119141.0,ns,466191
cost_analysis_visit,,1,1,bytes,102936993.0,ns,475332
cost_analysis_visit,,1,1,bytes,104794802.0,ns,484473
cost_analysis_visit,,1,1,bytes,106813514.0,ns,493614
cost_analysis_visit,,1,1,bytes,108928639.0,ns,502755
cost_analysis_visit,,1,1,bytes,110900813.0,ns,511896
cost_analysis_visit,,1,1,bytes,113177534.0,ns,521037
