group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_analysis_visit,,1,1,bytes,1972953.0,ns,10667
cost_analysis_visit,,1,1,bytes,3955156.0,ns,21334
cost_analysis_visit,,1,1,bytes,5945327.0,ns,32001
cost_analysis_visit,,1,1,bytes,7908555.0,ns,42668
cost_analysis_visit,,1,1,bytes,9870039.0,ns,53335
cost_analysis_visit,,1,1,bytes,11859778.0,ns,64002
cost_analysis_visit,,1,1,bytes,13826622.0,ns,74669
cost_analysis_visit,,1,1,bytes,15808603.0,ns,85336
cost_analysis_visit,,1,1,bytes,17802981.0,ns,96003
cost_analysis_visit,,1,1,bytes,19892651.0,ns,106670
cost_analysis_visit,,1,1,bytes,21815986.0,ns,117337
cost_analysis_visit,,1,1,bytes,23749726.0,ns,128004
cost_analysis_visit,,1,1,bytes,25708576.0,ns,138671
cost_analysis_visit,,1,1,bytes,27682040.0,ns,149338
cost_analysis_visit,,1,1,bytes,29671819.0,ns,160005
cost_analysis_visit,,1,1,bytes,31816874.0,ns,170672
cost_analysis_visit,,1,1,bytes,33594847.0,ns,181339
cost_analysis_visit,,1,1,bytes,35627802.0,ns,192006
cost_analysis_visit,,1,1,bytes,37618725.0,ns,202673
cost_analysis_visit,,1,1,bytes,39555829.0,ns,213340
cost_analysis_visit,,1,1,bytes,41576560.0,ns,224007
cost_analysis_visit,,1,1,bytes,43486525.0,ns,234674
cost_analysis_visit,,1,1,bytes,45560604.0,ns,245341
cost_analysis_visit,,1,1,bytes,47427617.0,ns,256008
cost_analysis_visit,,1,1,bytes,49405112.0,ns,266675
cost_analysis_visit,,1,1,bytes,51350606.0,ns,277342
cost_analysis_visit,,1,1,bytes,53357529.0,ns,288009
cost_analysis_visit,,1,1,bytes,55310777.0,ns,298676
cost_analysis_visit,,1,1,bytes,57326871.0,ns,309343
cost_analysis_visit,,1,1,bytes,59290632.0,ns,320010
cost_analysis_visit,,1,1,bytes,61286688.0,ns,330677
cost_analysis_visit,,1,1,bytes,63252407.0,ns,341344
cost_analysis_visit,,1,1,bytes,65216635.0,ns,352011
cost_analysis_visit,,1,1,bytes,67166195.0,ns,362678
cost_analysis_visit,,1,1,bytes,69216945.0,ns,373345
cost_analysis_visit,,1,1,bytes,71119422.0,ns,384012
cost_analysis_visit,,1,1,bytes,73103826.0,ns,394679
cost_analysis_visit,,1,1,bytes,75102870.0,ns,405346
cost_analysis_visit,,1,1,bytes,77038111.0,ns,416013
cost_analysis_visit,,1,1,bytes,79024894.0,ns,426680
cost_analysis_visit,,1,1,bytes,80994749.0,ns,437347
cost_analysis_visit,,1,1,bytes,82996699.0,ns,448014
cost_analysis_visit,,1,1,bytes,84971466.0,ns,458681
cost_analysis_visit,,1,1,bytes,87172421.0,ns,469348
cost_analysis_visit,,1,1,bytes,89142616.0,ns,480015
cost_analysis_visit,,1,1,bytes,91061955.0,ns,490682
cost_analysis_visit,,1,1,bytes,93485246.0,ns,501349
cost_analysis_visit,,1,1,bytes,95027689.0,ns,512016
cost_analysis_visit,,1,1,bytes,96842878.0,ns,522683
cost_analysis_visit,,1,1,bytes,98871028.0,ns,533350
cost_analysis_visit,,1,1,bytes,100817225.0,ns,544017
cost_analysis_visit,,1,1,bytes,102759640.0,ns,554684
cost_analysis_visit,,1,1,bytes,105303666.0,ns,565351
cost_analysis_visit,,1,1,bytes,107230431.0,ns,576018
cost_analysis_visit,,1,1,bytes,109257801.0,ns,586685
cost_analysis_visit,,1,1,bytes,111147208.0,ns,597352
cost_analysis_visit,,1,1,bytes,113719117.0,ns,608019
cost_analysis_visit,,1,1,bytes,114674104.0,ns,618686
cost_analysis_visit,,1,1,bytes,117211656.0,ns,629353
cost_analysis_visit,,1,1,bytes,119344345.0,ns,640020
cost_analysis_visit,,1,1,bytes,120904474.0,ns,650687
cost_analysis_visit,,1,1,bytes,122593889.0,ns,661354
cost_analysis_visit,,1,1,bytes,124534083.0,ns,672021
cost_analysis_visit,,1,1,bytes,126723115.0,ns,682688
cost_analysis_visit,,1,1,bytes,128625571.0,ns,693355
cost_analysis_visit,,1,1,bytes,130437977.0,ns,704022
cost_analysis_visit,,1,1,bytes,132422927.0,ns,714689
cost_analysis_visit,,1,1,bytes,134365039.0,ns,725356
cost_analysis_visit,,1,1,bytes,136383087.0,ns,736023
cost_analysis_visit,,1,1,bytes,138400206.0,ns,746690
cost_analysis_visit,,1,1,bytes,140336426.0,ns,757357
cost_analysis_visit,,1,1,bytes,142278719.0,ns,768024
cost_analysis_visit,,1,1,bytes,144723512.0,ns,778691
cost_analysis_visit,,1,1,bytes,146271207.0,ns,789358
cost_analysis_visit,,1,1,bytes,148227249.0,ns,800025
cost_analysis_visit,,1,1,bytes,150215183.0,ns,810692
cost_analysis_visit,,1,1,bytes,152259063.0,ns,821359
cost_analysis_visit,,1,1,bytes,154365605.0,ns,832026
cost_analysis_visit,,1,1,bytes,156407013.0,ns,842693
cost_analysis_visit,,1,1,bytes,158249430.0,ns,853360
cost_analysis_visit,,1,1,bytes,160172450.0,ns,864027
cost_analysis_visit,,1,1,bytes,162139169.0,ns,874694
