group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_and,,128,128,bytes,2086223.0,ns,5
cost_and,,128,128,bytes,4055539.0,ns,10
cost_and,,128,128,bytes,6064198.0,ns,15
cost_and,,128,128,bytes,8079959.0,ns,20
cost_and,,128,128,bytes,10164143.0,ns,25
cost_and,,128,128,bytes,12287758.0,ns,30
cost_and,,128,128,bytes,14439948.0,ns,35
cost_and,,128,128,bytes,16341500.0,ns,40
cost_and,,128,128,bytes,18233540.0,ns,45
cost_and,,128,128,bytes,20308059.0,ns,50
cost_and,,128,128,bytes,22349412.0,ns,55
cost_and,,128,128,bytes,24358002.0,ns,60
cost_and,,128,128,bytes,26300591.0,ns,65
cost_and,,128,128,bytes,28249775.0,ns,70
cost_and,,128,128,bytes,30415279.0,ns,75
cost_and,,128,128,bytes,32288042.0,ns,80
cost_and,,128,128,bytes,34812879.0,ns,85
cost_and,,128,128,bytes,36616280.0,ns,90
cost_and,,128,128,bytes,38583359.0,ns,95
cost_and,,128,128,bytes,40426244.0,ns,100
cost_and,,128,128,bytes,42404801.0,ns,105
cost_and,,128,128,bytes,44436231.0,ns,110
cost_and,,128,128,bytes,46484948.0,ns,115
cost_and,,128,128,bytes,48520963.0,ns,120
cost_and,,128,128,bytes,50579100.0,ns,125
cost_and,,128,128,bytes,52582191.0,ns,130
cost_and,,128,128,bytes,54618214.0,ns,135
cost_and,,128,128,bytes,56821957.0,ns,140
cost_and,,128,128,bytes,58919729.0,ns,145
cost_and,,128,128,bytes,60913811.0,ns,150
cost_and,,128,128,bytes,63916952.0,ns,155
cost_and,,128,128,bytes,64896327.0,ns,160
cost_and,,128,128,bytes,66604310.0,ns,165
cost_and,,128,128,bytes,68789632.0,ns,170
cost_and,,128,128,bytes,70785108.0,ns,175
cost_and,,128,128,bytes,73329243.0,ns,180
cost_and,,128,128,bytes,75012929.0,ns,185
cost_and,,128,128,bytes,77018301.0,ns,190
cost_and,,128,128,bytes,79405980.0,ns,195
cost_and,,128,128,bytes,81326134.0,ns,200
cost_and,,128,128,bytes,83105545.0,ns,205
cost_and,,128,128,bytes,85084144.0,ns,210
cost_and,,128,128,bytes,87251560.0,ns,215
cost_and,,128,128,bytes,89110191.0,ns,220
cost_and,,128,128,bytes,90954126.0,ns,225
cost_and,,128,128,bytes,92996198.0,ns,230
cost_and,,128,128,bytes,94990008.0,ns,235
cost_and,,128,128,bytes,96908551.0,ns,240
cost_and,,128,128,bytes,99076296.0,ns,245
cost_and,,128,128,bytes,101024047.0,ns,250
cost_and,,128,128,bytes,103012834.0,ns,255
cost_and,,128,128,bytes,105116740.0,ns,260
cost_and,,128,128,bytes,106954419.0,ns,265
cost_and,,128,128,bytes,109907642.0,ns,270
cost_and,,128,128,bytes,110563297.0,ns,275
cost_and,,128,128,bytes,112781813.0,ns,280
cost_and,,128,128,bytes,114929960.0,ns,285
cost_and,,128,128,bytes,116713655.0,ns,290
cost_and,,128,128,bytes,118633868.0,ns,295
cost_and,,128,128,bytes,120645147.0,ns,300
cost_and,,128,128,bytes,122618858.0,ns,305
cost_and,,128,128,bytes,126346830.0,ns,310
cost_and,,128,128,bytes,127970205.0,ns,315
cost_and,,128,128,bytes,128737134.0,ns,320
cost_and,,128,128,bytes,130806975.0,ns,325
cost_and,,128,128,bytes,132963265.0,ns,330
cost_and,,128,128,bytes,135039901.0,ns,335
cost_and,,128,128,bytes,136880362.0,ns,340
cost_and,,128,128,bytes,139048083.0,ns,345
cost_and,,128,128,bytes,141762390.0,ns,350
cost_and,,128,128,bytes,143185467.0,ns,355
cost_and,,128,128,bytes,145103326.0,ns,360
cost_and,,128,128,bytes,147091365.0,ns,365
cost_and,,128,128,bytes,148903632.0,ns,370
cost_and,,128,128,bytes,151118658.0,ns,375
cost_and,,128,128,bytes,153831823.0,ns,380
cost_and,,128,128,bytes,155890559.0,ns,385
cost_and,,128,128,bytes,156948196.0,ns,390
cost_and,,128,128,bytes,159034860.0,ns,395
cost_and,,128,128,bytes,160962299.0,ns,400
cost_and,,128,128,bytes,163204360.0,ns,405
cost_and,,128,128,bytes,165245636.0,ns,410
cost_and,,128,128,bytes,167473993.0,ns,415
cost_and,,128,128,bytes,168989590.0,ns,420
cost_and,,128,128,bytes,170899719.0,ns,425
cost_and,,128,128,bytes,173248325.0,ns,430
cost_and,,128,128,bytes,175351854.0,ns,435
cost_and,,128,128,bytes,177290753.0,ns,440
cost_and,,128,128,bytes,180693645.0,ns,445
cost_and,,128,128,bytes,181824183.0,ns,450
cost_and,,128,128,bytes,183808351.0,ns,455
cost_and,,128,128,bytes,185497463.0,ns,460
cost_and,,128,128,bytes,187700211.0,ns,465
cost_and,,128,128,bytes,191135255.0,ns,470
cost_and,,128,128,bytes,192165879.0,ns,475
cost_and,,128,128,bytes,193781809.0,ns,480
cost_and,,128,128,bytes,196056385.0,ns,485
cost_and,,128,128,bytes,197714208.0,ns,490
cost_and,,128,128,bytes,200558893.0,ns,495
cost_and,,128,128,bytes,204269535.0,ns,500
