group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_and,,64,64,bytes,1241042.0,ns,5
cost_and,,64,64,bytes,2271149.0,ns,10
cost_and,,64,64,bytes,3321492.0,ns,15
cost_and,,64,64,bytes,4452868.0,ns,20
cost_and,,64,64,bytes,5529599.0,ns,25
cost_and,,64,64,bytes,6612328.0,ns,30
cost_and,,64,64,bytes,7716644.0,ns,35
cost_and,,64,64,bytes,8814137.0,ns,40
cost_and,,64,64,bytes,9921185.0,ns,45
cost_and,,64,64,bytes,11010785.0,ns,50
cost_and,,64,64,bytes,12122895.0,ns,55
cost_and,,64,64,bytes,13231075.0,ns,60
cost_and,,64,64,bytes,14333445.0,ns,65
cost_and,,64,64,bytes,15464290.0,ns,70
cost_and,,64,64,bytes,16577202.0,ns,75
cost_and,,64,64,bytes,17951267.0,ns,80
cost_and,,64,64,bytes,18818666.0,ns,85
cost_and,,64,64,bytes,19952103.0,ns,90
cost_and,,64,64,bytes,21069120.0,ns,95
cost_and,,64,64,bytes,22191117.0,ns,100
cost_and,,64,64,bytes,23263989.0,ns,105
cost_and,,64,64,bytes,24330029.0,ns,110
cost_and,,64,64,bytes,25425852.0,ns,115
cost_and,,64,64,bytes,26609993.0,ns,120
cost_and,,64,64,bytes,27642528.0,ns,125
cost_and,,64,64,bytes,28753019.0,ns,130
cost_and,,64,64,bytes,29883353.0,ns,135
cost_and,,64,64,bytes,30959900.0,ns,140
cost_and,,64,64,bytes,32075991.0,ns,145
cost_and,,64,64,bytes,33180595.0,ns,150
cost_and,,64,64,bytes,34304977.0,ns,155
cost_and,,64,64,bytes,35386209.0,ns,160
cost_and,,64,64,bytes,36582148.0,ns,165
cost_and,,64,64,bytes,37634370.0,ns,170
cost_and,,64,64,bytes,38716725.0,ns,175
cost_and,,64,64,bytes,39843993.0,ns,180
cost_and,,64,64,bytes,40930002.0,ns,185
cost_and,,64,64,bytes,42052720.0,ns,190
cost_and,,64,64,bytes,43219011.0,ns,195
cost_and,,64,64,bytes,44288457.0,ns,200
cost_and,,64,64,bytes,45351612.0,ns,205
cost_and,,64,64,bytes,46473153.0,ns,210
cost_and,,64,64,bytes,47536514.0,ns,215
cost_and,,64,64,bytes,48681058.0,ns,220
cost_and,,64,64,bytes,49728115.0,ns,225
cost_and,,64,64,bytes,50851617.0,ns,230
cost_and,,64,64,bytes,51950972.0,ns,235
cost_and,,64,64,bytes,53231450.0,ns,240
cost_and,,64,64,bytes,54273623.0,ns,245
cost_and,,64,64,bytes,55261191.0,ns,250
cost_and,,64,64,bytes,56414491.0,ns,255
cost_and,,64,64,bytes,57711105.0,ns,260
cost_and,,64,64,bytes,58601554.0,ns,265
cost_and,,64,64,bytes,59608374.0,ns,270
cost_and,,64,64,bytes,60677934.0,ns,275
cost_and,,64,64,bytes,61803952.0,ns,280
cost_and,,64,64,bytes,62907559.0,ns,285
cost_and,,64,64,bytes,64106566.0,ns,290
cost_and,,64,64,bytes,65485054.0,ns,295
cost_and,,64,64,bytes,66196476.0,ns,300
cost_and,,64,64,bytes,67220742.0,ns,305
cost_and,,64,64,bytes,69127917.0,ns,310
cost_and,,64,64,bytes,69691949.0,ns,315
cost_and,,64,64,bytes,70564673.0,ns,320
cost_and,,64,64,bytes,72122213.0,ns,325
cost_and,,64,64,bytes,72725063.0,ns,330
cost_and,,64,64,bytes,73889164.0,ns,335
cost_and,,64,64,bytes,74872739.0,ns,340
cost_and,,64,64,bytes,76006047.0,ns,345
cost_and,,64,64,bytes,77061818.0,ns,350
cost_and,,64,64,bytes,78186339.0,ns,355
cost_and,,64,64,bytes,79443484.0,ns,360
cost_and,,64,64,bytes,80392276.0,ns,365
cost_and,,64,64,bytes,81576411.0,ns,370
cost_and,,64,64,bytes,83066734.0,ns,375
cost_and,,64,64,bytes,84456746.0,ns,380
cost_and,,64,64,bytes,85273682.0,ns,385
cost_and,,64,64,bytes,86288576.0,ns,390
cost_and,,64,64,bytes,87370519.0,ns,395
cost_and,,64,64,bytes,88479018.0,ns,400
cost_and,,64,64,bytes,89680307.0,ns,405
cost_and,,64,64,bytes,90658459.0,ns,410
cost_and,,64,64,bytes,91810769.0,ns,415
cost_and,,64,64,bytes,93131903.0,ns,420
cost_and,,64,64,bytes,94081475.0,ns,425
cost_and,,64,64,bytes,95122714.0,ns,430
cost_and,,64,64,bytes,96543669.0,ns,435
cost_and,,64,64,bytes,97315576.0,ns,440
cost_and,,64,64,bytes,98070912.0,ns,445
cost_and,,64,64,bytes,99201128.0,ns,450
cost_and,,64,64,bytes,100273135.0,ns,455
cost_and,,64,64,bytes,101496808.0,ns,460
cost_and,,64,64,bytes,102444804.0,ns,465
cost_and,,64,64,bytes,104262594.0,ns,470
cost_and,,64,64,bytes,104885730.0,ns,475
cost_and,,64,64,bytes,106065424.0,ns,480
cost_and,,64,64,bytes,107472558.0,ns,485
cost_and,,64,64,bytes,110129505.0,ns,490
cost_and,,64,64,bytes,110542127.0,ns,495
cost_and,,64,64,bytes,111523692.0,ns,500
