group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_append,,128,128,bytes,3672158.0,ns,2
cost_append,,128,128,bytes,6956309.0,ns,4
cost_append,,128,128,bytes,10380224.0,ns,6
cost_append,,128,128,bytes,13849869.0,ns,8
cost_append,,128,128,bytes,17343402.0,ns,10
cost_append,,128,128,bytes,20864124.0,ns,12
cost_append,,128,128,bytes,24306642.0,ns,14
cost_append,,128,128,bytes,27694533.0,ns,16
cost_append,,128,128,bytes,31184029.0,ns,18
cost_append,,128,128,bytes,34679322.0,ns,20
cost_append,,128,128,bytes,38166504.0,ns,22
cost_append,,128,128,bytes,41630268.0,ns,24
cost_append,,128,128,bytes,45032017.0,ns,26
cost_append,,128,128,bytes,48450002.0,ns,28
cost_append,,128,128,bytes,51795805.0,ns,30
cost_append,,128,128,bytes,55438902.0,ns,32
cost_append,,128,128,bytes,59000213.0,ns,34
cost_append,,128,128,bytes,63052045.0,ns,36
cost_append,,128,128,bytes,66484136.0,ns,38
cost_append,,128,128,bytes,69195383.0,ns,40
cost_append,,128,128,bytes,72581073.0,ns,42
cost_append,,128,128,bytes,76190059.0,ns,44
cost_append,,128,128,bytes,80131514.0,ns,46
cost_append,,128,128,bytes,83895237.0,ns,48
cost_append,,128,128,bytes,86617056.0,ns,50
cost_append,,128,128,bytes,89963835.0,ns,52
cost_append,,128,128,bytes,93491281.0,ns,54
cost_append,,128,128,bytes,97146467.0,ns,56
cost_append,,128,128,bytes,100484104.0,ns,58
cost_append,,128,128,bytes,104113074.0,ns,60
cost_append,,128,128,bytes,108255758.0,ns,62
cost_append,,128,128,bytes,111147745.0,ns,64
cost_append,,128,128,bytes,115146188.0,ns,66
cost_append,,128,128,bytes,118862046.0,ns,68
cost_append,,128,128,bytes,121818604.0,ns,70
cost_append,,128,128,bytes,125432211.0,ns,72
cost_append,,128,128,bytes,129257793.0,ns,74
cost_append,,128,128,bytes,132288767.0,ns,76
cost_append,,128,128,bytes,134857781.0,ns,78
cost_append,,128,128,bytes,137228615.0,ns,80
cost_append,,128,128,bytes,140532152.0,ns,82
cost_append,,128,128,bytes,143977847.0,ns,84
cost_append,,128,128,bytes,147709354.0,ns,86
cost_append,,128,128,bytes,152571299.0,ns,88
cost_append,,128,128,bytes,156365090.0,ns,90
cost_append,,128,128,bytes,159379861.0,ns,92
cost_append,,128,128,bytes,163012341.0,ns,94
cost_append,,128,128,bytes,167438234.0,ns,96
cost_append,,128,128,bytes,170357250.0,ns,98
cost_append,,128,128,bytes,175760854.0,ns,100
cost_append,,128,128,bytes,176015803.0,ns,102
cost_append,,128,128,bytes,179312037.0,ns,104
cost_append,,128,128,bytes,183165439.0,ns,106
cost_append,,128,128,bytes,187241700.0,ns,108
cost_append,,128,128,bytes,190686281.0,ns,110
cost_append,,128,128,bytes,194289089.0,ns,112
cost_append,,128,128,bytes,197698408.0,ns,114
cost_append,,128,128,bytes,201573744.0,ns,116
cost_append,,128,128,bytes,207174021.0,ns,118
cost_append,,128,128,bytes,208318921.0,ns,120
cost_append,,128,128,bytes,214186558.0,ns,122
cost_append,,128,128,bytes,215837181.0,ns,124
cost_append,,128,128,bytes,219758752.0,ns,126
cost_append,,128,128,bytes,224505832.0,ns,128
cost_append,,128,128,bytes,225620135.0,ns,130
cost_append,,128,128,bytes,228740956.0,ns,132
cost_append,,128,128,bytes,232215349.0,ns,134
cost_append,,128,128,bytes,235592590.0,ns,136
cost_append,,128,128,bytes,238883355.0,ns,138
cost_append,,128,128,bytes,242700203.0,ns,140
cost_append,,128,128,bytes,246604516.0,ns,142
cost_append,,128,128,bytes,251180105.0,ns,144
cost_append,,128,128,bytes,253772432.0,ns,146
cost_append,,128,128,bytes,257002229.0,ns,148
cost_append,,128,128,bytes,260144470.0,ns,150
cost_append,,128,128,bytes,266047486.0,ns,152
cost_append,,128,128,bytes,267883277.0,ns,154
cost_append,,128,128,bytes,271726859.0,ns,156
cost_append,,128,128,bytes,274005728.0,ns,158
cost_append,,128,128,bytes,279404517.0,ns,160
cost_append,,128,128,bytes,281523450.0,ns,162
cost_append,,128,128,bytes,286080883.0,ns,164
cost_append,,128,128,bytes,287804338.0,ns,166
cost_append,,128,128,bytes,293619897.0,ns,168
cost_append,,128,128,bytes,294613156.0,ns,170
cost_append,,128,128,bytes,297916427.0,ns,172
cost_append,,128,128,bytes,302894799.0,ns,174
cost_append,,128,128,bytes,309001987.0,ns,176
cost_append,,128,128,bytes,309571002.0,ns,178
cost_append,,128,128,bytes,316183675.0,ns,180
cost_append,,128,128,bytes,316004235.0,ns,182
cost_append,,128,128,bytes,319274905.0,ns,184
cost_append,,128,128,bytes,324886630.0,ns,186
cost_append,,128,128,bytes,325810746.0,ns,188
cost_append,,128,128,bytes,328923932.0,ns,190
cost_append,,128,128,bytes,337075114.0,ns,192
cost_append,,128,128,bytes,338452192.0,ns,194
cost_append,,128,128,bytes,343181013.0,ns,196
cost_append,,128,128,bytes,347331954.0,ns,198
cost_append,,128,128,bytes,348201701.0,ns,200
