group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_append,,512,512,bytes,109947555.0,ns,6
cost_append,,512,512,bytes,109877512.0,ns,6
cost_append,,512,512,bytes,107616911.0,ns,6
cost_append,,512,512,bytes,109855384.0,ns,6
cost_append,,512,512,bytes,111067812.0,ns,6
cost_append,,512,512,bytes,108548710.0,ns,6
cost_append,,512,512,bytes,109513984.0,ns,6
cost_append,,512,512,bytes,108308693.0,ns,6
cost_append,,512,512,bytes,109553268.0,ns,6
cost_append,,512,512,bytes,107775661.0,ns,6
cost_append,,512,512,bytes,108355076.0,ns,6
cost_append,,512,512,bytes,108395035.0,ns,6
cost_append,,512,512,bytes,109459554.0,ns,6
cost_append,,512,512,bytes,108904665.0,ns,6
cost_append,,512,512,bytes,108209927.0,ns,6
cost_append,,512,512,bytes,109392357.0,ns,6
cost_append,,512,512,bytes,110847355.0,ns,6
cost_append,,512,512,bytes,108581077.0,ns,6
cost_append,,512,512,bytes,109211496.0,ns,6
cost_append,,512,512,bytes,107552449.0,ns,6
cost_append,,512,512,bytes,109980321.0,ns,6
cost_append,,512,512,bytes,108898303.0,ns,6
cost_append,,512,512,bytes,111182739.0,ns,6
cost_append,,512,512,bytes,108536549.0,ns,6
cost_append,,512,512,bytes,112517349.0,ns,6
cost_append,,512,512,bytes,107829129.0,ns,6
cost_append,,512,512,bytes,107616860.0,ns,6
cost_append,,512,512,bytes,108287424.0,ns,6
cost_append,,512,512,bytes,109290436.0,ns,6
cost_append,,512,512,bytes,107770926.0,ns,6
cost_append,,512,512,bytes,108922155.0,ns,6
cost_append,,512,512,bytes,107903763.0,ns,6
cost_append,,512,512,bytes,107894856.0,ns,6
cost_append,,512,512,bytes,108250877.0,ns,6
cost_append,,512,512,bytes,108102397.0,ns,6
cost_append,,512,512,bytes,108385163.0,ns,6
cost_append,,512,512,bytes,108022401.0,ns,6
cost_append,,512,512,bytes,110913278.0,ns,6
cost_append,,512,512,bytes,107642428.0,ns,6
cost_append,,512,512,bytes,109657901.0,ns,6
cost_append,,512,512,bytes,110475961.0,ns,6
cost_append,,512,512,bytes,108983320.0,ns,6
cost_append,,512,512,bytes,108590499.0,ns,6
cost_append,,512,512,bytes,110244569.0,ns,6
cost_append,,512,512,bytes,108500572.0,ns,6
cost_append,,512,512,bytes,108088208.0,ns,6
cost_append,,512,512,bytes,108292431.0,ns,6
cost_append,,512,512,bytes,108413737.0,ns,6
cost_append,,512,512,bytes,108349103.0,ns,6
cost_append,,512,512,bytes,108136832.0,ns,6
cost_append,,512,512,bytes,107999586.0,ns,6
cost_append,,512,512,bytes,108002000.0,ns,6
cost_append,,512,512,bytes,108682867.0,ns,6
cost_append,,512,512,bytes,111859096.0,ns,6
cost_append,,512,512,bytes,107857649.0,ns,6
cost_append,,512,512,bytes,111525182.0,ns,6
cost_append,,512,512,bytes,109773654.0,ns,6
cost_append,,512,512,bytes,110545408.0,ns,6
cost_append,,512,512,bytes,110720739.0,ns,6
cost_append,,512,512,bytes,107738708.0,ns,6
cost_append,,512,512,bytes,108240921.0,ns,6
cost_append,,512,512,bytes,112757814.0,ns,6
cost_append,,512,512,bytes,109063502.0,ns,6
cost_append,,512,512,bytes,108257938.0,ns,6
cost_append,,512,512,bytes,108982696.0,ns,6
cost_append,,512,512,bytes,107987313.0,ns,6
cost_append,,512,512,bytes,109601707.0,ns,6
cost_append,,512,512,bytes,110481100.0,ns,6
cost_append,,512,512,bytes,109787939.0,ns,6
cost_append,,512,512,bytes,112055596.0,ns,6
cost_append,,512,512,bytes,112710812.0,ns,6
cost_append,,512,512,bytes,108228438.0,ns,6
cost_append,,512,512,bytes,108611350.0,ns,6
cost_append,,512,512,bytes,108444162.0,ns,6
cost_append,,512,512,bytes,108510398.0,ns,6
cost_append,,512,512,bytes,108740048.0,ns,6
cost_append,,512,512,bytes,108106804.0,ns,6
cost_append,,512,512,bytes,108717725.0,ns,6
cost_append,,512,512,bytes,108634121.0,ns,6
cost_append,,512,512,bytes,109181091.0,ns,6
cost_append,,512,512,bytes,108299159.0,ns,6
cost_append,,512,512,bytes,108395742.0,ns,6
cost_append,,512,512,bytes,108582692.0,ns,6
cost_append,,512,512,bytes,107789063.0,ns,6
cost_append,,512,512,bytes,108240759.0,ns,6
cost_append,,512,512,bytes,108282771.0,ns,6
cost_append,,512,512,bytes,108567052.0,ns,6
cost_append,,512,512,bytes,108129004.0,ns,6
cost_append,,512,512,bytes,107984566.0,ns,6
cost_append,,512,512,bytes,108133760.0,ns,6
cost_append,,512,512,bytes,108483935.0,ns,6
cost_append,,512,512,bytes,108138110.0,ns,6
cost_append,,512,512,bytes,109655059.0,ns,6
cost_append,,512,512,bytes,108309057.0,ns,6
cost_append,,512,512,bytes,107264856.0,ns,6
cost_append,,512,512,bytes,109833158.0,ns,6
cost_append,,512,512,bytes,108950193.0,ns,6
cost_append,,512,512,bytes,108176779.0,ns,6
cost_append,,512,512,bytes,109000561.0,ns,6
cost_append,,512,512,bytes,108228251.0,ns,6
