group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_arithmetic_only_checker,,189,189,bytes,1999436.0,ns,71
cost_arithmetic_only_checker,,189,189,bytes,4010696.0,ns,142
cost_arithmetic_only_checker,,189,189,bytes,5990103.0,ns,213
cost_arithmetic_only_checker,,189,189,bytes,8006838.0,ns,284
cost_arithmetic_only_checker,,189,189,bytes,9993991.0,ns,355
cost_arithmetic_only_checker,,189,189,bytes,11972814.0,ns,426
cost_arithmetic_only_checker,,189,189,bytes,13981377.0,ns,497
cost_arithmetic_only_checker,,189,189,bytes,15989135.0,ns,568
cost_arithmetic_only_checker,,189,189,bytes,17975704.0,ns,639
cost_arithmetic_only_checker,,189,189,bytes,19939242.0,ns,710
cost_arithmetic_only_checker,,189,189,bytes,21955976.0,ns,781
cost_arithmetic_only_checker,,189,189,bytes,23939396.0,ns,852
cost_arithmetic_only_checker,,189,189,bytes,26004135.0,ns,923
cost_arithmetic_only_checker,,189,189,bytes,27964884.0,ns,994
cost_arithmetic_only_checker,,189,189,bytes,29980799.0,ns,1065
cost_arithmetic_only_checker,,189,189,bytes,31975302.0,ns,1136
cost_arithmetic_only_checker,,189,189,bytes,33973028.0,ns,1207
cost_arithmetic_only_checker,,189,189,bytes,36013698.0,ns,1278
cost_arithmetic_only_checker,,189,189,bytes,38013984.0,ns,1349
cost_arithmetic_only_checker,,189,189,bytes,39973330.0,ns,1420
cost_arithmetic_only_checker,,189,189,bytes,41938819.0,ns,1491
cost_arithmetic_only_checker,,189,189,bytes,43957811.0,ns,1562
cost_arithmetic_only_checker,,189,189,bytes,45974660.0,ns,1633
cost_arithmetic_only_checker,,189,189,bytes,47925970.0,ns,1704
cost_arithmetic_only_checker,,189,189,bytes,50168754.0,ns,1775
cost_arithmetic_only_checker,,189,189,bytes,52037647.0,ns,1846
cost_arithmetic_only_checker,,189,189,bytes,54098402.0,ns,1917
cost_arithmetic_only_checker,,189,189,bytes,55819866.0,ns,1988
cost_arithmetic_only_checker,,189,189,bytes,58022156.0,ns,2059
cost_arithmetic_only_checker,,189,189,bytes,60165160.0,ns,2130
cost_arithmetic_only_checker,,189,189,bytes,61938659.0,ns,2201
cost_arithmetic_only_checker,,189,189,bytes,63904002.0,ns,2272
cost_arithmetic_only_checker,,189,189,bytes,66760687.0,ns,2343
cost_arithmetic_only_checker,,189,189,bytes,68001967.0,ns,2414
cost_arithmetic_only_checker,,189,189,bytes,69906177.0,ns,2485
cost_arithmetic_only_checker,,189,189,bytes,71991654.0,ns,2556
cost_arithmetic_only_checker,,189,189,bytes,73827083.0,ns,2627
cost_arithmetic_only_checker,,189,189,bytes,75893233.0,ns,2698
cost_arithmetic_only_checker,,189,189,bytes,78034894.0,ns,2769
cost_arithmetic_only_checker,,189,189,bytes,79966861.0,ns,2840
cost_arithmetic_only_checker,,189,189,bytes,81997074.0,ns,2911
cost_arithmetic_only_checker,,189,189,bytes,83960630.0,ns,2982
cost_arithmetic_only_checker,,189,189,bytes,86191701.0,ns,3053
cost_arithmetic_only_checker,,189,189,bytes,87947860.0,ns,3124
