group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_arithmetic_only_checker,,189,189,bytes,2014802.0,ns,112
cost_arithmetic_only_checker,,189,189,bytes,3958293.0,ns,224
cost_arithmetic_only_checker,,189,189,bytes,5946056.0,ns,336
cost_arithmetic_only_checker,,189,189,bytes,7886188.0,ns,448
cost_arithmetic_only_checker,,189,189,bytes,9920175.0,ns,560
cost_arithmetic_only_checker,,189,189,bytes,11893630.0,ns,672
cost_arithmetic_only_checker,,189,189,bytes,13833379.0,ns,784
cost_arithmetic_only_checker,,189,189,bytes,15824586.0,ns,896
cost_arithmetic_only_checker,,189,189,bytes,17800925.0,ns,1008
cost_arithmetic_only_checker,,189,189,bytes,19810947.0,ns,1120
cost_arithmetic_only_checker,,189,189,bytes,21749502.0,ns,1232
cost_arithmetic_only_checker,,189,189,bytes,23700492.0,ns,1344
cost_arithmetic_only_checker,,189,189,bytes,25699747.0,ns,1456
cost_arithmetic_only_checker,,189,189,bytes,27707403.0,ns,1568
cost_arithmetic_only_checker,,189,189,bytes,29703882.0,ns,1680
cost_arithmetic_only_checker,,189,189,bytes,31614499.0,ns,1792
cost_arithmetic_only_checker,,189,189,bytes,33596912.0,ns,1904
cost_arithmetic_only_checker,,189,189,bytes,35666129.0,ns,2016
cost_arithmetic_only_checker,,189,189,bytes,37624680.0,ns,2128
cost_arithmetic_only_checker,,189,189,bytes,39633262.0,ns,2240
cost_arithmetic_only_checker,,189,189,bytes,41478351.0,ns,2352
cost_arithmetic_only_checker,,189,189,bytes,43651284.0,ns,2464
cost_arithmetic_only_checker,,189,189,bytes,45826356.0,ns,2576
cost_arithmetic_only_checker,,189,189,bytes,47454996.0,ns,2688
cost_arithmetic_only_checker,,189,189,bytes,49705196.0,ns,2800
cost_arithmetic_only_checker,,189,189,bytes,51473434.0,ns,2912
cost_arithmetic_only_checker,,189,189,bytes,53526682.0,ns,3024
cost_arithmetic_only_checker,,189,189,bytes,55405807.0,ns,3136
cost_arithmetic_only_checker,,189,189,bytes,57337953.0,ns,3248
cost_arithmetic_only_checker,,189,189,bytes,59373749.0,ns,3360
cost_arithmetic_only_checker,,189,189,bytes,61485838.0,ns,3472
cost_arithmetic_only_checker,,189,189,bytes,63342101.0,ns,3584
cost_arithmetic_only_checker,,189,189,bytes,65158862.0,ns,3696
cost_arithmetic_only_checker,,189,189,bytes,67351548.0,ns,3808
cost_arithmetic_only_checker,,189,189,bytes,69224657.0,ns,3920
cost_arithmetic_only_checker,,189,189,bytes,71270473.0,ns,4032
cost_arithmetic_only_checker,,189,189,bytes,73280230.0,ns,4144
cost_arithmetic_only_checker,,189,189,bytes,75328171.0,ns,4256
cost_arithmetic_only_checker,,189,189,bytes,77452517.0,ns,4368
cost_arithmetic_only_checker,,189,189,bytes,79368207.0,ns,4480
cost_arithmetic_only_checker,,189,189,bytes,81299190.0,ns,4592
cost_arithmetic_only_checker,,189,189,bytes,83169460.0,ns,4704
cost_arithmetic_only_checker,,189,189,bytes,85041014.0,ns,4816
cost_arithmetic_only_checker,,189,189,bytes,87250570.0,ns,4928
cost_arithmetic_only_checker,,189,189,bytes,88903006.0,ns,5040
cost_arithmetic_only_checker,,189,189,bytes,90846740.0,ns,5152
cost_arithmetic_only_checker,,189,189,bytes,93209613.0,ns,5264
cost_arithmetic_only_checker,,189,189,bytes,95321711.0,ns,5376
cost_arithmetic_only_checker,,189,189,bytes,97289276.0,ns,5488
cost_arithmetic_only_checker,,189,189,bytes,99132222.0,ns,5600
cost_arithmetic_only_checker,,189,189,bytes,101174387.0,ns,5712
cost_arithmetic_only_checker,,189,189,bytes,103666239.0,ns,5824
cost_arithmetic_only_checker,,189,189,bytes,105409915.0,ns,5936
cost_arithmetic_only_checker,,189,189,bytes,106903416.0,ns,6048
cost_arithmetic_only_checker,,189,189,bytes,109080163.0,ns,6160
cost_arithmetic_only_checker,,189,189,bytes,110867612.0,ns,6272
cost_arithmetic_only_checker,,189,189,bytes,112767717.0,ns,6384
cost_arithmetic_only_checker,,189,189,bytes,114745949.0,ns,6496
cost_arithmetic_only_checker,,189,189,bytes,117132866.0,ns,6608
cost_arithmetic_only_checker,,189,189,bytes,119042480.0,ns,6720
cost_arithmetic_only_checker,,189,189,bytes,120807528.0,ns,6832
cost_arithmetic_only_checker,,189,189,bytes,122670814.0,ns,6944
cost_arithmetic_only_checker,,189,189,bytes,124858038.0,ns,7056
cost_arithmetic_only_checker,,189,189,bytes,126859765.0,ns,7168
cost_arithmetic_only_checker,,189,189,bytes,128683685.0,ns,7280
cost_arithmetic_only_checker,,189,189,bytes,130510078.0,ns,7392
cost_arithmetic_only_checker,,189,189,bytes,132620979.0,ns,7504
cost_arithmetic_only_checker,,189,189,bytes,134861083.0,ns,7616
cost_arithmetic_only_checker,,189,189,bytes,136720557.0,ns,7728
cost_arithmetic_only_checker,,189,189,bytes,138453763.0,ns,7840
cost_arithmetic_only_checker,,189,189,bytes,140420158.0,ns,7952
cost_arithmetic_only_checker,,189,189,bytes,142472863.0,ns,8064
cost_arithmetic_only_checker,,189,189,bytes,145513334.0,ns,8176
cost_arithmetic_only_checker,,189,189,bytes,146570843.0,ns,8288
cost_arithmetic_only_checker,,189,189,bytes,148754752.0,ns,8400
cost_arithmetic_only_checker,,189,189,bytes,150493850.0,ns,8512
cost_arithmetic_only_checker,,189,189,bytes,152628809.0,ns,8624
cost_arithmetic_only_checker,,189,189,bytes,154710034.0,ns,8736
cost_arithmetic_only_checker,,189,189,bytes,156571485.0,ns,8848
cost_arithmetic_only_checker,,189,189,bytes,158366405.0,ns,8960
cost_arithmetic_only_checker,,189,189,bytes,160440015.0,ns,9072
cost_arithmetic_only_checker,,189,189,bytes,162286014.0,ns,9184
cost_arithmetic_only_checker,,189,189,bytes,164315711.0,ns,9296
cost_arithmetic_only_checker,,189,189,bytes,166277544.0,ns,9408
cost_arithmetic_only_checker,,189,189,bytes,168250814.0,ns,9520
cost_arithmetic_only_checker,,189,189,bytes,170240838.0,ns,9632
cost_arithmetic_only_checker,,189,189,bytes,172139024.0,ns,9744
cost_arithmetic_only_checker,,189,189,bytes,174727239.0,ns,9856
cost_arithmetic_only_checker,,189,189,bytes,178089903.0,ns,9968
cost_arithmetic_only_checker,,189,189,bytes,177652099.0,ns,10080
cost_arithmetic_only_checker,,189,189,bytes,179797207.0,ns,10192
cost_arithmetic_only_checker,,189,189,bytes,182456534.0,ns,10304
cost_arithmetic_only_checker,,189,189,bytes,184143162.0,ns,10416
cost_arithmetic_only_checker,,189,189,bytes,186289418.0,ns,10528
cost_arithmetic_only_checker,,189,189,bytes,188747901.0,ns,10640
cost_arithmetic_only_checker,,189,189,bytes,189994987.0,ns,10752
cost_arithmetic_only_checker,,189,189,bytes,191952133.0,ns,10864
cost_arithmetic_only_checker,,189,189,bytes,193853724.0,ns,10976
cost_arithmetic_only_checker,,189,189,bytes,195878138.0,ns,11088
cost_arithmetic_only_checker,,189,189,bytes,198094566.0,ns,11200
