group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_as_contract,,1,1,bytes,2014159.0,ns,52
cost_as_contract,,1,1,bytes,3981872.0,ns,104
cost_as_contract,,1,1,bytes,5967776.0,ns,156
cost_as_contract,,1,1,bytes,7977631.0,ns,208
cost_as_contract,,1,1,bytes,9967733.0,ns,260
cost_as_contract,,1,1,bytes,11962619.0,ns,312
cost_as_contract,,1,1,bytes,13935358.0,ns,364
cost_as_contract,,1,1,bytes,15927245.0,ns,416
cost_as_contract,,1,1,bytes,17928472.0,ns,468
cost_as_contract,,1,1,bytes,19909881.0,ns,520
cost_as_contract,,1,1,bytes,22030303.0,ns,572
cost_as_contract,,1,1,bytes,23907025.0,ns,624
cost_as_contract,,1,1,bytes,25962547.0,ns,676
cost_as_contract,,1,1,bytes,27899161.0,ns,728
cost_as_contract,,1,1,bytes,29869944.0,ns,780
cost_as_contract,,1,1,bytes,31855852.0,ns,832
cost_as_contract,,1,1,bytes,34015250.0,ns,884
cost_as_contract,,1,1,bytes,36350448.0,ns,936
cost_as_contract,,1,1,bytes,38151303.0,ns,988
cost_as_contract,,1,1,bytes,39873915.0,ns,1040
cost_as_contract,,1,1,bytes,41874323.0,ns,1092
cost_as_contract,,1,1,bytes,43800620.0,ns,1144
cost_as_contract,,1,1,bytes,46059180.0,ns,1196
cost_as_contract,,1,1,bytes,47930402.0,ns,1248
cost_as_contract,,1,1,bytes,49783189.0,ns,1300
cost_as_contract,,1,1,bytes,51755514.0,ns,1352
cost_as_contract,,1,1,bytes,53750213.0,ns,1404
cost_as_contract,,1,1,bytes,55854708.0,ns,1456
cost_as_contract,,1,1,bytes,57774104.0,ns,1508
cost_as_contract,,1,1,bytes,59754693.0,ns,1560
cost_as_contract,,1,1,bytes,61801192.0,ns,1612
cost_as_contract,,1,1,bytes,63752977.0,ns,1664
cost_as_contract,,1,1,bytes,65706568.0,ns,1716
cost_as_contract,,1,1,bytes,67719473.0,ns,1768
cost_as_contract,,1,1,bytes,69697969.0,ns,1820
cost_as_contract,,1,1,bytes,71995591.0,ns,1872
cost_as_contract,,1,1,bytes,73955806.0,ns,1924
