group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_as_contract,,1,1,bytes,2014846.0,ns,53
cost_as_contract,,1,1,bytes,4037321.0,ns,106
cost_as_contract,,1,1,bytes,6062811.0,ns,159
cost_as_contract,,1,1,bytes,8077895.0,ns,212
cost_as_contract,,1,1,bytes,10099177.0,ns,265
cost_as_contract,,1,1,bytes,12121972.0,ns,318
cost_as_contract,,1,1,bytes,14124507.0,ns,371
cost_as_contract,,1,1,bytes,16137446.0,ns,424
cost_as_contract,,1,1,bytes,18177853.0,ns,477
cost_as_contract,,1,1,bytes,20184553.0,ns,530
cost_as_contract,,1,1,bytes,22216093.0,ns,583
cost_as_contract,,1,1,bytes,24223804.0,ns,636
cost_as_contract,,1,1,bytes,26225938.0,ns,689
cost_as_contract,,1,1,bytes,28244012.0,ns,742
cost_as_contract,,1,1,bytes,30281074.0,ns,795
cost_as_contract,,1,1,bytes,32289287.0,ns,848
cost_as_contract,,1,1,bytes,34305787.0,ns,901
cost_as_contract,,1,1,bytes,36334344.0,ns,954
cost_as_contract,,1,1,bytes,38351972.0,ns,1007
cost_as_contract,,1,1,bytes,40403519.0,ns,1060
cost_as_contract,,1,1,bytes,42411903.0,ns,1113
cost_as_contract,,1,1,bytes,44406353.0,ns,1166
cost_as_contract,,1,1,bytes,46425491.0,ns,1219
cost_as_contract,,1,1,bytes,48430100.0,ns,1272
cost_as_contract,,1,1,bytes,50461632.0,ns,1325
cost_as_contract,,1,1,bytes,52470813.0,ns,1378
cost_as_contract,,1,1,bytes,54507565.0,ns,1431
cost_as_contract,,1,1,bytes,56515374.0,ns,1484
cost_as_contract,,1,1,bytes,58557706.0,ns,1537
cost_as_contract,,1,1,bytes,60665577.0,ns,1590
cost_as_contract,,1,1,bytes,62731585.0,ns,1643
cost_as_contract,,1,1,bytes,64615687.0,ns,1696
cost_as_contract,,1,1,bytes,66605094.0,ns,1749
cost_as_contract,,1,1,bytes,68632381.0,ns,1802
cost_as_contract,,1,1,bytes,70638102.0,ns,1855
cost_as_contract,,1,1,bytes,72664070.0,ns,1908
cost_as_contract,,1,1,bytes,74726294.0,ns,1961
cost_as_contract,,1,1,bytes,76708659.0,ns,2014
cost_as_contract,,1,1,bytes,78749111.0,ns,2067
cost_as_contract,,1,1,bytes,80737163.0,ns,2120
cost_as_contract,,1,1,bytes,82752620.0,ns,2173
cost_as_contract,,1,1,bytes,84786589.0,ns,2226
cost_as_contract,,1,1,bytes,87101475.0,ns,2279
cost_as_contract,,1,1,bytes,89816758.0,ns,2332
cost_as_contract,,1,1,bytes,90869543.0,ns,2385
cost_as_contract,,1,1,bytes,92852230.0,ns,2438
cost_as_contract,,1,1,bytes,94851364.0,ns,2491
cost_as_contract,,1,1,bytes,96891636.0,ns,2544
