group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_as_max_len,,1,1,bytes,2082652.0,ns,17
cost_as_max_len,,1,1,bytes,4040233.0,ns,34
cost_as_max_len,,1,1,bytes,6042885.0,ns,51
cost_as_max_len,,1,1,bytes,8060530.0,ns,68
cost_as_max_len,,1,1,bytes,10077323.0,ns,85
cost_as_max_len,,1,1,bytes,12092867.0,ns,102
cost_as_max_len,,1,1,bytes,14099644.0,ns,119
cost_as_max_len,,1,1,bytes,16125021.0,ns,136
cost_as_max_len,,1,1,bytes,18146563.0,ns,153
cost_as_max_len,,1,1,bytes,20149182.0,ns,170
cost_as_max_len,,1,1,bytes,22170161.0,ns,187
cost_as_max_len,,1,1,bytes,24184659.0,ns,204
cost_as_max_len,,1,1,bytes,26195067.0,ns,221
cost_as_max_len,,1,1,bytes,28214901.0,ns,238
cost_as_max_len,,1,1,bytes,30231146.0,ns,255
cost_as_max_len,,1,1,bytes,32264388.0,ns,272
cost_as_max_len,,1,1,bytes,34333173.0,ns,289
cost_as_max_len,,1,1,bytes,36287096.0,ns,306
cost_as_max_len,,1,1,bytes,38282717.0,ns,323
cost_as_max_len,,1,1,bytes,40290837.0,ns,340
cost_as_max_len,,1,1,bytes,42346560.0,ns,357
cost_as_max_len,,1,1,bytes,44361018.0,ns,374
cost_as_max_len,,1,1,bytes,46352927.0,ns,391
cost_as_max_len,,1,1,bytes,49434085.0,ns,408
cost_as_max_len,,1,1,bytes,50386057.0,ns,425
cost_as_max_len,,1,1,bytes,52410479.0,ns,442
cost_as_max_len,,1,1,bytes,54462984.0,ns,459
cost_as_max_len,,1,1,bytes,56424512.0,ns,476
cost_as_max_len,,1,1,bytes,58445037.0,ns,493
cost_as_max_len,,1,1,bytes,60456272.0,ns,510
cost_as_max_len,,1,1,bytes,62494656.0,ns,527
cost_as_max_len,,1,1,bytes,64519388.0,ns,544
cost_as_max_len,,1,1,bytes,66525418.0,ns,561
cost_as_max_len,,1,1,bytes,68557015.0,ns,578
cost_as_max_len,,1,1,bytes,70630725.0,ns,595
cost_as_max_len,,1,1,bytes,72573942.0,ns,612
cost_as_max_len,,1,1,bytes,74538269.0,ns,629
cost_as_max_len,,1,1,bytes,76628804.0,ns,646
cost_as_max_len,,1,1,bytes,78601475.0,ns,663
cost_as_max_len,,1,1,bytes,80607491.0,ns,680
cost_as_max_len,,1,1,bytes,82624840.0,ns,697
cost_as_max_len,,1,1,bytes,85274301.0,ns,714
cost_as_max_len,,1,1,bytes,86629214.0,ns,731
cost_as_max_len,,1,1,bytes,88661381.0,ns,748
cost_as_max_len,,1,1,bytes,90685783.0,ns,765
cost_as_max_len,,1,1,bytes,92743429.0,ns,782
cost_as_max_len,,1,1,bytes,95155964.0,ns,799
cost_as_max_len,,1,1,bytes,97334363.0,ns,816
