group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_as_max_len,,1,1,bytes,2402871.0,ns,10
cost_as_max_len,,1,1,bytes,4264355.0,ns,20
cost_as_max_len,,1,1,bytes,6395639.0,ns,30
cost_as_max_len,,1,1,bytes,8548210.0,ns,40
cost_as_max_len,,1,1,bytes,10659777.0,ns,50
cost_as_max_len,,1,1,bytes,12793897.0,ns,60
cost_as_max_len,,1,1,bytes,14948542.0,ns,70
cost_as_max_len,,1,1,bytes,17093203.0,ns,80
cost_as_max_len,,1,1,bytes,19351131.0,ns,90
cost_as_max_len,,1,1,bytes,21393272.0,ns,100
cost_as_max_len,,1,1,bytes,23468287.0,ns,110
cost_as_max_len,,1,1,bytes,25681283.0,ns,120
cost_as_max_len,,1,1,bytes,27770227.0,ns,130
cost_as_max_len,,1,1,bytes,29882577.0,ns,140
cost_as_max_len,,1,1,bytes,32033037.0,ns,150
cost_as_max_len,,1,1,bytes,34147665.0,ns,160
cost_as_max_len,,1,1,bytes,36474816.0,ns,170
cost_as_max_len,,1,1,bytes,38496277.0,ns,180
cost_as_max_len,,1,1,bytes,40564726.0,ns,190
cost_as_max_len,,1,1,bytes,42749207.0,ns,200
cost_as_max_len,,1,1,bytes,45076340.0,ns,210
cost_as_max_len,,1,1,bytes,46943422.0,ns,220
cost_as_max_len,,1,1,bytes,49094725.0,ns,230
cost_as_max_len,,1,1,bytes,51555154.0,ns,240
cost_as_max_len,,1,1,bytes,53389299.0,ns,250
cost_as_max_len,,1,1,bytes,55467318.0,ns,260
cost_as_max_len,,1,1,bytes,57992019.0,ns,270
cost_as_max_len,,1,1,bytes,59850700.0,ns,280
cost_as_max_len,,1,1,bytes,61842515.0,ns,290
cost_as_max_len,,1,1,bytes,63999740.0,ns,300
cost_as_max_len,,1,1,bytes,66125991.0,ns,310
cost_as_max_len,,1,1,bytes,68326282.0,ns,320
cost_as_max_len,,1,1,bytes,70522632.0,ns,330
cost_as_max_len,,1,1,bytes,72512510.0,ns,340
cost_as_max_len,,1,1,bytes,74789080.0,ns,350
cost_as_max_len,,1,1,bytes,76715456.0,ns,360
cost_as_max_len,,1,1,bytes,78731965.0,ns,370
cost_as_max_len,,1,1,bytes,82043694.0,ns,380
cost_as_max_len,,1,1,bytes,84421147.0,ns,390
cost_as_max_len,,1,1,bytes,85741772.0,ns,400
cost_as_max_len,,1,1,bytes,87597668.0,ns,410
cost_as_max_len,,1,1,bytes,89600038.0,ns,420
cost_as_max_len,,1,1,bytes,92402375.0,ns,430
cost_as_max_len,,1,1,bytes,93692059.0,ns,440
cost_as_max_len,,1,1,bytes,96082674.0,ns,450
cost_as_max_len,,1,1,bytes,98148116.0,ns,460
cost_as_max_len,,1,1,bytes,100916462.0,ns,470
cost_as_max_len,,1,1,bytes,102478866.0,ns,480
cost_as_max_len,,1,1,bytes,106690646.0,ns,490
cost_as_max_len,,1,1,bytes,107709608.0,ns,500
cost_as_max_len,,1,1,bytes,108850508.0,ns,510
cost_as_max_len,,1,1,bytes,110908288.0,ns,520
cost_as_max_len,,1,1,bytes,112938235.0,ns,530
cost_as_max_len,,1,1,bytes,115906336.0,ns,540
cost_as_max_len,,1,1,bytes,117223711.0,ns,550
cost_as_max_len,,1,1,bytes,120211676.0,ns,560
cost_as_max_len,,1,1,bytes,121678042.0,ns,570
cost_as_max_len,,1,1,bytes,124629763.0,ns,580
cost_as_max_len,,1,1,bytes,125971551.0,ns,590
cost_as_max_len,,1,1,bytes,127965033.0,ns,600
cost_as_max_len,,1,1,bytes,130030463.0,ns,610
cost_as_max_len,,1,1,bytes,132123304.0,ns,620
cost_as_max_len,,1,1,bytes,134207995.0,ns,630
cost_as_max_len,,1,1,bytes,137599560.0,ns,640
cost_as_max_len,,1,1,bytes,140822648.0,ns,650
cost_as_max_len,,1,1,bytes,142331436.0,ns,660
cost_as_max_len,,1,1,bytes,143056558.0,ns,670
cost_as_max_len,,1,1,bytes,145219829.0,ns,680
cost_as_max_len,,1,1,bytes,147261587.0,ns,690
cost_as_max_len,,1,1,bytes,149332072.0,ns,700
cost_as_max_len,,1,1,bytes,151293535.0,ns,710
