group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_asserts,,1,1,bytes,2137849.0,ns,39
cost_asserts,,1,1,bytes,4051823.0,ns,78
cost_asserts,,1,1,bytes,6066977.0,ns,117
cost_asserts,,1,1,bytes,8087570.0,ns,156
cost_asserts,,1,1,bytes,10180524.0,ns,195
cost_asserts,,1,1,bytes,12302560.0,ns,234
cost_asserts,,1,1,bytes,14184117.0,ns,273
cost_asserts,,1,1,bytes,16204599.0,ns,312
cost_asserts,,1,1,bytes,18165606.0,ns,351
cost_asserts,,1,1,bytes,20445592.0,ns,390
cost_asserts,,1,1,bytes,22229288.0,ns,429
cost_asserts,,1,1,bytes,24206755.0,ns,468
cost_asserts,,1,1,bytes,26254192.0,ns,507
cost_asserts,,1,1,bytes,28678966.0,ns,546
cost_asserts,,1,1,bytes,30320044.0,ns,585
cost_asserts,,1,1,bytes,32310650.0,ns,624
cost_asserts,,1,1,bytes,34318049.0,ns,663
cost_asserts,,1,1,bytes,36342404.0,ns,702
cost_asserts,,1,1,bytes,38413088.0,ns,741
cost_asserts,,1,1,bytes,40365467.0,ns,780
cost_asserts,,1,1,bytes,42383338.0,ns,819
cost_asserts,,1,1,bytes,44420913.0,ns,858
cost_asserts,,1,1,bytes,46448660.0,ns,897
cost_asserts,,1,1,bytes,48593624.0,ns,936
cost_asserts,,1,1,bytes,50467408.0,ns,975
cost_asserts,,1,1,bytes,52466457.0,ns,1014
cost_asserts,,1,1,bytes,54498872.0,ns,1053
cost_asserts,,1,1,bytes,56484933.0,ns,1092
cost_asserts,,1,1,bytes,58539465.0,ns,1131
cost_asserts,,1,1,bytes,60519404.0,ns,1170
cost_asserts,,1,1,bytes,62538387.0,ns,1209
cost_asserts,,1,1,bytes,64532616.0,ns,1248
cost_asserts,,1,1,bytes,66649596.0,ns,1287
cost_asserts,,1,1,bytes,68584622.0,ns,1326
cost_asserts,,1,1,bytes,70978913.0,ns,1365
cost_asserts,,1,1,bytes,73037460.0,ns,1404
cost_asserts,,1,1,bytes,74655246.0,ns,1443
cost_asserts,,1,1,bytes,76658235.0,ns,1482
cost_asserts,,1,1,bytes,78736116.0,ns,1521
cost_asserts,,1,1,bytes,80748557.0,ns,1560
cost_asserts,,1,1,bytes,82948443.0,ns,1599
cost_asserts,,1,1,bytes,84757979.0,ns,1638
cost_asserts,,1,1,bytes,86756929.0,ns,1677
cost_asserts,,1,1,bytes,88785348.0,ns,1716
cost_asserts,,1,1,bytes,91072210.0,ns,1755
cost_asserts,,1,1,bytes,93214597.0,ns,1794
cost_asserts,,1,1,bytes,95211264.0,ns,1833
cost_asserts,,1,1,bytes,97372004.0,ns,1872
cost_asserts,,1,1,bytes,99492386.0,ns,1911
cost_asserts,,1,1,bytes,102249066.0,ns,1950
cost_asserts,,1,1,bytes,103151466.0,ns,1989
cost_asserts,,1,1,bytes,104983782.0,ns,2028
cost_asserts,,1,1,bytes,107099136.0,ns,2067
cost_asserts,,1,1,bytes,109133718.0,ns,2106
cost_asserts,,1,1,bytes,111065957.0,ns,2145
cost_asserts,,1,1,bytes,113253140.0,ns,2184
cost_asserts,,1,1,bytes,115498429.0,ns,2223
cost_asserts,,1,1,bytes,117090707.0,ns,2262
cost_asserts,,1,1,bytes,119191100.0,ns,2301
cost_asserts,,1,1,bytes,121327540.0,ns,2340
cost_asserts,,1,1,bytes,123082235.0,ns,2379
cost_asserts,,1,1,bytes,125069461.0,ns,2418
cost_asserts,,1,1,bytes,127356313.0,ns,2457
cost_asserts,,1,1,bytes,129175558.0,ns,2496
cost_asserts,,1,1,bytes,131167642.0,ns,2535
cost_asserts,,1,1,bytes,133240042.0,ns,2574
cost_asserts,,1,1,bytes,135227560.0,ns,2613
cost_asserts,,1,1,bytes,137184123.0,ns,2652
cost_asserts,,1,1,bytes,139256630.0,ns,2691
cost_asserts,,1,1,bytes,142453382.0,ns,2730
cost_asserts,,1,1,bytes,143445325.0,ns,2769
cost_asserts,,1,1,bytes,145333219.0,ns,2808
cost_asserts,,1,1,bytes,147251584.0,ns,2847
cost_asserts,,1,1,bytes,149340931.0,ns,2886
cost_asserts,,1,1,bytes,151251830.0,ns,2925
cost_asserts,,1,1,bytes,153261893.0,ns,2964
cost_asserts,,1,1,bytes,155341273.0,ns,3003
cost_asserts,,1,1,bytes,157326571.0,ns,3042
cost_asserts,,1,1,bytes,159326305.0,ns,3081
cost_asserts,,1,1,bytes,162165632.0,ns,3120
cost_asserts,,1,1,bytes,163929170.0,ns,3159
cost_asserts,,1,1,bytes,165584926.0,ns,3198
cost_asserts,,1,1,bytes,167506999.0,ns,3237
cost_asserts,,1,1,bytes,169812918.0,ns,3276
cost_asserts,,1,1,bytes,171566130.0,ns,3315
cost_asserts,,1,1,bytes,173997370.0,ns,3354
cost_asserts,,1,1,bytes,175454696.0,ns,3393
cost_asserts,,1,1,bytes,177481865.0,ns,3432
cost_asserts,,1,1,bytes,180048026.0,ns,3471
cost_asserts,,1,1,bytes,181665098.0,ns,3510
cost_asserts,,1,1,bytes,183805966.0,ns,3549
cost_asserts,,1,1,bytes,186086145.0,ns,3588
cost_asserts,,1,1,bytes,187622136.0,ns,3627
cost_asserts,,1,1,bytes,193531539.0,ns,3666
cost_asserts,,1,1,bytes,192887207.0,ns,3705
cost_asserts,,1,1,bytes,193822956.0,ns,3744
cost_asserts,,1,1,bytes,196055081.0,ns,3783
cost_asserts,,1,1,bytes,197852175.0,ns,3822
cost_asserts,,1,1,bytes,199811253.0,ns,3861
cost_asserts,,1,1,bytes,203278719.0,ns,3900
