group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_asserts,,1,1,bytes,2025562.0,ns,55
cost_asserts,,1,1,bytes,3988077.0,ns,110
cost_asserts,,1,1,bytes,5970231.0,ns,165
cost_asserts,,1,1,bytes,7953632.0,ns,220
cost_asserts,,1,1,bytes,10077876.0,ns,275
cost_asserts,,1,1,bytes,12048998.0,ns,330
cost_asserts,,1,1,bytes,14004632.0,ns,385
cost_asserts,,1,1,bytes,15973271.0,ns,440
cost_asserts,,1,1,bytes,18124653.0,ns,495
cost_asserts,,1,1,bytes,20046877.0,ns,550
cost_asserts,,1,1,bytes,21903556.0,ns,605
cost_asserts,,1,1,bytes,23908544.0,ns,660
cost_asserts,,1,1,bytes,25877548.0,ns,715
cost_asserts,,1,1,bytes,28030691.0,ns,770
cost_asserts,,1,1,bytes,29945758.0,ns,825
cost_asserts,,1,1,bytes,31832171.0,ns,880
cost_asserts,,1,1,bytes,33810963.0,ns,935
cost_asserts,,1,1,bytes,35883725.0,ns,990
cost_asserts,,1,1,bytes,37800359.0,ns,1045
cost_asserts,,1,1,bytes,39782682.0,ns,1100
cost_asserts,,1,1,bytes,41839674.0,ns,1155
cost_asserts,,1,1,bytes,43766144.0,ns,1210
cost_asserts,,1,1,bytes,45726972.0,ns,1265
cost_asserts,,1,1,bytes,47736062.0,ns,1320
cost_asserts,,1,1,bytes,49783243.0,ns,1375
cost_asserts,,1,1,bytes,51826247.0,ns,1430
cost_asserts,,1,1,bytes,53738478.0,ns,1485
cost_asserts,,1,1,bytes,55677551.0,ns,1540
cost_asserts,,1,1,bytes,57728482.0,ns,1595
cost_asserts,,1,1,bytes,59666542.0,ns,1650
cost_asserts,,1,1,bytes,61637964.0,ns,1705
cost_asserts,,1,1,bytes,64597108.0,ns,1760
cost_asserts,,1,1,bytes,65768270.0,ns,1815
cost_asserts,,1,1,bytes,67715369.0,ns,1870
cost_asserts,,1,1,bytes,69732743.0,ns,1925
cost_asserts,,1,1,bytes,71703197.0,ns,1980
cost_asserts,,1,1,bytes,73616591.0,ns,2035
cost_asserts,,1,1,bytes,75623102.0,ns,2090
cost_asserts,,1,1,bytes,77580930.0,ns,2145
cost_asserts,,1,1,bytes,79535639.0,ns,2200
cost_asserts,,1,1,bytes,81583783.0,ns,2255
cost_asserts,,1,1,bytes,83606419.0,ns,2310
cost_asserts,,1,1,bytes,85599240.0,ns,2365
cost_asserts,,1,1,bytes,87513616.0,ns,2420
cost_asserts,,1,1,bytes,89525154.0,ns,2475
cost_asserts,,1,1,bytes,91511939.0,ns,2530
cost_asserts,,1,1,bytes,93451434.0,ns,2585
cost_asserts,,1,1,bytes,95614615.0,ns,2640
cost_asserts,,1,1,bytes,97462081.0,ns,2695
cost_asserts,,1,1,bytes,99492176.0,ns,2750
cost_asserts,,1,1,bytes,101417598.0,ns,2805
cost_asserts,,1,1,bytes,103469928.0,ns,2860
cost_asserts,,1,1,bytes,105388057.0,ns,2915
cost_asserts,,1,1,bytes,107475883.0,ns,2970
cost_asserts,,1,1,bytes,109560846.0,ns,3025
cost_asserts,,1,1,bytes,111457369.0,ns,3080
cost_asserts,,1,1,bytes,113557720.0,ns,3135
cost_asserts,,1,1,bytes,116179378.0,ns,3190
cost_asserts,,1,1,bytes,117757660.0,ns,3245
cost_asserts,,1,1,bytes,119290227.0,ns,3300
cost_asserts,,1,1,bytes,121525842.0,ns,3355
cost_asserts,,1,1,bytes,123332513.0,ns,3410
cost_asserts,,1,1,bytes,125269051.0,ns,3465
cost_asserts,,1,1,bytes,127369861.0,ns,3520
cost_asserts,,1,1,bytes,129280318.0,ns,3575
cost_asserts,,1,1,bytes,131424460.0,ns,3630
cost_asserts,,1,1,bytes,133585048.0,ns,3685
cost_asserts,,1,1,bytes,135635630.0,ns,3740
cost_asserts,,1,1,bytes,137441762.0,ns,3795
cost_asserts,,1,1,bytes,139202486.0,ns,3850
cost_asserts,,1,1,bytes,141654637.0,ns,3905
cost_asserts,,1,1,bytes,143416187.0,ns,3960
cost_asserts,,1,1,bytes,145257451.0,ns,4015
cost_asserts,,1,1,bytes,147252188.0,ns,4070
cost_asserts,,1,1,bytes,149151902.0,ns,4125
cost_asserts,,1,1,bytes,151281284.0,ns,4180
cost_asserts,,1,1,bytes,153203973.0,ns,4235
cost_asserts,,1,1,bytes,156204893.0,ns,4290
cost_asserts,,1,1,bytes,157173501.0,ns,4345
cost_asserts,,1,1,bytes,159243048.0,ns,4400
cost_asserts,,1,1,bytes,161210978.0,ns,4455
cost_asserts,,1,1,bytes,163317055.0,ns,4510
cost_asserts,,1,1,bytes,165216771.0,ns,4565
cost_asserts,,1,1,bytes,167557418.0,ns,4620
cost_asserts,,1,1,bytes,169711886.0,ns,4675
cost_asserts,,1,1,bytes,171033043.0,ns,4730
cost_asserts,,1,1,bytes,173104107.0,ns,4785
cost_asserts,,1,1,bytes,175115483.0,ns,4840
cost_asserts,,1,1,bytes,177066388.0,ns,4895
cost_asserts,,1,1,bytes,179677807.0,ns,4950
cost_asserts,,1,1,bytes,181679175.0,ns,5005
cost_asserts,,1,1,bytes,183335768.0,ns,5060
cost_asserts,,1,1,bytes,185043406.0,ns,5115
cost_asserts,,1,1,bytes,186996781.0,ns,5170
cost_asserts,,1,1,bytes,189311865.0,ns,5225
cost_asserts,,1,1,bytes,190921226.0,ns,5280
cost_asserts,,1,1,bytes,192841227.0,ns,5335
cost_asserts,,1,1,bytes,195556432.0,ns,5390
cost_asserts,,1,1,bytes,197013624.0,ns,5445
cost_asserts,,1,1,bytes,198984788.0,ns,5500
