group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ast_cycle_detection,,128,128,bytes,55179133.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55167494.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55264961.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55176115.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55140603.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55193761.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55123869.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55130392.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55216130.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55133576.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55175710.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55154328.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55125953.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55111477.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55113928.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55132747.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55096793.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55125308.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55120389.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55110253.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55126842.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55089411.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55646350.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55343570.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55173374.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55500105.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55139352.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55229277.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55192579.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55137339.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55109210.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55222578.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55176435.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55113999.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55090891.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55079503.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55161875.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55139992.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55104359.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55169183.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55137828.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55785758.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55596579.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55206581.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55136560.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55178816.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55287486.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55178978.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55165993.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55160901.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55174382.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,56046754.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55484459.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55269872.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55169615.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55345931.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55266544.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55690389.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55554045.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55705636.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,56120320.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,57208931.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,56230360.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,56862258.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,56197691.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55447891.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55768279.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55688123.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55270089.0,ns,5
cost_ast_cycle_detection,,128,128,bytes,55453221.0,ns,5
