group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ast_parse,,16,16,bytes,2037374.0,ns,10
cost_ast_parse,,16,16,bytes,4090027.0,ns,20
cost_ast_parse,,16,16,bytes,6180530.0,ns,30
cost_ast_parse,,16,16,bytes,8138363.0,ns,40
cost_ast_parse,,16,16,bytes,10197847.0,ns,50
cost_ast_parse,,16,16,bytes,12255493.0,ns,60
cost_ast_parse,,16,16,bytes,14323128.0,ns,70
cost_ast_parse,,16,16,bytes,16387667.0,ns,80
cost_ast_parse,,16,16,bytes,18472942.0,ns,90
cost_ast_parse,,16,16,bytes,20433297.0,ns,100
cost_ast_parse,,16,16,bytes,22480532.0,ns,110
cost_ast_parse,,16,16,bytes,24548656.0,ns,120
cost_ast_parse,,16,16,bytes,26591751.0,ns,130
cost_ast_parse,,16,16,bytes,28730741.0,ns,140
cost_ast_parse,,16,16,bytes,30746631.0,ns,150
cost_ast_parse,,16,16,bytes,32770278.0,ns,160
cost_ast_parse,,16,16,bytes,34807960.0,ns,170
cost_ast_parse,,16,16,bytes,36761238.0,ns,180
cost_ast_parse,,16,16,bytes,38865657.0,ns,190
cost_ast_parse,,16,16,bytes,41406194.0,ns,200
cost_ast_parse,,16,16,bytes,43214560.0,ns,210
cost_ast_parse,,16,16,bytes,45356372.0,ns,220
cost_ast_parse,,16,16,bytes,47200385.0,ns,230
cost_ast_parse,,16,16,bytes,49252572.0,ns,240
cost_ast_parse,,16,16,bytes,50960868.0,ns,250
cost_ast_parse,,16,16,bytes,53392894.0,ns,260
cost_ast_parse,,16,16,bytes,55678054.0,ns,270
cost_ast_parse,,16,16,bytes,57589170.0,ns,280
cost_ast_parse,,16,16,bytes,59751344.0,ns,290
cost_ast_parse,,16,16,bytes,62178291.0,ns,300
cost_ast_parse,,16,16,bytes,64038904.0,ns,310
cost_ast_parse,,16,16,bytes,65925024.0,ns,320
cost_ast_parse,,16,16,bytes,68011425.0,ns,330
cost_ast_parse,,16,16,bytes,70409797.0,ns,340
cost_ast_parse,,16,16,bytes,72140335.0,ns,350
cost_ast_parse,,16,16,bytes,74409082.0,ns,360
cost_ast_parse,,16,16,bytes,76513102.0,ns,370
cost_ast_parse,,16,16,bytes,78601227.0,ns,380
cost_ast_parse,,16,16,bytes,80123051.0,ns,390
cost_ast_parse,,16,16,bytes,82636829.0,ns,400
cost_ast_parse,,16,16,bytes,84153385.0,ns,410
cost_ast_parse,,16,16,bytes,85782825.0,ns,420
cost_ast_parse,,16,16,bytes,88232670.0,ns,430
cost_ast_parse,,16,16,bytes,89955613.0,ns,440
cost_ast_parse,,16,16,bytes,92441171.0,ns,450
cost_ast_parse,,16,16,bytes,94863214.0,ns,460
cost_ast_parse,,16,16,bytes,96062621.0,ns,470
cost_ast_parse,,16,16,bytes,98224242.0,ns,480
cost_ast_parse,,16,16,bytes,100403412.0,ns,490
cost_ast_parse,,16,16,bytes,103218062.0,ns,500
cost_ast_parse,,16,16,bytes,104006494.0,ns,510
cost_ast_parse,,16,16,bytes,106057460.0,ns,520
cost_ast_parse,,16,16,bytes,107886432.0,ns,530
cost_ast_parse,,16,16,bytes,109917015.0,ns,540
cost_ast_parse,,16,16,bytes,111977977.0,ns,550
cost_ast_parse,,16,16,bytes,113995544.0,ns,560
cost_ast_parse,,16,16,bytes,116044051.0,ns,570
cost_ast_parse,,16,16,bytes,118098962.0,ns,580
