group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ast_parse,,2,2,bytes,2040888.0,ns,28
cost_ast_parse,,2,2,bytes,4064048.0,ns,56
cost_ast_parse,,2,2,bytes,6101630.0,ns,84
cost_ast_parse,,2,2,bytes,8149445.0,ns,112
cost_ast_parse,,2,2,bytes,10163162.0,ns,140
cost_ast_parse,,2,2,bytes,12215784.0,ns,168
cost_ast_parse,,2,2,bytes,14218599.0,ns,196
cost_ast_parse,,2,2,bytes,16278744.0,ns,224
cost_ast_parse,,2,2,bytes,18455798.0,ns,252
cost_ast_parse,,2,2,bytes,20331610.0,ns,280
cost_ast_parse,,2,2,bytes,22384141.0,ns,308
cost_ast_parse,,2,2,bytes,24420649.0,ns,336
cost_ast_parse,,2,2,bytes,26461048.0,ns,364
cost_ast_parse,,2,2,bytes,28460061.0,ns,392
cost_ast_parse,,2,2,bytes,30511078.0,ns,420
cost_ast_parse,,2,2,bytes,32546737.0,ns,448
cost_ast_parse,,2,2,bytes,34644893.0,ns,476
cost_ast_parse,,2,2,bytes,36678541.0,ns,504
cost_ast_parse,,2,2,bytes,40586709.0,ns,532
cost_ast_parse,,2,2,bytes,41180490.0,ns,560
cost_ast_parse,,2,2,bytes,43176440.0,ns,588
cost_ast_parse,,2,2,bytes,44981845.0,ns,616
cost_ast_parse,,2,2,bytes,46966112.0,ns,644
cost_ast_parse,,2,2,bytes,49119444.0,ns,672
cost_ast_parse,,2,2,bytes,51356823.0,ns,700
cost_ast_parse,,2,2,bytes,53172162.0,ns,728
cost_ast_parse,,2,2,bytes,55153035.0,ns,756
cost_ast_parse,,2,2,bytes,57253180.0,ns,784
cost_ast_parse,,2,2,bytes,59812105.0,ns,812
cost_ast_parse,,2,2,bytes,61351407.0,ns,840
cost_ast_parse,,2,2,bytes,63460701.0,ns,868
cost_ast_parse,,2,2,bytes,65458165.0,ns,896
cost_ast_parse,,2,2,bytes,68060182.0,ns,924
cost_ast_parse,,2,2,bytes,70017337.0,ns,952
cost_ast_parse,,2,2,bytes,71433652.0,ns,980
cost_ast_parse,,2,2,bytes,73446035.0,ns,1008
cost_ast_parse,,2,2,bytes,76352471.0,ns,1036
cost_ast_parse,,2,2,bytes,77669289.0,ns,1064
cost_ast_parse,,2,2,bytes,79554580.0,ns,1092
cost_ast_parse,,2,2,bytes,81439943.0,ns,1120
cost_ast_parse,,2,2,bytes,83616485.0,ns,1148
cost_ast_parse,,2,2,bytes,85548844.0,ns,1176
cost_ast_parse,,2,2,bytes,87572068.0,ns,1204
cost_ast_parse,,2,2,bytes,89460288.0,ns,1232
cost_ast_parse,,2,2,bytes,91479443.0,ns,1260
cost_ast_parse,,2,2,bytes,93596582.0,ns,1288
cost_ast_parse,,2,2,bytes,95530027.0,ns,1316
cost_ast_parse,,2,2,bytes,97999181.0,ns,1344
cost_ast_parse,,2,2,bytes,100688521.0,ns,1372
cost_ast_parse,,2,2,bytes,103359336.0,ns,1400
cost_ast_parse,,2,2,bytes,104031244.0,ns,1428
cost_ast_parse,,2,2,bytes,106124111.0,ns,1456
cost_ast_parse,,2,2,bytes,108932619.0,ns,1484
cost_ast_parse,,2,2,bytes,111237026.0,ns,1512
cost_ast_parse,,2,2,bytes,113153840.0,ns,1540
cost_ast_parse,,2,2,bytes,114536706.0,ns,1568
cost_ast_parse,,2,2,bytes,117767904.0,ns,1596
cost_ast_parse,,2,2,bytes,118713960.0,ns,1624
cost_ast_parse,,2,2,bytes,120069618.0,ns,1652
cost_ast_parse,,2,2,bytes,122187915.0,ns,1680
cost_ast_parse,,2,2,bytes,124137836.0,ns,1708
cost_ast_parse,,2,2,bytes,126176362.0,ns,1736
cost_ast_parse,,2,2,bytes,128293700.0,ns,1764
cost_ast_parse,,2,2,bytes,130163976.0,ns,1792
cost_ast_parse,,2,2,bytes,132216829.0,ns,1820
cost_ast_parse,,2,2,bytes,134200113.0,ns,1848
cost_ast_parse,,2,2,bytes,136243034.0,ns,1876
cost_ast_parse,,2,2,bytes,138359573.0,ns,1904
cost_ast_parse,,2,2,bytes,140393443.0,ns,1932
cost_ast_parse,,2,2,bytes,142425064.0,ns,1960
cost_ast_parse,,2,2,bytes,144506255.0,ns,1988
cost_ast_parse,,2,2,bytes,147433387.0,ns,2016
cost_ast_parse,,2,2,bytes,148830863.0,ns,2044
cost_ast_parse,,2,2,bytes,150755567.0,ns,2072
cost_ast_parse,,2,2,bytes,152952024.0,ns,2100
cost_ast_parse,,2,2,bytes,154885948.0,ns,2128
cost_ast_parse,,2,2,bytes,156976536.0,ns,2156
cost_ast_parse,,2,2,bytes,159040754.0,ns,2184
cost_ast_parse,,2,2,bytes,161448213.0,ns,2212
cost_ast_parse,,2,2,bytes,164263941.0,ns,2240
cost_ast_parse,,2,2,bytes,164646348.0,ns,2268
cost_ast_parse,,2,2,bytes,166629387.0,ns,2296
cost_ast_parse,,2,2,bytes,169688767.0,ns,2324
cost_ast_parse,,2,2,bytes,171335856.0,ns,2352
cost_ast_parse,,2,2,bytes,174314745.0,ns,2380
cost_ast_parse,,2,2,bytes,175796431.0,ns,2408
cost_ast_parse,,2,2,bytes,177379139.0,ns,2436
