group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_at_block,,1,1,bytes,1110831.0,ns,8
cost_at_block,,1,1,bytes,1966521.0,ns,16
cost_at_block,,1,1,bytes,2982658.0,ns,24
cost_at_block,,1,1,bytes,3943336.0,ns,32
cost_at_block,,1,1,bytes,4936563.0,ns,40
cost_at_block,,1,1,bytes,5925185.0,ns,48
cost_at_block,,1,1,bytes,6899023.0,ns,56
cost_at_block,,1,1,bytes,7888192.0,ns,64
cost_at_block,,1,1,bytes,8933689.0,ns,72
cost_at_block,,1,1,bytes,9848553.0,ns,80
cost_at_block,,1,1,bytes,10832961.0,ns,88
cost_at_block,,1,1,bytes,11838132.0,ns,96
cost_at_block,,1,1,bytes,12830791.0,ns,104
cost_at_block,,1,1,bytes,13822260.0,ns,112
cost_at_block,,1,1,bytes,15087263.0,ns,120
cost_at_block,,1,1,bytes,15839380.0,ns,128
cost_at_block,,1,1,bytes,16754849.0,ns,136
cost_at_block,,1,1,bytes,17765641.0,ns,144
cost_at_block,,1,1,bytes,18794261.0,ns,152
cost_at_block,,1,1,bytes,19760549.0,ns,160
cost_at_block,,1,1,bytes,20760507.0,ns,168
cost_at_block,,1,1,bytes,21746221.0,ns,176
cost_at_block,,1,1,bytes,22674975.0,ns,184
cost_at_block,,1,1,bytes,23687984.0,ns,192
cost_at_block,,1,1,bytes,24698317.0,ns,200
cost_at_block,,1,1,bytes,25683816.0,ns,208
cost_at_block,,1,1,bytes,26708466.0,ns,216
cost_at_block,,1,1,bytes,27624559.0,ns,224
cost_at_block,,1,1,bytes,28634206.0,ns,232
cost_at_block,,1,1,bytes,29621000.0,ns,240
cost_at_block,,1,1,bytes,30607273.0,ns,248
cost_at_block,,1,1,bytes,31593292.0,ns,256
cost_at_block,,1,1,bytes,32617574.0,ns,264
cost_at_block,,1,1,bytes,33538346.0,ns,272
cost_at_block,,1,1,bytes,34526410.0,ns,280
cost_at_block,,1,1,bytes,35475294.0,ns,288
cost_at_block,,1,1,bytes,36456161.0,ns,296
cost_at_block,,1,1,bytes,37598601.0,ns,304
cost_at_block,,1,1,bytes,38534870.0,ns,312
cost_at_block,,1,1,bytes,39480281.0,ns,320
cost_at_block,,1,1,bytes,40494960.0,ns,328
cost_at_block,,1,1,bytes,41493921.0,ns,336
cost_at_block,,1,1,bytes,42442097.0,ns,344
cost_at_block,,1,1,bytes,43428966.0,ns,352
cost_at_block,,1,1,bytes,44389934.0,ns,360
cost_at_block,,1,1,bytes,45399304.0,ns,368
cost_at_block,,1,1,bytes,46320352.0,ns,376
cost_at_block,,1,1,bytes,47275849.0,ns,384
cost_at_block,,1,1,bytes,48636835.0,ns,392
cost_at_block,,1,1,bytes,49476364.0,ns,400
cost_at_block,,1,1,bytes,50267535.0,ns,408
cost_at_block,,1,1,bytes,51310345.0,ns,416
cost_at_block,,1,1,bytes,52262057.0,ns,424
cost_at_block,,1,1,bytes,53514675.0,ns,432
cost_at_block,,1,1,bytes,54247591.0,ns,440
cost_at_block,,1,1,bytes,55155657.0,ns,448
cost_at_block,,1,1,bytes,56149057.0,ns,456
cost_at_block,,1,1,bytes,57095282.0,ns,464
cost_at_block,,1,1,bytes,58166867.0,ns,472
cost_at_block,,1,1,bytes,59080517.0,ns,480
cost_at_block,,1,1,bytes,60118635.0,ns,488
cost_at_block,,1,1,bytes,61136126.0,ns,496
cost_at_block,,1,1,bytes,62030030.0,ns,504
cost_at_block,,1,1,bytes,63035958.0,ns,512
cost_at_block,,1,1,bytes,64421046.0,ns,520
cost_at_block,,1,1,bytes,65622185.0,ns,528
cost_at_block,,1,1,bytes,66037551.0,ns,536
cost_at_block,,1,1,bytes,67057701.0,ns,544
cost_at_block,,1,1,bytes,68013600.0,ns,552
cost_at_block,,1,1,bytes,68967334.0,ns,560
cost_at_block,,1,1,bytes,69950549.0,ns,568
cost_at_block,,1,1,bytes,71046391.0,ns,576
cost_at_block,,1,1,bytes,72046330.0,ns,584
cost_at_block,,1,1,bytes,72997152.0,ns,592
cost_at_block,,1,1,bytes,73905809.0,ns,600
cost_at_block,,1,1,bytes,74969846.0,ns,608
cost_at_block,,1,1,bytes,75887397.0,ns,616
cost_at_block,,1,1,bytes,77319463.0,ns,624
cost_at_block,,1,1,bytes,78113174.0,ns,632
cost_at_block,,1,1,bytes,79191498.0,ns,640
cost_at_block,,1,1,bytes,79796474.0,ns,648
cost_at_block,,1,1,bytes,80794791.0,ns,656
cost_at_block,,1,1,bytes,81711437.0,ns,664
cost_at_block,,1,1,bytes,82800404.0,ns,672
cost_at_block,,1,1,bytes,83785250.0,ns,680
cost_at_block,,1,1,bytes,84734832.0,ns,688
cost_at_block,,1,1,bytes,85677889.0,ns,696
cost_at_block,,1,1,bytes,86679324.0,ns,704
cost_at_block,,1,1,bytes,87693204.0,ns,712
cost_at_block,,1,1,bytes,88618044.0,ns,720
cost_at_block,,1,1,bytes,90262936.0,ns,728
cost_at_block,,1,1,bytes,90803129.0,ns,736
cost_at_block,,1,1,bytes,91656836.0,ns,744
cost_at_block,,1,1,bytes,92657931.0,ns,752
cost_at_block,,1,1,bytes,93652594.0,ns,760
cost_at_block,,1,1,bytes,94653535.0,ns,768
cost_at_block,,1,1,bytes,95568477.0,ns,776
cost_at_block,,1,1,bytes,96604920.0,ns,784
cost_at_block,,1,1,bytes,97541229.0,ns,792
cost_at_block,,1,1,bytes,98556172.0,ns,800
