group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_begin,,1,1,bytes,1060706.0,ns,9
cost_begin,,1,1,bytes,2054918.0,ns,18
cost_begin,,1,1,bytes,3100382.0,ns,27
cost_begin,,1,1,bytes,4146860.0,ns,36
cost_begin,,1,1,bytes,5140781.0,ns,45
cost_begin,,1,1,bytes,6152730.0,ns,54
cost_begin,,1,1,bytes,7167595.0,ns,63
cost_begin,,1,1,bytes,8191324.0,ns,72
cost_begin,,1,1,bytes,9205920.0,ns,81
cost_begin,,1,1,bytes,10260492.0,ns,90
cost_begin,,1,1,bytes,11276263.0,ns,99
cost_begin,,1,1,bytes,12309638.0,ns,108
cost_begin,,1,1,bytes,13349923.0,ns,117
cost_begin,,1,1,bytes,14325866.0,ns,126
cost_begin,,1,1,bytes,15405784.0,ns,135
cost_begin,,1,1,bytes,16387136.0,ns,144
cost_begin,,1,1,bytes,17401745.0,ns,153
cost_begin,,1,1,bytes,18444525.0,ns,162
cost_begin,,1,1,bytes,19458278.0,ns,171
cost_begin,,1,1,bytes,20496475.0,ns,180
cost_begin,,1,1,bytes,21523358.0,ns,189
cost_begin,,1,1,bytes,22515687.0,ns,198
cost_begin,,1,1,bytes,23528455.0,ns,207
cost_begin,,1,1,bytes,24569114.0,ns,216
cost_begin,,1,1,bytes,25580383.0,ns,225
cost_begin,,1,1,bytes,26963628.0,ns,234
cost_begin,,1,1,bytes,27783858.0,ns,243
cost_begin,,1,1,bytes,28772077.0,ns,252
cost_begin,,1,1,bytes,29696212.0,ns,261
cost_begin,,1,1,bytes,30813308.0,ns,270
cost_begin,,1,1,bytes,31883994.0,ns,279
cost_begin,,1,1,bytes,32757873.0,ns,288
cost_begin,,1,1,bytes,33811994.0,ns,297
cost_begin,,1,1,bytes,34876287.0,ns,306
cost_begin,,1,1,bytes,35792110.0,ns,315
cost_begin,,1,1,bytes,36805443.0,ns,324
cost_begin,,1,1,bytes,37865089.0,ns,333
cost_begin,,1,1,bytes,38700530.0,ns,342
cost_begin,,1,1,bytes,39727348.0,ns,351
cost_begin,,1,1,bytes,40990426.0,ns,360
cost_begin,,1,1,bytes,42036956.0,ns,369
cost_begin,,1,1,bytes,42977377.0,ns,378
cost_begin,,1,1,bytes,44020039.0,ns,387
cost_begin,,1,1,bytes,45072266.0,ns,396
cost_begin,,1,1,bytes,46035524.0,ns,405
cost_begin,,1,1,bytes,47144020.0,ns,414
cost_begin,,1,1,bytes,48145059.0,ns,423
cost_begin,,1,1,bytes,49093210.0,ns,432
cost_begin,,1,1,bytes,50648671.0,ns,441
cost_begin,,1,1,bytes,51930585.0,ns,450
cost_begin,,1,1,bytes,52276799.0,ns,459
cost_begin,,1,1,bytes,53122564.0,ns,468
cost_begin,,1,1,bytes,54189149.0,ns,477
cost_begin,,1,1,bytes,55187741.0,ns,486
cost_begin,,1,1,bytes,56147655.0,ns,495
cost_begin,,1,1,bytes,57179964.0,ns,504
cost_begin,,1,1,bytes,58185742.0,ns,513
cost_begin,,1,1,bytes,59328980.0,ns,522
cost_begin,,1,1,bytes,60333193.0,ns,531
cost_begin,,1,1,bytes,61989663.0,ns,540
cost_begin,,1,1,bytes,62623266.0,ns,549
cost_begin,,1,1,bytes,63483300.0,ns,558
cost_begin,,1,1,bytes,64495692.0,ns,567
cost_begin,,1,1,bytes,66203954.0,ns,576
cost_begin,,1,1,bytes,66783714.0,ns,585
cost_begin,,1,1,bytes,67914592.0,ns,594
cost_begin,,1,1,bytes,69146875.0,ns,603
cost_begin,,1,1,bytes,70652829.0,ns,612
cost_begin,,1,1,bytes,71568205.0,ns,621
cost_begin,,1,1,bytes,71274274.0,ns,630
cost_begin,,1,1,bytes,71998702.0,ns,639
cost_begin,,1,1,bytes,73685001.0,ns,648
cost_begin,,1,1,bytes,75074135.0,ns,657
cost_begin,,1,1,bytes,75313847.0,ns,666
cost_begin,,1,1,bytes,76910686.0,ns,675
cost_begin,,1,1,bytes,77867648.0,ns,684
cost_begin,,1,1,bytes,78893203.0,ns,693
cost_begin,,1,1,bytes,80043021.0,ns,702
cost_begin,,1,1,bytes,81627434.0,ns,711
cost_begin,,1,1,bytes,82110119.0,ns,720
cost_begin,,1,1,bytes,83034815.0,ns,729
cost_begin,,1,1,bytes,84630837.0,ns,738
cost_begin,,1,1,bytes,86653953.0,ns,747
cost_begin,,1,1,bytes,86870798.0,ns,756
cost_begin,,1,1,bytes,89583949.0,ns,765
cost_begin,,1,1,bytes,89097942.0,ns,774
cost_begin,,1,1,bytes,90709449.0,ns,783
cost_begin,,1,1,bytes,91087906.0,ns,792
cost_begin,,1,1,bytes,91261515.0,ns,801
cost_begin,,1,1,bytes,91096204.0,ns,810
cost_begin,,1,1,bytes,92486699.0,ns,819
cost_begin,,1,1,bytes,93987087.0,ns,828
cost_begin,,1,1,bytes,94768078.0,ns,837
cost_begin,,1,1,bytes,95933562.0,ns,846
cost_begin,,1,1,bytes,97257813.0,ns,855
cost_begin,,1,1,bytes,98250534.0,ns,864
cost_begin,,1,1,bytes,99228676.0,ns,873
cost_begin,,1,1,bytes,100375330.0,ns,882
cost_begin,,1,1,bytes,101295898.0,ns,891
cost_begin,,1,1,bytes,102489242.0,ns,900
