group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_begin,,22,22,bytes,2102131.0,ns,27
cost_begin,,22,22,bytes,4060810.0,ns,54
cost_begin,,22,22,bytes,6375538.0,ns,81
cost_begin,,22,22,bytes,8228699.0,ns,108
cost_begin,,22,22,bytes,10121838.0,ns,135
cost_begin,,22,22,bytes,12091447.0,ns,162
cost_begin,,22,22,bytes,14151568.0,ns,189
cost_begin,,22,22,bytes,16124828.0,ns,216
cost_begin,,22,22,bytes,18129935.0,ns,243
cost_begin,,22,22,bytes,20120222.0,ns,270
cost_begin,,22,22,bytes,22145061.0,ns,297
cost_begin,,22,22,bytes,24152170.0,ns,324
cost_begin,,22,22,bytes,26165595.0,ns,351
cost_begin,,22,22,bytes,28227968.0,ns,378
cost_begin,,22,22,bytes,30201592.0,ns,405
cost_begin,,22,22,bytes,32214692.0,ns,432
cost_begin,,22,22,bytes,34277941.0,ns,459
cost_begin,,22,22,bytes,36238193.0,ns,486
cost_begin,,22,22,bytes,38239042.0,ns,513
cost_begin,,22,22,bytes,40261408.0,ns,540
cost_begin,,22,22,bytes,42265666.0,ns,567
cost_begin,,22,22,bytes,44584727.0,ns,594
cost_begin,,22,22,bytes,46345169.0,ns,621
cost_begin,,22,22,bytes,48530337.0,ns,648
cost_begin,,22,22,bytes,50412698.0,ns,675
cost_begin,,22,22,bytes,52341794.0,ns,702
cost_begin,,22,22,bytes,54335245.0,ns,729
cost_begin,,22,22,bytes,56349335.0,ns,756
cost_begin,,22,22,bytes,58682017.0,ns,783
cost_begin,,22,22,bytes,61056558.0,ns,810
cost_begin,,22,22,bytes,62523117.0,ns,837
cost_begin,,22,22,bytes,65016413.0,ns,864
cost_begin,,22,22,bytes,66889801.0,ns,891
cost_begin,,22,22,bytes,68532243.0,ns,918
cost_begin,,22,22,bytes,70589752.0,ns,945
cost_begin,,22,22,bytes,72529321.0,ns,972
cost_begin,,22,22,bytes,74543570.0,ns,999
cost_begin,,22,22,bytes,76496304.0,ns,1026
cost_begin,,22,22,bytes,79162315.0,ns,1053
cost_begin,,22,22,bytes,80590815.0,ns,1080
cost_begin,,22,22,bytes,82583753.0,ns,1107
cost_begin,,22,22,bytes,84501703.0,ns,1134
cost_begin,,22,22,bytes,87037781.0,ns,1161
cost_begin,,22,22,bytes,89013439.0,ns,1188
cost_begin,,22,22,bytes,91160060.0,ns,1215
cost_begin,,22,22,bytes,92772857.0,ns,1242
cost_begin,,22,22,bytes,94723703.0,ns,1269
cost_begin,,22,22,bytes,96726148.0,ns,1296
cost_begin,,22,22,bytes,98679577.0,ns,1323
cost_begin,,22,22,bytes,100867604.0,ns,1350
cost_begin,,22,22,bytes,103029682.0,ns,1377
cost_begin,,22,22,bytes,104761668.0,ns,1404
cost_begin,,22,22,bytes,106780059.0,ns,1431
cost_begin,,22,22,bytes,108780354.0,ns,1458
cost_begin,,22,22,bytes,111178349.0,ns,1485
cost_begin,,22,22,bytes,113498997.0,ns,1512
cost_begin,,22,22,bytes,115034888.0,ns,1539
cost_begin,,22,22,bytes,116795492.0,ns,1566
cost_begin,,22,22,bytes,118793730.0,ns,1593
cost_begin,,22,22,bytes,122154711.0,ns,1620
cost_begin,,22,22,bytes,122831069.0,ns,1647
cost_begin,,22,22,bytes,124825233.0,ns,1674
cost_begin,,22,22,bytes,127494307.0,ns,1701
cost_begin,,22,22,bytes,129065920.0,ns,1728
cost_begin,,22,22,bytes,131004405.0,ns,1755
cost_begin,,22,22,bytes,132960885.0,ns,1782
cost_begin,,22,22,bytes,135005578.0,ns,1809
cost_begin,,22,22,bytes,136997702.0,ns,1836
cost_begin,,22,22,bytes,138864574.0,ns,1863
cost_begin,,22,22,bytes,141190623.0,ns,1890
cost_begin,,22,22,bytes,143794868.0,ns,1917
cost_begin,,22,22,bytes,145195653.0,ns,1944
cost_begin,,22,22,bytes,147380646.0,ns,1971
cost_begin,,22,22,bytes,149102825.0,ns,1998
cost_begin,,22,22,bytes,151013137.0,ns,2025
cost_begin,,22,22,bytes,152975279.0,ns,2052
cost_begin,,22,22,bytes,155037108.0,ns,2079
cost_begin,,22,22,bytes,156971636.0,ns,2106
cost_begin,,22,22,bytes,159138857.0,ns,2133
cost_begin,,22,22,bytes,161105856.0,ns,2160
cost_begin,,22,22,bytes,163414187.0,ns,2187
cost_begin,,22,22,bytes,165061631.0,ns,2214
cost_begin,,22,22,bytes,167858224.0,ns,2241
cost_begin,,22,22,bytes,170060171.0,ns,2268
cost_begin,,22,22,bytes,171173636.0,ns,2295
cost_begin,,22,22,bytes,173229238.0,ns,2322
cost_begin,,22,22,bytes,176574319.0,ns,2349
cost_begin,,22,22,bytes,177143396.0,ns,2376
cost_begin,,22,22,bytes,179493214.0,ns,2403
cost_begin,,22,22,bytes,181477981.0,ns,2430
cost_begin,,22,22,bytes,183376949.0,ns,2457
cost_begin,,22,22,bytes,185331094.0,ns,2484
cost_begin,,22,22,bytes,187666892.0,ns,2511
cost_begin,,22,22,bytes,189331234.0,ns,2538
cost_begin,,22,22,bytes,191826898.0,ns,2565
cost_begin,,22,22,bytes,193287926.0,ns,2592
cost_begin,,22,22,bytes,195288186.0,ns,2619
cost_begin,,22,22,bytes,197510860.0,ns,2646
cost_begin,,22,22,bytes,199273334.0,ns,2673
cost_begin,,22,22,bytes,202445529.0,ns,2700
