group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bind_name,,1,1,bytes,1492103.0,ns,20
cost_bind_name,,1,1,bytes,2911048.0,ns,40
cost_bind_name,,1,1,bytes,4347877.0,ns,60
cost_bind_name,,1,1,bytes,5816122.0,ns,80
cost_bind_name,,1,1,bytes,7274891.0,ns,100
cost_bind_name,,1,1,bytes,8732283.0,ns,120
cost_bind_name,,1,1,bytes,10154410.0,ns,140
cost_bind_name,,1,1,bytes,11661033.0,ns,160
cost_bind_name,,1,1,bytes,13101282.0,ns,180
cost_bind_name,,1,1,bytes,14513511.0,ns,200
cost_bind_name,,1,1,bytes,15941873.0,ns,220
cost_bind_name,,1,1,bytes,17454019.0,ns,240
cost_bind_name,,1,1,bytes,18908039.0,ns,260
cost_bind_name,,1,1,bytes,20310744.0,ns,280
cost_bind_name,,1,1,bytes,21781358.0,ns,300
cost_bind_name,,1,1,bytes,23817063.0,ns,320
cost_bind_name,,1,1,bytes,25318656.0,ns,340
cost_bind_name,,1,1,bytes,26909758.0,ns,360
cost_bind_name,,1,1,bytes,27804253.0,ns,380
cost_bind_name,,1,1,bytes,29321164.0,ns,400
cost_bind_name,,1,1,bytes,30698426.0,ns,420
cost_bind_name,,1,1,bytes,32157922.0,ns,440
cost_bind_name,,1,1,bytes,33781659.0,ns,460
cost_bind_name,,1,1,bytes,35249636.0,ns,480
cost_bind_name,,1,1,bytes,36720856.0,ns,500
cost_bind_name,,1,1,bytes,38203321.0,ns,520
cost_bind_name,,1,1,bytes,39656434.0,ns,540
cost_bind_name,,1,1,bytes,41179983.0,ns,560
cost_bind_name,,1,1,bytes,42781387.0,ns,580
cost_bind_name,,1,1,bytes,44283868.0,ns,600
cost_bind_name,,1,1,bytes,45725787.0,ns,620
cost_bind_name,,1,1,bytes,47512210.0,ns,640
cost_bind_name,,1,1,bytes,49056366.0,ns,660
cost_bind_name,,1,1,bytes,50892909.0,ns,680
cost_bind_name,,1,1,bytes,52636768.0,ns,700
cost_bind_name,,1,1,bytes,54472428.0,ns,720
cost_bind_name,,1,1,bytes,56490124.0,ns,740
cost_bind_name,,1,1,bytes,58051460.0,ns,760
cost_bind_name,,1,1,bytes,60534316.0,ns,780
cost_bind_name,,1,1,bytes,1181569117.0,ns,800
cost_bind_name,,1,1,bytes,59821378.0,ns,820
cost_bind_name,,1,1,bytes,61145120.0,ns,840
cost_bind_name,,1,1,bytes,62646589.0,ns,860
cost_bind_name,,1,1,bytes,64113459.0,ns,880
cost_bind_name,,1,1,bytes,65504474.0,ns,900
cost_bind_name,,1,1,bytes,67049126.0,ns,920
cost_bind_name,,1,1,bytes,68835259.0,ns,940
cost_bind_name,,1,1,bytes,71003619.0,ns,960
cost_bind_name,,1,1,bytes,70854067.0,ns,980
cost_bind_name,,1,1,bytes,72790713.0,ns,1000
cost_bind_name,,1,1,bytes,74380086.0,ns,1020
cost_bind_name,,1,1,bytes,75663533.0,ns,1040
cost_bind_name,,1,1,bytes,77208934.0,ns,1060
cost_bind_name,,1,1,bytes,78784389.0,ns,1080
cost_bind_name,,1,1,bytes,79939541.0,ns,1100
cost_bind_name,,1,1,bytes,81406750.0,ns,1120
cost_bind_name,,1,1,bytes,82822991.0,ns,1140
cost_bind_name,,1,1,bytes,84322632.0,ns,1160
cost_bind_name,,1,1,bytes,85795399.0,ns,1180
cost_bind_name,,1,1,bytes,87141717.0,ns,1200
cost_bind_name,,1,1,bytes,88554090.0,ns,1220
cost_bind_name,,1,1,bytes,90364954.0,ns,1240
cost_bind_name,,1,1,bytes,92013056.0,ns,1260
cost_bind_name,,1,1,bytes,94179790.0,ns,1280
cost_bind_name,,1,1,bytes,96107867.0,ns,1300
cost_bind_name,,1,1,bytes,96630442.0,ns,1320
cost_bind_name,,1,1,bytes,98369260.0,ns,1340
cost_bind_name,,1,1,bytes,99640850.0,ns,1360
cost_bind_name,,1,1,bytes,101294782.0,ns,1380
cost_bind_name,,1,1,bytes,102821600.0,ns,1400
cost_bind_name,,1,1,bytes,105777000.0,ns,1420
cost_bind_name,,1,1,bytes,106259921.0,ns,1440
cost_bind_name,,1,1,bytes,108367561.0,ns,1460
cost_bind_name,,1,1,bytes,110225613.0,ns,1480
cost_bind_name,,1,1,bytes,112830917.0,ns,1500
cost_bind_name,,1,1,bytes,114096892.0,ns,1520
cost_bind_name,,1,1,bytes,116433724.0,ns,1540
cost_bind_name,,1,1,bytes,118468614.0,ns,1560
cost_bind_name,,1,1,bytes,120517737.0,ns,1580
cost_bind_name,,1,1,bytes,122964125.0,ns,1600
cost_bind_name,,1,1,bytes,2508302894.0,ns,1620
cost_bind_name,,1,1,bytes,119424510.0,ns,1640
cost_bind_name,,1,1,bytes,120716114.0,ns,1660
cost_bind_name,,1,1,bytes,122949843.0,ns,1680
cost_bind_name,,1,1,bytes,124133888.0,ns,1700
cost_bind_name,,1,1,bytes,125126942.0,ns,1720
cost_bind_name,,1,1,bytes,126639164.0,ns,1740
cost_bind_name,,1,1,bytes,128527270.0,ns,1760
cost_bind_name,,1,1,bytes,129520811.0,ns,1780
cost_bind_name,,1,1,bytes,131130434.0,ns,1800
cost_bind_name,,1,1,bytes,132199182.0,ns,1820
cost_bind_name,,1,1,bytes,134145246.0,ns,1840
cost_bind_name,,1,1,bytes,135322780.0,ns,1860
cost_bind_name,,1,1,bytes,136876852.0,ns,1880
cost_bind_name,,1,1,bytes,138860227.0,ns,1900
cost_bind_name,,1,1,bytes,140098708.0,ns,1920
cost_bind_name,,1,1,bytes,141351402.0,ns,1940
cost_bind_name,,1,1,bytes,142901154.0,ns,1960
cost_bind_name,,1,1,bytes,145490873.0,ns,1980
