group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_and,,3,3,bytes,2206240.0,ns,39
cost_bitwise_and,,3,3,bytes,4027078.0,ns,78
cost_bitwise_and,,3,3,bytes,6028648.0,ns,117
cost_bitwise_and,,3,3,bytes,8032179.0,ns,156
cost_bitwise_and,,3,3,bytes,10045974.0,ns,195
cost_bitwise_and,,3,3,bytes,12059378.0,ns,234
cost_bitwise_and,,3,3,bytes,14823820.0,ns,273
cost_bitwise_and,,3,3,bytes,16098256.0,ns,312
cost_bitwise_and,,3,3,bytes,18083809.0,ns,351
cost_bitwise_and,,3,3,bytes,20091544.0,ns,390
cost_bitwise_and,,3,3,bytes,22130016.0,ns,429
cost_bitwise_and,,3,3,bytes,24107615.0,ns,468
cost_bitwise_and,,3,3,bytes,26133724.0,ns,507
cost_bitwise_and,,3,3,bytes,28133528.0,ns,546
cost_bitwise_and,,3,3,bytes,30139020.0,ns,585
cost_bitwise_and,,3,3,bytes,32126390.0,ns,624
cost_bitwise_and,,3,3,bytes,34262271.0,ns,663
cost_bitwise_and,,3,3,bytes,36217895.0,ns,702
cost_bitwise_and,,3,3,bytes,38262930.0,ns,741
cost_bitwise_and,,3,3,bytes,40188658.0,ns,780
cost_bitwise_and,,3,3,bytes,42585410.0,ns,819
cost_bitwise_and,,3,3,bytes,44312981.0,ns,858
cost_bitwise_and,,3,3,bytes,46323577.0,ns,897
cost_bitwise_and,,3,3,bytes,48289461.0,ns,936
cost_bitwise_and,,3,3,bytes,50254026.0,ns,975
cost_bitwise_and,,3,3,bytes,52224979.0,ns,1014
cost_bitwise_and,,3,3,bytes,54241093.0,ns,1053
cost_bitwise_and,,3,3,bytes,56253731.0,ns,1092
cost_bitwise_and,,3,3,bytes,58254108.0,ns,1131
cost_bitwise_and,,3,3,bytes,60250369.0,ns,1170
cost_bitwise_and,,3,3,bytes,62291242.0,ns,1209
cost_bitwise_and,,3,3,bytes,64284538.0,ns,1248
cost_bitwise_and,,3,3,bytes,66279228.0,ns,1287
cost_bitwise_and,,3,3,bytes,68306602.0,ns,1326
cost_bitwise_and,,3,3,bytes,70538545.0,ns,1365
cost_bitwise_and,,3,3,bytes,72392673.0,ns,1404
cost_bitwise_and,,3,3,bytes,74452371.0,ns,1443
cost_bitwise_and,,3,3,bytes,76621552.0,ns,1482
cost_bitwise_and,,3,3,bytes,78365255.0,ns,1521
cost_bitwise_and,,3,3,bytes,80318975.0,ns,1560
cost_bitwise_and,,3,3,bytes,82342645.0,ns,1599
cost_bitwise_and,,3,3,bytes,84309832.0,ns,1638
cost_bitwise_and,,3,3,bytes,86359677.0,ns,1677
cost_bitwise_and,,3,3,bytes,88352695.0,ns,1716
cost_bitwise_and,,3,3,bytes,90368720.0,ns,1755
cost_bitwise_and,,3,3,bytes,92365636.0,ns,1794
cost_bitwise_and,,3,3,bytes,94515795.0,ns,1833
cost_bitwise_and,,3,3,bytes,96695045.0,ns,1872
cost_bitwise_and,,3,3,bytes,98457847.0,ns,1911
cost_bitwise_and,,3,3,bytes,100627275.0,ns,1950
cost_bitwise_and,,3,3,bytes,102595696.0,ns,1989
cost_bitwise_and,,3,3,bytes,104429524.0,ns,2028
cost_bitwise_and,,3,3,bytes,106459844.0,ns,2067
cost_bitwise_and,,3,3,bytes,108558539.0,ns,2106
cost_bitwise_and,,3,3,bytes,110485847.0,ns,2145
cost_bitwise_and,,3,3,bytes,112485034.0,ns,2184
cost_bitwise_and,,3,3,bytes,114485205.0,ns,2223
cost_bitwise_and,,3,3,bytes,116687422.0,ns,2262
cost_bitwise_and,,3,3,bytes,119200963.0,ns,2301
cost_bitwise_and,,3,3,bytes,120489858.0,ns,2340
cost_bitwise_and,,3,3,bytes,122542938.0,ns,2379
cost_bitwise_and,,3,3,bytes,124527549.0,ns,2418
cost_bitwise_and,,3,3,bytes,126602952.0,ns,2457
cost_bitwise_and,,3,3,bytes,128683080.0,ns,2496
cost_bitwise_and,,3,3,bytes,130628072.0,ns,2535
cost_bitwise_and,,3,3,bytes,132579507.0,ns,2574
cost_bitwise_and,,3,3,bytes,135123442.0,ns,2613
cost_bitwise_and,,3,3,bytes,136818726.0,ns,2652
cost_bitwise_and,,3,3,bytes,138677573.0,ns,2691
cost_bitwise_and,,3,3,bytes,140662282.0,ns,2730
cost_bitwise_and,,3,3,bytes,142725822.0,ns,2769
cost_bitwise_and,,3,3,bytes,144833151.0,ns,2808
cost_bitwise_and,,3,3,bytes,146812021.0,ns,2847
cost_bitwise_and,,3,3,bytes,149183441.0,ns,2886
cost_bitwise_and,,3,3,bytes,150966961.0,ns,2925
cost_bitwise_and,,3,3,bytes,152879623.0,ns,2964
cost_bitwise_and,,3,3,bytes,154708384.0,ns,3003
cost_bitwise_and,,3,3,bytes,156569572.0,ns,3042
cost_bitwise_and,,3,3,bytes,158892608.0,ns,3081
cost_bitwise_and,,3,3,bytes,160999593.0,ns,3120
cost_bitwise_and,,3,3,bytes,162672656.0,ns,3159
cost_bitwise_and,,3,3,bytes,164698002.0,ns,3198
cost_bitwise_and,,3,3,bytes,166740693.0,ns,3237
cost_bitwise_and,,3,3,bytes,168721575.0,ns,3276
cost_bitwise_and,,3,3,bytes,170711296.0,ns,3315
cost_bitwise_and,,3,3,bytes,174007334.0,ns,3354
cost_bitwise_and,,3,3,bytes,174892087.0,ns,3393
cost_bitwise_and,,3,3,bytes,176821746.0,ns,3432
cost_bitwise_and,,3,3,bytes,178820717.0,ns,3471
cost_bitwise_and,,3,3,bytes,181107780.0,ns,3510
cost_bitwise_and,,3,3,bytes,183098038.0,ns,3549
