group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_and,,8,8,bytes,2132229.0,ns,20
cost_bitwise_and,,8,8,bytes,4189317.0,ns,40
cost_bitwise_and,,8,8,bytes,6292244.0,ns,60
cost_bitwise_and,,8,8,bytes,8376468.0,ns,80
cost_bitwise_and,,8,8,bytes,10511566.0,ns,100
cost_bitwise_and,,8,8,bytes,12626535.0,ns,120
cost_bitwise_and,,8,8,bytes,14676137.0,ns,140
cost_bitwise_and,,8,8,bytes,16776314.0,ns,160
cost_bitwise_and,,8,8,bytes,18835297.0,ns,180
cost_bitwise_and,,8,8,bytes,21120709.0,ns,200
cost_bitwise_and,,8,8,bytes,23501090.0,ns,220
cost_bitwise_and,,8,8,bytes,25088898.0,ns,240
cost_bitwise_and,,8,8,bytes,27417744.0,ns,260
cost_bitwise_and,,8,8,bytes,29358047.0,ns,280
cost_bitwise_and,,8,8,bytes,31406366.0,ns,300
cost_bitwise_and,,8,8,bytes,33503865.0,ns,320
cost_bitwise_and,,8,8,bytes,35674319.0,ns,340
cost_bitwise_and,,8,8,bytes,37730160.0,ns,360
cost_bitwise_and,,8,8,bytes,40044337.0,ns,380
cost_bitwise_and,,8,8,bytes,41898641.0,ns,400
cost_bitwise_and,,8,8,bytes,43985966.0,ns,420
cost_bitwise_and,,8,8,bytes,46383661.0,ns,440
cost_bitwise_and,,8,8,bytes,48255111.0,ns,460
cost_bitwise_and,,8,8,bytes,50272166.0,ns,480
cost_bitwise_and,,8,8,bytes,52361162.0,ns,500
cost_bitwise_and,,8,8,bytes,54452136.0,ns,520
cost_bitwise_and,,8,8,bytes,56555852.0,ns,540
cost_bitwise_and,,8,8,bytes,58647434.0,ns,560
cost_bitwise_and,,8,8,bytes,60867530.0,ns,580
cost_bitwise_and,,8,8,bytes,62947256.0,ns,600
cost_bitwise_and,,8,8,bytes,64925098.0,ns,620
cost_bitwise_and,,8,8,bytes,66992742.0,ns,640
cost_bitwise_and,,8,8,bytes,70448350.0,ns,660
cost_bitwise_and,,8,8,bytes,71371586.0,ns,680
cost_bitwise_and,,8,8,bytes,73736779.0,ns,700
cost_bitwise_and,,8,8,bytes,75490679.0,ns,720
cost_bitwise_and,,8,8,bytes,77537113.0,ns,740
cost_bitwise_and,,8,8,bytes,79713954.0,ns,760
cost_bitwise_and,,8,8,bytes,81236809.0,ns,780
cost_bitwise_and,,8,8,bytes,83592417.0,ns,800
cost_bitwise_and,,8,8,bytes,85515648.0,ns,820
cost_bitwise_and,,8,8,bytes,87626392.0,ns,840
cost_bitwise_and,,8,8,bytes,89917514.0,ns,860
cost_bitwise_and,,8,8,bytes,92182275.0,ns,880
cost_bitwise_and,,8,8,bytes,94082666.0,ns,900
cost_bitwise_and,,8,8,bytes,95859283.0,ns,920
cost_bitwise_and,,8,8,bytes,97965032.0,ns,940
cost_bitwise_and,,8,8,bytes,100078570.0,ns,960
cost_bitwise_and,,8,8,bytes,102106476.0,ns,980
cost_bitwise_and,,8,8,bytes,104676179.0,ns,1000
cost_bitwise_and,,8,8,bytes,106242458.0,ns,1020
cost_bitwise_and,,8,8,bytes,108345159.0,ns,1040
cost_bitwise_and,,8,8,bytes,110377925.0,ns,1060
cost_bitwise_and,,8,8,bytes,112477495.0,ns,1080
cost_bitwise_and,,8,8,bytes,115173809.0,ns,1100
cost_bitwise_and,,8,8,bytes,117338756.0,ns,1120
cost_bitwise_and,,8,8,bytes,119750801.0,ns,1140
cost_bitwise_and,,8,8,bytes,121452492.0,ns,1160
cost_bitwise_and,,8,8,bytes,123604726.0,ns,1180
cost_bitwise_and,,8,8,bytes,125600535.0,ns,1200
cost_bitwise_and,,8,8,bytes,127882912.0,ns,1220
cost_bitwise_and,,8,8,bytes,130169012.0,ns,1240
cost_bitwise_and,,8,8,bytes,132442423.0,ns,1260
cost_bitwise_and,,8,8,bytes,133486685.0,ns,1280
cost_bitwise_and,,8,8,bytes,136759345.0,ns,1300
cost_bitwise_and,,8,8,bytes,137644982.0,ns,1320
cost_bitwise_and,,8,8,bytes,139739547.0,ns,1340
cost_bitwise_and,,8,8,bytes,141643254.0,ns,1360
cost_bitwise_and,,8,8,bytes,144655938.0,ns,1380
cost_bitwise_and,,8,8,bytes,147387945.0,ns,1400
cost_bitwise_and,,8,8,bytes,148920346.0,ns,1420
cost_bitwise_and,,8,8,bytes,150047941.0,ns,1440
cost_bitwise_and,,8,8,bytes,152023740.0,ns,1460
cost_bitwise_and,,8,8,bytes,155130277.0,ns,1480
cost_bitwise_and,,8,8,bytes,157513344.0,ns,1500
cost_bitwise_and,,8,8,bytes,158979005.0,ns,1520
cost_bitwise_and,,8,8,bytes,161408510.0,ns,1540
cost_bitwise_and,,8,8,bytes,163996935.0,ns,1560
cost_bitwise_and,,8,8,bytes,165589820.0,ns,1580
cost_bitwise_and,,8,8,bytes,167740637.0,ns,1600
cost_bitwise_and,,8,8,bytes,169982417.0,ns,1620
cost_bitwise_and,,8,8,bytes,171014523.0,ns,1640
cost_bitwise_and,,8,8,bytes,173869746.0,ns,1660
cost_bitwise_and,,8,8,bytes,175245167.0,ns,1680
cost_bitwise_and,,8,8,bytes,177165230.0,ns,1700
cost_bitwise_and,,8,8,bytes,179651993.0,ns,1720
cost_bitwise_and,,8,8,bytes,181233455.0,ns,1740
cost_bitwise_and,,8,8,bytes,183626282.0,ns,1760
cost_bitwise_and,,8,8,bytes,186004085.0,ns,1780
cost_bitwise_and,,8,8,bytes,188044987.0,ns,1800
cost_bitwise_and,,8,8,bytes,190588793.0,ns,1820
cost_bitwise_and,,8,8,bytes,192642817.0,ns,1840
cost_bitwise_and,,8,8,bytes,194853755.0,ns,1860
cost_bitwise_and,,8,8,bytes,196928884.0,ns,1880
cost_bitwise_and,,8,8,bytes,199334355.0,ns,1900
cost_bitwise_and,,8,8,bytes,201082887.0,ns,1920
cost_bitwise_and,,8,8,bytes,203348785.0,ns,1940
cost_bitwise_and,,8,8,bytes,205265141.0,ns,1960
cost_bitwise_and,,8,8,bytes,206734501.0,ns,1980
cost_bitwise_and,,8,8,bytes,209426783.0,ns,2000
