group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_left_shift,,2,2,bytes,2054440.0,ns,32
cost_bitwise_left_shift,,2,2,bytes,4001109.0,ns,64
cost_bitwise_left_shift,,2,2,bytes,6003542.0,ns,96
cost_bitwise_left_shift,,2,2,bytes,8001571.0,ns,128
cost_bitwise_left_shift,,2,2,bytes,10002395.0,ns,160
cost_bitwise_left_shift,,2,2,bytes,11982624.0,ns,192
cost_bitwise_left_shift,,2,2,bytes,13999391.0,ns,224
cost_bitwise_left_shift,,2,2,bytes,16030469.0,ns,256
cost_bitwise_left_shift,,2,2,bytes,17994257.0,ns,288
cost_bitwise_left_shift,,2,2,bytes,19980998.0,ns,320
cost_bitwise_left_shift,,2,2,bytes,21999196.0,ns,352
cost_bitwise_left_shift,,2,2,bytes,23992015.0,ns,384
cost_bitwise_left_shift,,2,2,bytes,26054269.0,ns,416
cost_bitwise_left_shift,,2,2,bytes,28030558.0,ns,448
cost_bitwise_left_shift,,2,2,bytes,30011599.0,ns,480
cost_bitwise_left_shift,,2,2,bytes,32031246.0,ns,512
cost_bitwise_left_shift,,2,2,bytes,34012217.0,ns,544
cost_bitwise_left_shift,,2,2,bytes,36772089.0,ns,576
cost_bitwise_left_shift,,2,2,bytes,38214937.0,ns,608
cost_bitwise_left_shift,,2,2,bytes,40407301.0,ns,640
cost_bitwise_left_shift,,2,2,bytes,42083151.0,ns,672
cost_bitwise_left_shift,,2,2,bytes,44041881.0,ns,704
cost_bitwise_left_shift,,2,2,bytes,46156331.0,ns,736
cost_bitwise_left_shift,,2,2,bytes,48093646.0,ns,768
cost_bitwise_left_shift,,2,2,bytes,50455994.0,ns,800
cost_bitwise_left_shift,,2,2,bytes,53848295.0,ns,832
cost_bitwise_left_shift,,2,2,bytes,54186823.0,ns,864
cost_bitwise_left_shift,,2,2,bytes,56359637.0,ns,896
cost_bitwise_left_shift,,2,2,bytes,58167877.0,ns,928
cost_bitwise_left_shift,,2,2,bytes,60245814.0,ns,960
cost_bitwise_left_shift,,2,2,bytes,62537280.0,ns,992
cost_bitwise_left_shift,,2,2,bytes,64608533.0,ns,1024
cost_bitwise_left_shift,,2,2,bytes,66463666.0,ns,1056
cost_bitwise_left_shift,,2,2,bytes,68834752.0,ns,1088
